intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed Aug 02 2023|  TO Wed Aug 09 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1690914600000,9.68,12.02,12.69,
1690915200000,9.3,12.28,11.94,
1690915800000,8.63,10,9.97,
1690916400000,8.94,12.01,9.03,
1690917000000,9.12,9.91,8.86,
1690917600000,8.96,11.89,8.91,
1690918200000,9.13,10.14,12.46,
1690918800000,8.66,12.25,10.09,
1690919400000,9.16,12.49,10.42,
1690920000000,9.04,10.19,9.06,
1690920600000,8.87,12.22,8.95,
1690921200000,8.59,12.14,12.55,
1690921800000,8.81,14.18,12.6,
1690922400000,9.16,12.45,10.31,
1690923000000,9.05,14.58,9.44,
1690923600000,9.33,12.64,9.4,
1690924200000,9.26,14.68,9.36,
1690924800000,9.47,10.15,12.53,
1690925400000,9.06,14.69,9.44,
1690926000000,9.32,12.32,10.41,
1690926600000,8.91,12.57,9.38,
1690927200000,9.34,12.42,9.25,
1690927800000,9.11,14.58,12.95,
1690928400000,9.18,11.97,12.24,
1690929000000,8.3,14.45,10.36,
1690929600000,9,12.33,8.96,
1690930200000,8.81,14.44,9.02,
1690930800000,9.03,12.44,12.76,
1690931400000,8.4,12.22,12.44,
1690932000000,8.66,14.23,10.23,
1690932600000,8.8,12.27,10.25,
1690933200000,8.19,14.35,9.26,
1690933800000,8.99,12.16,12.48,
1690934400000,8.64,14.25,11.78,
1690935000000,8.53,11.55,8.59,
1690935600000,8.51,11.93,9.74,
1690936200000,8.62,13.59,12.54,
1690936800000,8.64,9.43,8.42,
1690937400000,7.82,11.39,8.41,
1690938000000,8.46,12.01,8.34,
1690938600000,7.77,13.87,9.55,
1690939200000,8.56,13.88,13.11,
1690939800000,8.36,11.84,8.51,
1690940400000,7.82,13.45,8.63,
1690941000000,8.25,11.82,8.34,
1690941600000,8.56,13.38,11.89,
1690942200000,7.99,11.54,9.51,
1690942800000,8.67,13.3,9.61,
1690943400000,8.72,11.49,12.09,
1690944000000,7.94,13.33,11.74,
1690944600000,8.54,11.73,8.4,
1690945200000,8.53,9.23,8.16,
1690945800000,8.68,9.56,9.28,
1690946400000,8.85,11.42,8.41,
1690947000000,9,9.58,11.96,
1690947600000,9.35,12.14,8.95,
1690948200000,9.13,11.64,8.39,
1690948800000,9.07,9.58,8.21,
1690949400000,9.79,12.2,13.43,
1690950000000,10.06,11.99,11.57,
1690950600000,9.77,10.1,8.67,
1690951200000,10.46,12.02,9.02,
1690951800000,10.41,12.24,8.9,
1690952400000,10.66,10.58,12.54,
1690953000000,10.38,12.28,9.76,
1690953600000,11.74,14.59,11.85,
1690954200000,12.81,12.54,10.72,
1690954800000,12.7,14.55,14.4,
1690955400000,12.74,12.63,10.7,
1690956000000,11.39,10.68,8.67,
1690956600000,10.49,13.08,10.36,
1690957200000,10.9,10.56,13.51,
1690957800000,11.53,12.26,8.91,
1690958400000,14.48,10.38,8.7,
1690959000000,11.23,12.26,8.76,
1690959600000,11.31,12.94,9.02,
1690960200000,11.12,12.55,8.94,
1690960800000,13.92,12.17,10.05,
1690961399000,11.22,10.07,12.53,
1690962000000,10.81,9.89,8.71,
1690962600000,10.7,12.4,8.99,
1690963200000,10.76,11.87,8.91,
1690963800000,10.7,9.39,8.81,
1690964400000,9.96,11.74,13.12,
1690965000000,10.03,12.06,9.07,
1690965600000,10.48,10.32,9,
1690966200000,11.63,12.42,9.21,
1690966800000,12.24,10.46,12.91,
1690967400000,10.69,11.22,9.45,
1690968000000,11.97,13.17,10.73,
1690968600000,13.26,13.11,9.47,
1690969199000,12.04,13.26,9.46,
1690969800000,12.25,11.08,12.62,
1690970400000,12.05,12.71,9.2,
1690971000000,11.9,12.82,9.28,
1690971600000,14.29,12.8,15.76,
1690972199000,14.08,14.5,11.52,
1690972800000,13.94,12.76,11.45,
1690973400000,12.66,15.07,11.38,
1690974000000,10.65,10.51,12.75,
1690974600000,10.17,12.65,9.3,
1690975200000,9.88,10.42,10.1,
1690975799000,10,12.27,9.02,
1690976400000,10.41,10.2,12.44,
1690977000000,10.2,12.54,9.24,
1690977600000,10.11,10.39,9.18,
1690978200000,10.03,11.99,9.27,
1690978800000,10.15,11.98,14.01,
1690979400000,10.12,10.06,9.19,
1690980000000,10.03,12.03,9.24,
1690980600000,10.21,10.43,9.35,
1690981200000,9.95,12.2,9.22,
1690981800000,10.16,10.1,12.44,
1690982400000,9.86,10.16,10.21,
1690983000000,9.6,12.37,9.24,
1690983600000,9.9,12.19,9.34,
1690984200000,9.77,10.1,11.76,
1690984800000,9.44,12.27,9.26,
1690985400000,9.44,11.99,10.3,
1690986000000,9.79,11.64,13.83,
1690986600000,9.61,9.63,12.23,
1690987200000,9.41,10.03,9.06,
1690987800000,9.22,12.15,9.03,
1690988400000,9.09,11.66,9.04,
1690989000000,9.53,9.44,13.45,
1690989600000,9.33,9.61,9.9,
1690990200000,9.29,11.27,9.1,
1690990800000,9.22,11.28,8.91,
1690991400000,9.26,11.65,12.6,
1690992000000,9.33,11.55,12.11,
1690992600000,9.21,11.11,10.21,
1690993200000,10.33,11.95,9.05,
1690993800000,10.18,12.28,9.07,
1690994400000,10.37,9.43,12.4,
1690995000000,10.14,9.49,11.71,
1690995600000,9.9,11.81,9.03,
1690996200000,9.04,9.83,9.98,
1690996800000,9.12,9.71,9.11,
1690997399000,8.96,11.91,12.57,
1690998000000,9.25,9.83,9.06,
1690998600000,8.85,11.52,9.18,
1690999200000,9.1,12.04,10.15,
1690999800000,9.08,11.97,10.41,
1691000400000,9.05,11.75,12.58,
1691001000000,9.22,12.43,9.4,
1691001600000,9.35,10.12,9.32,
1691002200000,8.99,9.6,8.93,
1691002800000,9.08,11.66,10.32,
1691003400000,9.01,11.99,12.72,
1691004000000,9,11.49,12.18,
1691004600000,8.92,11.45,9.13,
1691005200000,8.83,11.72,9.07,
1691005800000,8.3,11.77,9.11,
1691006400000,8.87,11.62,13.83,
1691007000000,8.95,9.46,12.21,
1691007600000,8.85,9.1,8.95,
1691008200000,9.15,9.02,8.82,
1691008800000,8.97,9.51,8.89,
1691009400000,8.71,11.33,10.17,
1691010000000,8.42,8.95,8.77,
1691010599000,8.68,11.39,12.65,
1691010600000,8.87,11.38,12.48,
1691011200000,9.12,10.71,11.93,
1691011800000,8.88,11.19,8.93,
1691012400000,8.47,10.74,9.24,
1691013000000,8.91,12.76,10.55,
1691013600000,9.07,9.9,12.5,
1691014200000,9.13,9.69,11.84,
1691014800000,8.31,9.66,8.97,
1691015400000,9.15,9.58,9.2,
1691016000000,8.85,12.03,10.27,
1691016600000,8.53,11.62,9.32,
1691017200000,9.02,11.77,12.63,
1691017800000,9.06,11.76,12.68,
1691018400000,8.71,11.5,9.06,
1691019000000,8.46,9.71,8.95,
1691019600000,8.85,11.8,10.21,
1691020200000,9.04,11.44,12.61,
1691020800000,10.7,13.65,11.26,
1691021399000,11.06,11.48,10.98,
1691022000000,10.93,11.69,10.62,
1691022600000,10.52,11.73,11.81,
1691023200000,11.16,10.8,15.15,
1691023800000,8.26,11.5,11.45,
1691024400000,8.56,11.38,8.48,
1691025000000,9.12,9.52,8.28,
1691025600000,8.15,11.18,10.94,
1691026200000,8.66,11.56,13.08,
1691026800000,8.44,11.26,8.5,
1691027400000,7.99,8.76,8.51,
1691028000000,8.44,10.96,8.43,
1691028600000,8.4,11.25,8.42,
1691029200000,8.13,11.36,12.03,
1691029800000,8.6,11.44,9.45,
1691030400000,8.57,9,8.25,
1691031000000,8,9.4,8.28,
1691031600000,8.52,11.37,11.81,
1691032200000,11.76,11.96,8.5,
1691032800000,8.34,12.03,8.78,
1691033400000,8.77,12.21,9.52,
1691034000000,8.92,11.93,11.98,
1691034600000,11,11.21,11.86,
1691035200000,10.14,12.39,8.62,
1691035800000,11.23,9.57,8.47,
1691036400000,10.4,12,8.61,
1691037000000,11.78,12.84,13.61,
1691037600000,14.39,14.81,9.02,
1691038200000,11.58,15.01,9.25,
1691038800000,12.09,13.22,9.41,
1691039400000,12.39,15.91,12.82,
1691040000000,12.45,14,9.8,
1691040600000,12.17,13.72,10.74,
1691041200000,15.06,15.79,9.71,
1691041800000,12.42,13.4,13.36,
1691042400000,12.49,11.23,12.89,
1691043000000,12.6,11.84,10.12,
1691043600000,15.4,13.49,9.69,
1691044200000,12.8,13.52,10.9,
1691044800000,15.68,13.32,13.16,
1691045400000,12.31,13.46,9.65,
1691046000000,12.53,13.65,9.98,
1691046600000,13.06,13.93,10.05,
1691047200000,13.37,13.97,10.08,
1691047800000,12.74,11.38,10.6,
1691048400000,13.23,11.11,13.1,
1691049000000,15.21,13.01,11.85,
1691049600000,15.22,15.23,11.94,
1691050200000,15.7,14.8,11.63,
