intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sat Aug 26 2023|  TO Sat Sep 02 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1692988200000,11.46,11.82,13.25,
1692988800000,11.02,10.95,10.47,
1692989400000,10.93,10.75,9.26,
1692990000000,10.9,10.27,9.28,
1692990600000,11.19,10.55,12.99,
1692991200000,10.86,10.71,9.18,
1692991800000,10.94,10.52,9.03,
1692992400000,11.12,10.01,10.1,
1692993000000,10.51,10.92,9.13,
1692993600000,10.78,10.56,12.96,
1692994200000,10.82,10.4,12.12,
1692994800000,10.46,10.58,9.18,
1692995399000,10.47,10.14,9.22,
1692996000000,10.55,9.75,10.33,
1692996600000,10.79,9.37,12.59,
1692997200000,10.48,10.27,9.1,
1692997800000,10.4,10.11,9.07,
1692998400000,10.47,10.16,9.26,
1692998999000,10.64,10.07,12.8,
1692999600000,10.52,9.64,13.12,
1693000200000,10.34,10.02,9.05,
1693000800000,10.54,9.98,9.25,
1693001400000,10.38,10.21,9.08,
1693001932000,10.49,10.3,9.44,
1693002000000,10.46,10.33,9.18,
1693002600000,10.67,10.23,13.85,
1693003200000,10.39,10.37,11.87,
1693003800000,10.5,10.5,9.1,
1693004400000,10.51,9.7,9.22,
1693004999000,10.47,9.76,9.14,
1693005000000,10.58,9.83,9.22,
1693005600000,10.67,9.81,9.13,
1693006200000,10.44,10.26,10.14,
1693006799000,10.54,10.18,12.73,
1693006800000,10.57,10.21,12.68,
1693007400000,10.53,10.14,12.22,
1693008000000,10.52,10.02,9.14,
1693008600000,10.24,9.6,8.86,
1693009200000,10.16,9.8,8.97,
1693009800000,10.15,9.67,9.94,
1693010388000,10.14,9.98,8.91,
1693010400000,10.11,9.85,9.01,
1693010999000,10.24,9.64,12.6,
1693011600000,10.22,9.01,12.34,
1693012200000,9.95,9.38,8.98,
1693012800000,10.12,9.22,9.98,
1693013400000,10.14,9.06,9.94,
1693014000000,9.96,9.22,8.93,
1693014599000,10.14,9.68,12.73,
1693014600000,10.26,9.78,12.49,
1693015200000,9.9,9.54,8.89,
1693015800000,9.94,9.78,9.05,
1693016400000,9.77,9.44,9.82,
1693017000000,9.84,9.48,9.94,
1693017600000,10.1,9.57,12.19,
1693018200000,10.22,9.18,8.96,
1693018657000,10.03,9.72,8.72,
1693018800000,10.13,9.01,8.71,
1693019400000,10.57,9.7,8.79,
1693020000000,10.44,9.86,9.87,
1693020600000,10.6,9.9,13.53,
1693021199000,10.49,10.58,8.85,
1693021774000,10.61,10.33,8.82,
1693021800000,10.6,10.36,8.81,
1693022400000,10.56,9.69,8.97,
1693023000000,10.54,9.79,8.83,
1693023600000,10.65,9.66,12.35,
1693024200000,10.5,10.86,10.06,
1693024800000,10.8,10.64,8.83,
1693025400000,11.13,11.26,8.78,
1693026000000,11.55,11.18,12.86,
1693026600000,11.41,10.94,9.07,
1693027200000,11.25,10.33,9.08,
1693027800000,11.43,10.28,10.25,
1693028400000,11.66,10.14,13,
1693029000000,11.75,10.88,9.43,
1693029600000,11.68,10.81,9.31,
1693030200000,12.04,10.81,13.16,
1693030799000,11.84,10.05,9.43,
1693031400000,11.88,9.9,10.43,
1693032000000,11.93,10.14,9.51,
1693032600000,11.09,10.35,9.21,
1693033200000,11.22,10.12,9.55,
