intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu Aug 10 2023|  TO Thu Aug 17 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1691605800000,11.7,13.38,11.16,
1691606400000,11.58,12.96,11.02,
1691607000000,11.45,13,14.33,
1691607600000,11.79,10.38,11.57,
1691608200000,11.56,12.88,10.83,
1691608800000,11.28,12.84,10.46,
1691609400000,11.11,12.59,10.07,
1691610000000,11.34,12.96,13.99,
1691610600000,10.77,11.95,11.21,
1691611200000,10.65,12.37,11.24,
1691611800000,10.54,12.47,10.13,
1691612400000,10.95,11.73,13.82,
1691613000000,10.92,10.24,9.91,
1691613600000,10.95,9.81,9.48,
1691614200000,10.96,11.18,10.95,
1691614800000,11.37,11.86,9.86,
1691615400000,11.25,9.71,13.24,
1691616000000,10.88,12.09,12.97,
1691616600000,10.74,9.75,9.39,
1691617200000,10.63,11.78,9.62,
1691617800000,10.75,11.88,10.85,
1691618400000,10.79,12.38,9.82,
1691619000000,10.66,12.08,9.68,
1691619600000,10.8,11.77,13.17,
1691620200000,10.8,10.16,9.54,
1691620800000,10.68,12.16,9.72,
1691621400000,10.58,12.23,10.75,
1691622000000,10.37,11.89,9.53,
1691622600000,10.88,11.39,13.08,
1691623200000,10.65,10.01,12.21,
1691623800000,10.52,12.11,9.42,
1691624400000,10.47,11.72,10.48,
1691625000000,10.55,11.89,10.41,
1691625600000,10.27,11.87,9.59,
1691626200000,10.1,9.43,9.36,
1691626800000,10.75,11.67,12.97,
1691627400000,10.37,11.55,12.19,
1691628000000,10.14,11.98,10.26,
1691628600000,10.3,9.93,10.38,
1691629200000,10.13,9.89,9.36,
1691629799000,10.39,11.75,12.96,
1691630400000,10.15,11.89,9.41,
1691631000000,10.2,11.71,9.47,
1691631600000,10.16,12.09,10.59,
1691632200000,10.33,10.05,10.45,
1691632800000,10.37,9.41,13.04,
1691633400000,10.21,9.67,12.41,
1691634000000,9.95,12.39,9.19,
1691634600000,9.92,12.01,9.26,
1691635199000,10.1,11.71,10.08,
1691635800000,10.02,11.97,9.32,
1691636400000,12.62,11.53,14.69,
1691637000000,12.57,12.4,11.79,
1691637600000,12.89,14.53,11.8,
