intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Fri Aug 18 2023|  TO Fri Aug 25 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1692297000000,11.08,11.94,9.84,
1692297600000,11.26,11.68,10.09,
1692298200000,10.77,11.68,8.89,
1692298800000,10.27,11.27,8.92,
1692299400000,9.92,11.53,9.01,
1692300000000,10.21,11,12.66,
1692300600000,9.85,11.18,13.15,
1692301200000,9.83,10.98,9.91,
1692301800000,9.64,11.39,8.94,
1692302400000,9.74,10.91,8.77,
1692303000000,9.5,11.22,8.87,
1692303600000,9.71,11.34,8.99,
1692304200000,10.39,11.28,9.98,
1692304799000,10.42,10.93,12.4,
1692305400000,9.96,11.41,11.67,
1692306000000,9.74,11.14,8.92,
1692306600000,9.61,11.35,8.85,
1692307200000,9.64,11.27,8.98,
1692307800000,9.69,11.32,10,
1692308400000,9.58,11.25,12.57,
1692309000000,9.13,11.2,11.89,
1692309600000,9.27,10.94,8.95,
1692310200000,9.29,11.22,9,
1692310800000,9.13,11.31,9.02,
1692311400000,9.3,11.11,10.08,
1692312000000,9.38,10.88,12.64,
1692312600000,9.06,11.26,9.01,
1692313200000,9.15,11.18,9.02,
1692313800000,9.22,10.79,8.97,
1692314400000,9.12,11.17,10.03,
1692315000000,9.34,11.2,13.62,
1692315600000,9.02,11.4,12.16,
1692316200000,9.45,10.86,8.92,
1692316800000,9.17,10.96,9.01,
1692317400000,9.45,11.41,8.84,
1692318000000,9.49,10.69,9.96,
1692318600000,9.37,10.78,8.74,
1692319200000,9.28,10.5,12.12,
1692319800000,9.2,10.19,11.35,
1692320400000,8.87,10.82,8.65,
1692321000000,8.82,10.85,8.78,
1692321600000,8.99,10.58,9.68,
1692322200000,9.02,10.61,12.14,
1692322800000,8.94,10.74,8.64,
1692323400000,8.94,10.69,8.58,
1692324000000,8.94,10.35,8.67,
1692324600000,9.01,10.69,11.98,
1692325200000,8.99,10.76,9.65,
1692325800000,8.95,10.43,8.47,
1692326400000,9.08,10.79,12.43,
1692327000000,8.89,11.09,8.67,
1692327600000,11.87,11.18,8.49,
1692328200000,8.93,10.95,8.53,
1692328800000,9.13,11.09,13.35,
1692329400000,8.94,10.94,8.88,
1692330000000,9.76,11.22,9.01,
1692330600000,9.89,11.31,8.51,
1692331200000,10.17,11.11,12.27,
1692331800000,12.03,12.92,10.92,
1692332400000,12.02,13.03,12.13,
1692333000000,15.12,13.94,14.89,
1692333600000,12.79,14.6,14.33,
1692334200000,13.03,14.72,11.76,
1692334800000,12.88,14.45,11.59,
1692335400000,13.35,14.25,15.06,
1692336000000,11.38,11.84,10.53,
1692336600000,11.03,12.56,9.72,
1692337200000,11.47,12.4,9.54,
1692337799000,11.56,12.63,9.49,
1692338400000,11.44,12.65,13.44,
1692339000000,11.32,12.67,9.45,
1692339600000,12.08,13.01,11,
1692340200000,11.97,13.02,10.05,
1692340800000,12.94,13.12,13.8,
1692341400000,12.17,13.47,10.39,
1692342000000,11.97,13.18,10.06,
1692342600000,11.86,13.1,9.83,
1692343200000,11.91,13.03,11.08,
1692343800000,11.94,12.58,13.38,
1692344400000,12.16,12.76,10.08,
1692345000000,12,12.24,9.97,
1692345600000,11.6,12.73,9.59,
1692346200000,11.57,13.73,9.98,
1692346800000,11.78,12.2,14.2,
1692347400000,11.7,12.33,9.76,
1692348000000,13.54,13.83,11.53,
1692348600000,13.82,14.9,12,
1692349200000,14.57,14.78,15.81,
1692349800000,14.49,14.83,14.9,
1692350400000,14.73,14.74,13.12,
1692351000000,17.59,15.24,12.38,
1692351600000,13.81,14.33,11.86,
1692352200000,14.34,15.25,15.78,
1692352800000,13.98,12.89,10.21,
1692353400000,14.83,12.64,9.79,
1692354000000,11.81,11.99,10.7,
1692354600000,12.73,12.45,14.98,
1692355200000,16.81,12.74,10.6,
1692355800000,14.19,12.73,10.27,
1692356400000,13.02,12.35,13.32,
1692357000000,12.75,14.89,10.12,
1692357600000,12.5,12.3,10.59,
1692358200000,12.51,12.43,10.79,
1692358800000,11.58,11.14,12.57,
1692359400000,11.37,12.53,9.36,
1692360000000,11.59,12.2,9.4,
1692360600000,11.96,13.07,9.56,
1692361200000,11.83,12.8,14.08,
1692361800000,12,12.44,10.79,
1692362400000,12.02,12.1,9.68,
1692363000000,11.7,12.24,9.46,
1692363600000,11.78,12.42,13.47,
1692364200000,11.97,12.48,13.15,
1692364800000,11.76,12.4,11.14,
1692365400000,11.61,12.13,11.12,
1692366000000,11.7,12.61,10.16,
1692366600000,11.89,12.39,13.78,
1692367200000,11.93,12.45,10.37,
1692367800000,11.6,11.9,9.96,
1692368400000,11.5,11.86,10.87,
1692369000000,11.44,11.77,9.9,
1692369600000,12.12,11.67,13.69,
1692370200000,11.23,11.97,9.74,
1692370800000,11.13,12.2,10.08,
1692371400000,10.98,12.13,9.92,
1692372000000,10.78,11.98,10.91,
1692372600000,11.29,12.3,13,
1692373200000,10.8,12.14,10.07,
1692373800000,10.95,12.33,9.88,
1692374400000,11.18,12.07,9.95,
1692375000000,11.31,12.08,13.56,
1692375600000,11.21,12.22,10.96,
1692376200000,10.86,12.23,10.02,
1692376800000,10.86,12.14,9.99,
1692377400000,10.7,12,9.65,
1692378000000,11.02,11.98,12.85,
1692378600000,10.59,12.03,10.51,
1692379200000,10.57,11.5,10.33,
1692379800000,10.08,11.87,9.06,
1692380400000,10.26,11.46,9.16,
1692381000000,10.36,11.4,12.77,
1692381600000,10.34,11.34,9.02,
1692382200000,10.32,11.73,10.3,
1692382800000,10.76,11.99,9.82,
1692383400000,13.19,14.27,11.96,
1692384600000,11.35,12.27,9.62,
1692385200000,10.79,11.69,9.18,
1692385800000,11.18,10.95,13.63,
1692386399000,10.95,11.54,9.14,
1692387000000,10.75,10.98,9.17,
1692387600000,10.52,11.06,8.99,
1692388200000,10.56,11.02,12.46,
1692388800000,10.51,11.13,8.85,
1692389400000,10.84,11.32,10.38,
1692390000000,10.7,11.2,9.14,
1692390600000,10.84,11.35,9.32,
1692391200000,11,11.18,12.66,
1692391799000,10.41,10.88,8.95,
1692392400000,10.66,11.43,10.2,
1692393000000,10.57,11.2,10.28,
1692393600000,12.41,13.11,11.07,
1692394200000,12.61,12.67,14.6,
1692394800000,12.59,13.01,14.15,
1692395400000,12.3,12.76,10.78,
1692396000000,12.2,12.67,11.9,
1692396599000,9.77,10.81,8.82,
1692397200000,9.38,10.67,8.66,
1692397800000,9.52,10.47,12.28,
1692398400000,9.36,10.47,8.61,
1692399000000,9.6,10.58,8.85,
1692399600000,9.65,10.84,9.93,
1692400200000,9.32,10.71,8.76,
1692400800000,9.51,10.61,12.36,
1692401400000,9.56,10.65,12.08,
1692402000000,9.36,10.69,8.61,
1692402600000,9.38,10.55,9.58,
1692403200000,9.32,10.49,9.62,
1692403800000,9.42,10.53,12.19,
1692404400000,9.55,10.66,11.2,
1692405000000,9.29,10.61,8.47,
1692405600000,9.29,10.52,8.45,
1692406200000,9.31,10.76,9.59,
1692406800000,9.38,10.14,11.94,
1692407399000,9.38,10.47,11.13,
1692408000000,9.26,10.25,8.47,
1692408600000,9.27,10.57,8.44,
1692409200000,9.18,10.39,8.32,
1692409800000,9.41,10.44,13.14,
1692410400000,9.32,10.57,8.46,
1692411000000,9.3,10.73,8.54,
1692411600000,9.27,10.52,8.34,
1692412200000,9.36,10.61,8.5,
1692412800000,9.47,10.32,11.88,
1692413400000,9.27,10.54,9.29,
1692414000000,9.37,10.59,8.53,
1692414600000,9.42,10.71,8.68,
1692415200000,9.11,10.54,8.38,
1692415800000,9.55,10.88,8.7,
1692416400000,10.16,10.82,13.61,
1692417000000,10.67,10.91,9.63,
1692417599000,11.06,10.77,8.8,
