intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Tue Mar 05 2024|  TO Tue Mar 12 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1709577000000,13.48,13.11,13.61,
1709577600000,13.4,12.29,15.8,
1709578200000,13.16,12.28,10.16,
1709578800000,13.1,12,11.64,
1709579400000,13.1,12.26,11.7,
1709580000000,12.16,12.2,11.53,
1709580600000,12.08,12.09,11.38,
1709581200000,12.08,11.91,11.27,
1709581800000,12.18,12.18,13.04,
1709582400000,12.12,11.77,11.4,
1709583000000,11.95,11.95,9.8,
1709583600000,12.02,11.44,9.77,
1709584200000,12.27,11.78,11.23,
1709584800000,12.36,11.8,11.11,
1709585400000,12.09,11.9,11.25,
1709586000000,12.72,11.58,11.22,
1709586600000,12.82,11.63,12.69,
1709587200000,12.53,11.75,11.14,
1709587800000,12.67,11.89,11.28,
1709588400000,12.57,11.87,9.62,
1709589000000,12.01,11.72,11.17,
1709589600000,12.58,11.96,11.32,
1709590200000,12.49,11.54,11.23,
1709590800000,12.2,11.84,11.31,
1709591400000,12.23,11.66,11.55,
1709592000000,11.84,11.41,12.7,
1709592600000,12.07,11.51,11.24,
1709593200000,12.1,11.23,11.28,
1709593800000,11.88,11.68,9.79,
1709594400000,11.93,12.31,11.15,
1709595000000,11.98,11.71,12.56,
1709595600000,11.96,11.77,11.29,
1709596200000,11.76,11.97,11.16,
1709596800000,11.73,11.77,11.07,
1709597400000,11.93,11.67,11.14,
1709598000000,11.89,11.54,14.48,
1709598600000,11.8,11.6,10.93,
1709599200000,11.72,11.43,11.17,
1709599800000,11.96,11.44,9.93,
1709600400000,11.95,11.26,11.01,
1709601000000,11.98,11.25,13.76,
1709601600000,11.84,11.21,11,
1709602200000,12.01,11.26,11.12,
1709602800000,11.85,11.4,11.02,
1709603400000,11.88,11.15,10.89,
1709604000000,12.09,11.19,12.7,
1709604600000,11.9,11.51,11,
1709605200000,11.96,11.6,11.11,
1709605800000,11.89,11.64,9.48,
1709606400000,11.91,11.57,11.07,
1709607000000,12,11.77,11.18,
1709607600000,14.87,11.77,10.97,
1709608200000,12.13,12,11.56,
1709608800000,14.55,11.76,11.01,
1709609400000,14.64,11.89,12.84,
1709610000000,12.47,11.78,12.73,
1709610600000,12.56,12.29,11.56,
1709611200000,15.07,13.07,9.95,
1709611799000,15.52,12.99,10.12,
1709612400000,13.14,12.71,11.34,
1709613000000,13.11,12.8,11.74,
1709613600000,13.06,12.94,14.52,
1709614200000,14.52,13.06,11.99,
1709614800000,14.46,13.79,13.78,
1709615400000,14.49,13.73,13.75,
1709616000000,17.68,13.94,14.04,
1709616600000,15.1,14.21,14.18,
1709617200000,16.19,14.34,12.63,
1709617800000,20.02,16.96,12.76,
1709618400000,18.18,16.79,15.05,
1709619000000,17.61,16.96,14.61,
1709619600000,17.5,17.35,14.87,
1709620200000,17.9,18.03,15.3,
1709620800000,17.75,17.18,17.24,
1709621400000,15.75,14.6,14.52,
1709622000000,15.98,14.16,13.33,
1709622600000,18.22,15.17,12.68,
1709623200000,15.08,15.01,12.95,
1709623800000,18.23,15.22,13.09,
1709624400000,15.37,14.69,14.57,
1709625000000,15.37,15.01,15.03,
1709625600000,14.94,14.11,14.61,
1709626200000,16.15,14.4,12.69,
1709626800000,18.28,14.43,13.07,
1709627400000,18.78,14.42,13.05,
1709628000000,16.03,15.18,13.3,
1709628600000,16.07,15.01,12.88,
1709629200000,16.33,15.55,13.21,
1709629800000,16.12,15.46,14.32,
1709630400000,16.5,15.64,14.71,
1709631000000,17.13,15.09,14.66,
1709631600000,15.24,15.31,13.19,
1709632200000,15.67,15.14,13.41,
1709632800000,15.49,15.25,14.2,
1709633400000,14.83,15.2,14.71,
1709634000000,15.13,14.59,14.91,
1709634600000,14.78,14.78,13.48,
1709635200000,15.12,14.81,13.3,
1709635800000,15.46,15.69,13.68,
1709636400000,16.94,16.79,13.51,
1709637000000,16.77,15.86,13.49,
1709637600000,17.16,15.35,13.4,
1709638200000,16.55,16.07,13.34,
