intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sun Apr 14 2024|  TO Sun Apr 21 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1713033000000,16.34,16.32,17.88,
1713033600000,16.03,16.16,16.26,
1713034199000,15.77,15.97,15.91,
1713034800000,15.85,15.95,17.53,
1713035400000,16.43,16.26,17.89,
1713036000000,16.14,16.01,17.72,
1713036600000,16.32,16.14,17.95,
1713037200000,15.76,15.73,17.4,
1713037659000,14.27,15.77,17.49,
1713037800000,14.4,16.01,16.35,
1713038400000,14.08,15.52,17.59,
1713039000000,14.84,15.73,17.58,
1713039600000,15.17,15.98,17.9,
1713040200000,14.66,16.15,16.21,
1713040800000,14.84,15.74,14.27,
1713041400000,14.53,15.43,14.34,
1713042000000,14.53,16.04,14.4,
1713042600000,13.85,15.15,17.15,
1713043200000,13.7,15.47,15.93,
1713043800000,14.21,15.53,17.57,
1713044400000,14.4,15.75,16.07,
1713045000000,14.38,15.35,15.79,
1713045600000,14.14,15.96,14.44,
1713046200000,14.42,15.64,14.68,
1713046800000,14.69,15.96,17.76,
1713047400000,14.35,15.76,15.95,
1713048000000,14.58,15.82,16.06,
1713048585000,13.54,15.53,17.47,
1713048600000,13.36,15.52,17.3,
1713049200000,13.58,15.76,17.61,
1713049800000,13.62,15.56,15.71,
1713050400000,13.8,15.38,17.12,
1713050999000,14.28,15.67,17.49,
1713051000000,14.49,15.52,17.6,
1713051600000,13.61,15.59,15.85,
1713052200000,13.85,15,17.4,
1713052800000,14,14.84,17.49,
1713053292000,13.55,15.94,17.22,
1713053399000,13.77,15.93,15.9,
1713054000000,12.93,15.32,15.55,
1713054600000,13.24,15.4,17.41,
1713055200000,12.87,14.46,15.8,
1713055800000,12.62,14.39,15.28,
1713056400000,13.5,14.64,15.44,
1713057000000,13.57,15.73,16.98,
1713057600000,13.17,14.6,15.4,
1713058200000,13.45,14.64,15.48,
1713058800000,13.64,15.51,17.05,
1713059259000,13.61,14.85,15.35,
1713059400000,13.82,14.89,15.66,
1713060000000,13.56,16.3,15.96,
1713060530000,13.76,15.17,17.44,
1713060600000,13.76,16.18,17.38,
1713061200000,13.37,14.76,16.96,
1713061786000,13.45,15.13,15.74,
1713061800000,13.38,15.05,15.57,
1713062400000,13.94,15.22,13.59,
1713063000000,14.58,15.79,15.59,
1713063600000,14.16,15.34,13.83,
1713064200000,14.23,15.25,13.89,
1713064800000,14.38,14.99,16.83,
1713065399000,14.66,15.43,14.21,
1713065400000,14.73,15.35,14.07,
1713066000000,13.76,15.4,13.94,
1713066599000,13.92,15.34,15.41,
1713066600000,13.77,15.28,15.31,
1713067200000,14.26,15.37,13.77,
1713067800000,14.43,15.34,15.51,
1713068399000,15.71,15.65,15.59,
1713068990000,15.88,15.68,14.1,
1713069000000,15.68,15.61,13.97,
1713069600000,16.12,16.11,16.07,
1713070199000,16.63,16,14.21,
1713070200000,16.49,15.86,14.13,
1713070800000,16.71,15.46,17.32,
1713071399000,16.86,16.07,16.05,
1713072000000,16.77,15.59,17.62,
1713072600000,17.56,15.73,18.32,
1713073200000,17.28,16.09,16.67,
1713073800000,17.63,16.03,18.39,
1713074399000,17.54,16.41,18.43,
1713074400000,17.6,16.39,18.39,
1713075000000,17.18,16.24,16.55,
1713075600000,17.2,15.69,18.02,
1713076200000,17.23,16.22,18.44,
1713076632000,17.09,15.59,17.17,
1713076800000,17.48,15.84,15.86,
1713077400000,17.27,16.28,15.95,
1713078000000,17.5,16.44,16.05,
1713078600000,17.51,16.38,16.09,
1713079035000,17.94,16.43,16.25,
1713079200000,17.63,16.43,16.11,
1713079800000,17.77,16.17,18.24,
1713080400000,17.74,16.32,15.96,
1713081000000,17.71,16.11,15.9,
1713081600000,18.02,16.38,16.23,
1713082200000,17.71,16.24,17.75,
1713082800000,17.72,16.11,15.95,
1713083400000,17.86,16.18,16.3,
1713084000000,17.74,16.16,16.13,
1713084600000,17.92,16.3,16.22,
1713085200000,17.68,16.04,16,
1713085800000,17.79,16.15,16.11,
1713086400000,17.78,16.07,15.98,
1713087000000,18.24,16.46,16.23,
1713087600000,18.22,16.17,16.33,
1713088130000,17.92,16.11,17.65,
1713088200000,18.26,15.95,20.44,
1713088800000,17.71,15.81,18.03,
1713089400000,17.97,16.15,16.22,
1713090000000,17.94,16.1,14.5,
1713090600000,18.04,16.11,19.86,
1713091200000,18.18,16.41,16.39,
1713091800000,18.04,16.12,16.22,
1713092400000,18.18,16.22,18.68,
1713093000000,18.05,16.41,16.4,
1713093600000,18.05,16.32,17.76,
1713094200000,18.16,16.4,14.67,
1713094800000,17.99,16.38,16.25,
1713095400000,18.64,17.08,15.41,
1713096000000,18.57,16.92,16.8,
1713096600000,18.17,16.87,16.55,
1713097200000,18.31,16.9,16.61,
1713097800000,18.24,16.98,16.72,
1713098400000,18,17.22,14.93,
1713099000000,17.7,16.96,16.77,
1713099600000,17.84,16.47,20.55,
1713100200000,17.7,16.79,16.58,
1713100800000,17.68,16.96,16.56,
1713101400000,17.14,16.52,16.13,
1713102000000,17.3,16.5,20.04,
1713102600000,17.29,16.53,18.06,
1713103200000,16.94,16.14,16.04,
1713103800000,16.95,16,16.14,
1713104400000,17.19,16.11,18.36,
1713105000000,16.56,15.75,17.63,
1713105600000,16.42,16.16,16.17,
1713106200000,16.41,16.19,16.06,
