intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Mon Apr 22 2024|  TO Mon Apr 29 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1713724200000,14.71,13.67,17.91,
1713724800000,14.54,13.32,19.61,
1713725400000,14.4,13.07,17.75,
1713725999000,13.99,13.14,17.45,
1713726600000,14.13,12.85,20.66,
1713727200000,14.38,13.22,19.34,
1713727800000,14.45,13.2,17.73,
1713728400000,14.19,13.16,17.68,
1713729000000,13.71,13.13,15.71,
1713729600000,14.12,13.07,17.42,
1713730200000,14.53,13.45,19.53,
1713730800000,14.62,13.5,18,
1713731400000,13.91,12.91,17.49,
1713732000000,14.06,13.1,17.48,
1713732600000,13.8,13.07,17.66,
1713733200000,14.24,12.99,21.8,
1713733800000,13.69,13.19,19.19,
1713734400000,13.56,13.34,17.04,
1713735000000,14.26,13.43,15.99,
1713735600000,14.29,13.34,20.5,
1713736200000,13.9,13.29,17.35,
1713736799000,14.25,12.94,18.76,
1713736800000,13.94,13.07,18.89,
1713737400000,13.82,13.15,15.73,
1713738000000,13.75,13.12,15.42,
1713738600000,13.87,13,17.06,
1713739200000,13.95,13.18,18.81,
1713739799000,13.95,13.3,17.38,
1713739800000,14.35,13.51,17.79,
1713740400000,13.52,13.05,15.57,
1713741000000,13.45,13,15.68,
1713741600000,15.58,15.4,19.56,
1713742200000,16.53,15.59,24.48,
1713742800000,16.03,15.16,19.69,
1713743400000,15.96,15.27,19.47,
1713744000000,13.83,13.08,17.17,
1713744600000,14.01,13.11,20.17,
1713745200000,13.99,13.03,18.47,
1713745800000,14.44,13.56,19.21,
1713746400000,13.98,12.89,18.83,
1713747000000,13.77,12.72,16.91,
1713747600000,13.87,13.19,17.37,
1713748200000,13.83,13.26,17,
1713748800000,13.77,12.9,18.63,
1713749400000,13.93,13.08,17.27,
1713750000000,14.95,13.06,17.05,
1713750600000,14.95,12.81,17.38,
1713751199000,14.88,13.36,17.14,
1713751200000,14.69,13.21,16.92,
1713751800000,15.16,13.3,19.2,
1713752400000,15.06,13.19,17.71,
1713752999000,15.2,13.62,17.52,
1713753000000,15.2,13.65,17.51,
1713753600000,15,14.15,19.53,
1713754200000,14.87,14.05,17.31,
1713754800000,15.42,14.48,19.2,
1713755400000,15.25,14.32,19.44,
1713756000000,15.59,17.59,18.44,
1713756600000,15.79,18.24,18.42,
1713757200000,15.73,16.79,18.75,
1713757800000,15.43,16.78,19.69,
1713758400000,15.67,16.47,17.86,
1713758986000,18.51,19.43,18.66,
1713759000000,15.42,18.8,18.41,
1713759448000,18.7,17.24,17.44,
1713759600000,18.73,16.2,18.49,
1713760200000,15.65,16.84,16.73,
1713760800000,17.86,16.94,20.02,
1713761400000,18.99,17.41,19.67,
1713761988000,19.11,17.43,16.51,
1713762000000,19.06,17.49,16.47,
1713762600000,20.78,17.89,18.84,
1713763200000,20.68,17.23,18.3,
1713763800000,20.54,17.36,22.74,
1713764399000,20.86,19.42,16.95,
1713764400000,21.17,19.72,18.75,
1713765000000,20.8,20.01,16.84,
1713765600000,20.62,22.51,18.51,
1713766200000,25.77,22.13,20.62,
1713766800000,20.49,21.67,20.77,
1713767400000,20.64,21.69,20.71,
1713768000000,18.7,24.05,20.56,
1713768600000,18.98,22.17,20.92,
1713769200000,18.2,21.79,22.05,
1713769800000,17.91,21.6,20.56,
1713770400000,17.85,24.48,20.99,
1713770974000,17.78,21.56,20.78,
1713771000000,17.98,21.32,20.63,
1713771600000,20.66,21.48,23.69,
1713772200000,17.83,21.26,22.16,
1713772800000,17.31,22.03,18.54,
1713773289000,16.88,18.89,16.6,
1713773400000,16.99,19.1,18.44,
1713774000000,17.71,18.78,19.73,
1713774600000,17.14,19.28,20.3,
