intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Tue Apr 30 2024|  TO Tue May 07 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1714415400000,13.85,14.68,13.52,
1714416000000,13.01,17.36,14.1,
1714416600000,13.71,17.53,12.13,
1714417200000,12.88,16.81,13.48,
1714417800000,12.81,16.73,13.44,
1714418399000,13.78,16.11,13.6,
1714418400000,13.83,16.06,13.7,
1714419000000,13.88,16.05,15.04,
1714419600000,12.63,17.12,13.52,
1714420200000,12.69,16.84,11.59,
1714420800000,12.26,16.46,11.76,
1714421400000,13.21,16.67,12.88,
1714422000000,12.18,16.9,11.91,
1714422600000,13.14,15.77,11.61,
1714423200000,13.41,15.48,11.36,
1714423800000,13.53,15.42,12.96,
1714424400000,12.86,16.63,13.23,
1714425000000,12.28,16.48,11.9,
1714425600000,11.07,15.87,11.52,
1714426200000,12.13,15.61,11.86,
1714426800000,11.17,16.15,11.77,
1714427400000,11.35,13.03,11.69,
1714428000000,12.22,14.04,11.69,
1714428600000,11.31,13.62,13.04,
1714429200000,11.91,16.44,11.71,
1714429800000,11.61,16.01,11.98,
1714430400000,11.47,16.56,13.27,
1714431000000,11.87,14.19,11.54,
1714431600000,11.36,13.98,11.81,
1714432200000,11.67,15.08,11.58,
1714432800000,11.98,15.95,12.84,
1714433400000,11.43,15.78,14.84,
1714434000000,11.06,15.91,11.32,
1714434600000,11.93,12.98,11.42,
1714435200000,12.2,13.14,11.58,
1714435800000,12.37,15.45,13.29,
1714436399000,12.35,15.99,12.95,
1714436400000,12.38,15.92,12.91,
1714437000000,10.73,15.92,11.1,
1714437600000,11.47,14.97,11.13,
1714438200000,11.8,14.79,10.86,
1714438800000,11.88,12.49,12.44,
1714439400000,12.27,12.83,12.87,
1714440000000,12.03,15.91,11.29,
1714440600000,10.82,15.97,11.25,
1714441200000,10.8,15.17,10.64,
1714441800000,11.6,13.64,12.69,
1714442400000,11,13.46,12.81,
1714443000000,11.44,15.85,11.33,
1714443600000,10.98,15.92,11.42,
1714444200000,10.79,16.03,11.22,
1714444800000,14.33,16.38,13.26,
1714445400000,11.5,16.28,11.66,
1714446000000,11.77,13.43,11.05,
1714446600000,12.2,13.49,11.09,
1714447200000,13.21,15.12,11.05,
1714447800000,12.6,15.19,13.41,
1714448400000,12.72,16.65,11.87,
1714449000000,11.62,16,11.64,
1714449600000,13.88,16.82,10.25,
1714450200000,14.25,17.3,12.43,
1714450800000,16.22,17.8,13.93,
1714451400000,13.95,17.86,12.64,
1714452000000,15.07,17.76,12.55,
1714452600000,15.27,18.46,12.61,
1714453200000,16.93,19.33,14.06,
1714453800000,16.39,16.84,16.2,
1714454370000,20.32,17.41,15.55,
1714454400000,17.74,17.53,15.95,
1714455000000,20.03,21.67,16.49,
1714455600000,20.64,22.21,17.32,
1714456200000,21.63,20.76,20.77,
1714456800000,21.44,23.05,17.72,
1714457400000,21.41,20.37,18.9,
1714458000000,21.14,22.51,18.65,
1714458600000,21.74,19.8,18.92,
1714459200000,24.81,21.02,21.24,
1714459799000,25.84,24.58,20.35,
1714459800000,25.84,24.55,20.33,
1714460400000,21.89,20.86,19.56,
1714461000000,21.83,23.61,19.8,
1714461600000,22.16,21.65,19.7,
1714462200000,22.3,21.8,21.44,
1714462800000,22.11,24.06,19.92,
1714463400000,20,19.27,17.88,
1714464000000,19.85,18.9,17.45,
1714464600000,19.61,22,18.14,
1714465199000,19.6,18.88,17.89,
1714465800000,19.94,19.11,17.82,
1714466400000,22.07,19.14,17.45,
1714467000000,22,19.21,17.29,
1714467600000,24.89,21.16,19.16,
1714468200000,22.2,21.8,17.93,
1714468800000,22.62,19.3,17.98,
1714469400000,21.85,18.81,17.25,
1714470000000,19.77,19.78,17.65,
1714470599000,19.52,19.19,19.25,
1714471200000,19.93,19.4,17.51,
1714471800000,20.07,22.07,17.99,
1714472400000,19.81,21.71,17.68,
1714473000000,20,22.58,17.88,
1714473453000,20.17,19.08,19.79,
1714473600000,20.27,19.19,19.81,
1714474200000,19.82,19.14,17.68,
1714474800000,22.9,19.42,18.1,
1714475211000,19.84,21.32,17.79,
1714475400000,21.66,23.54,19.64,
1714476000000,21.69,23.04,21.12,
1714476600000,21.46,23.67,19.49,
1714477200000,21.46,20.61,19.34,
1714477800000,21.46,20.55,19.44,
