intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sat Apr 06 2024|  TO Sat Apr 13 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1712341800000,16.97,16.3,18.3,
1712342400000,17.12,16.31,16.61,
1712343000000,16.51,15.86,16.25,
1712343600000,16.7,16.38,19.59,
1712344200000,17.07,16.72,19.79,
1712344800000,16.36,16.36,14.57,
1712345400000,16.63,15.74,18.02,
1712346000000,16.28,16.02,15.93,
1712346600000,16.32,15.79,15.7,
1712347200000,16.74,15.85,19.49,
1712347800000,16.71,15.57,16.09,
1712348400000,16.61,15.81,16.09,
1712349000000,16.7,16.04,18.26,
1712349600000,15.09,15.84,14.33,
1712350200000,15.52,15.2,18.93,
1712350800000,15.12,15.59,17.67,
1712351400000,15.6,15.61,17.76,
1712352000000,15.32,15.59,14.42,
1712352600000,15.14,15.9,17.95,
1712353200000,15.35,15.41,17.5,
1712353800000,15.83,15.51,17.73,
1712354400000,15.82,15.85,19.67,
1712355000000,15.25,15.87,16.16,
1712355600000,15.25,15.35,15.89,
1712356200000,15.01,15.4,14.13,
1712356800000,15.15,15.47,17.38,
1712357400000,15.26,17.34,15.95,
1712358000000,15.82,16.97,18.07,
1712358600000,15.31,16.74,16.29,
1712359200000,15.26,15.76,16.1,
1712359800000,15.47,16.21,14.43,
1712360400000,15.42,15.74,16.06,
1712361000000,15.14,15.85,15.86,
1712361600000,15.27,16.24,17.77,
1712362200000,15.11,16.27,14.36,
1712362800000,15.36,16.23,16.02,
1712363400000,15.5,16.3,16.17,
1712364000000,14.95,16.09,16.06,
1712364600000,15.56,16.06,19.35,
1712365200000,15.31,15.63,19.05,
1712365800000,13.74,16.07,14,
1712366400000,13.73,15.66,15.38,
1712367000000,13.67,15.93,13.86,
1712367600000,13.62,15.76,15.32,
