intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sat Dec 16 2023|  TO Sat Dec 23 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1702665000000,10.14,10.34,11.88,
1702666200000,9.77,9.29,10.2,
1702666800000,10.47,11.67,13.25,
1702667400000,9.71,11.93,11.63,
1702668000000,9.77,12.15,11.81,
1702668600000,10.23,12.1,13.32,
1702669200000,9.99,10.33,13.16,
1702669800000,9.94,9.92,11.59,
1702670400000,10.22,9.93,11.59,
1702671000000,9.76,12.43,11.88,
1702671600000,9.63,12.03,11.69,
1702672200000,9.81,12.38,11.57,
1702672800000,9.78,12.11,11.6,
1702673400000,10.3,12.07,11.74,
1702674000000,9.75,11.57,13.29,
1702674600000,9.78,11.8,13.35,
1702675200000,9.55,11.91,10.16,
1702675800000,9.59,12.26,11.57,
1702676400000,10.25,12.01,11.74,
1702677000000,9.97,12.06,11.82,
1702677600000,9.99,11.3,12.89,
1702678200000,9.78,11.94,13.33,
1702678800000,9.77,12.04,11.61,
1702679400000,9.68,12.45,10.19,
1702680000000,9.69,11.92,11.5,
1702680600000,9.64,12.23,11.79,
1702681200000,9.7,11.49,11.53,
1702681800000,9.87,9.92,13.11,
1702682400000,9.72,10.07,10.01,
1702683000000,9.63,12.36,11.73,
1702683600000,10.71,12.3,11.64,
1702684200000,10.45,12.6,11.54,
1702684800000,10.48,11.71,11.31,
1702685400000,10.51,11.69,13.24,
1702686000000,10.69,9.8,11.51,
1702686600000,10.44,10.66,11.43,
1702687200000,10.53,10.38,9.97,
1702687800000,10.16,12.23,9.9,
1702688400000,10.3,12.19,11.35,
1702689000000,10.57,12.32,13.01,
1702689600000,10.12,10.21,13.07,
1702690200000,10.12,11.72,11.4,
1702690800000,10.39,12.87,11.62,
1702691400000,10.26,12.22,11.37,
1702692000000,10.21,12.29,13.05,
1702692600000,10.24,11.78,11.38,
1702693200000,10.45,10.45,12.87,
