intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sun Dec 24 2023|  TO Sun Dec 31 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1703356200000,9.63,11.43,9.99,
1703356800000,9.7,11.23,12.95,
1703357400000,9.62,9.11,11.06,
1703358000000,10.07,9.07,13.87,
1703358600000,9.53,10.98,13.97,
1703359200000,10.23,9.24,11.15,
1703359800000,9.47,8.95,11.3,
1703360400000,9.48,9.54,9.65,
1703361000000,10.06,11.49,12.76,
1703361600000,12.17,11.64,15.46,
1703362200000,12.1,13.4,13.99,
1703362800000,12.7,13.43,15.32,
1703363400000,12.45,13.66,15.82,
1703364000000,9.81,11.27,11.68,
1703364600000,10.59,9.51,13.07,
1703365200000,9.73,11.83,11.76,
1703365800000,10.24,11.55,14.24,
1703366400000,9.56,11.43,11.38,
1703367000000,9.73,9.29,12.77,
1703367600000,10.2,11.19,11.46,
1703368200000,9.9,9.16,12.97,
1703368800000,9.31,10.85,9.69,
1703369400000,10.29,11,13.05,
1703370000000,9.91,9.24,11.25,
1703370600000,10.15,9.5,12.88,
1703371200000,9.49,11.5,9.97,
1703371800000,10.39,9.11,14.07,
1703372400000,10.2,8.99,12.63,
1703373000000,9.44,10.88,11.11,
1703373600000,10.02,8.86,12.35,
1703374200000,9.62,8.5,12.6,
1703374800000,8.9,10.35,10.89,
1703375400000,9.53,8.45,12.48,
1703376000000,8.83,10.34,9.57,
1703376600000,9,10.49,11.24,
1703377200000,9.32,8.35,10.85,
1703377800000,8.87,10.24,10.77,
1703378400000,8.85,10.56,11.14,
1703379000000,9.36,8.64,10.67,
1703379600000,8.84,8.61,10.87,
1703380200000,8.64,10.67,9.38,
1703380800000,8.86,8.89,10.94,
1703381400000,8.9,8.84,10.84,
1703382000000,8.72,10.77,9.4,
1703382600000,8.73,10.69,12.41,
1703383200000,8.98,8.6,11.88,
1703383800000,9.33,10.82,12.43,
1703384400000,9.49,8.86,12.07,
1703385000000,9.35,10.69,11.09,
1703385600000,9.4,8.73,10.55,
1703386200000,9.44,10.53,13.61,
1703386800000,9.4,8.45,11.83,
1703387400000,9.25,10.84,11.06,
1703388000000,9.67,8.88,12.55,
1703388600000,10.25,9.01,12.24,
1703389200000,9.57,10.79,11.28,
1703389800000,10.08,9.6,11.37,
1703390400000,9.98,11.25,11.64,
1703391000000,9.79,9.37,14.33,
1703391600000,10.09,11.36,14.53,
1703392200000,10.46,9.77,13.53,
1703392800000,10.52,9.37,12.97,
1703393400000,10.1,11.39,12.75,
1703394000000,10.35,10.23,14.54,
1703394600000,9.95,11.33,11.5,
1703395200000,10.08,9.33,13.13,
1703395800000,9.81,11.14,13,
1703396400000,10.18,11.32,12.7,
1703397000000,10.11,9.09,11.08,
1703397600000,9.74,11.25,11.15,
1703398200000,10.65,9.62,11.75,
1703398800000,10.45,11.69,14.5,
1703399400000,10.44,11.74,14.54,
1703400000000,10.66,10.14,13.2,
1703400600000,10.66,11.82,11.74,
1703401200000,10.5,12.36,11.71,
1703401799000,10.6,9.74,11.55,
1703402400000,10.61,11.69,14.63,
1703403000000,10.89,12.15,13.71,
1703403600000,10.69,9.57,11.53,
1703404200000,10.6,9.78,11.77,
1703404800000,10.55,11.64,13.14,
1703405400000,10.08,11.71,12.77,
1703406000000,10.2,9.29,12.64,
1703406600000,9.9,12.01,12.81,
1703407200000,10.02,11.41,12.68,
1703407800000,10.11,9.45,11.19,
1703408400000,10.25,9.7,11.37,
1703409000000,10.52,10.29,11.54,
1703409600000,10.54,11.88,14.79,
1703410200000,10.4,12.17,11.74,
1703410800000,10.4,9.8,11.51,
1703411400000,10.49,9.58,11.57,
1703412000000,11.38,11.82,12.99,
1703412600000,11.29,11.93,13.23,
1703413200000,11.14,12.66,11.9,
1703413800000,11.16,9.92,11.7,
1703414400000,10.61,11.98,13.11,
1703415000000,10.31,11.79,12.95,
1703415600000,10.16,10.54,11.69,
1703416199000,10.05,11.21,12.9,
1703416800000,9.8,11.36,9.7,
1703417400000,10.04,9.35,12.47,
1703418000000,10.49,11.99,11.99,
1703418600000,11.66,12.31,12.26,
1703419200000,11.73,12.24,13.94,
1703419800000,11.47,10.05,15.17,
1703420400000,10.95,10.16,12.98,
1703421000000,11.03,12.03,11.93,
1703421600000,11,12.48,12.38,
1703422200000,10.79,12.2,13.45,
1703422800000,10.82,11.91,15.11,
1703423400000,10.62,11.99,13.65,
1703424000000,10.31,9.8,11.55,
1703424600000,10.21,11.77,13.05,
1703425199000,10.31,11.89,11.73,
1703425800000,10.24,11.82,11.64,
1703426400000,10.3,11.53,13.22,
1703427000000,10.32,11.73,13.39,
1703427600000,10.5,9.61,14.46,
1703428200000,10.23,9.28,13.43,
1703428800000,10.05,12.05,11.91,
1703429400000,10.12,11.56,13.21,
1703430000000,10,11.36,14.64,
1703430600000,9.89,11.6,12.97,
1703431200000,9.92,11.47,13.33,
1703431800000,9.96,11.08,13.56,
1703432400000,10.17,11.74,13.74,
1703433000000,10.11,12.26,14.88,
1703433600000,9.65,11.67,13.73,
1703434200000,10.08,11.79,13.85,
1703434800000,9.95,11.62,14.92,
1703435400000,10.37,11.72,13.95,
1703436000000,10.15,11.88,13.65,
1703436600000,10.3,11.44,13.7,
1703437200000,10.22,11.9,14.66,
1703437800000,10.53,11.24,13.59,
1703438400000,10.28,10.02,13.63,
1703439000000,9.9,11.14,13.39,
1703439600000,10,9.02,14.12,
1703440200000,9.78,8.91,13.03,
1703440800000,9.82,8.86,12.91,
1703441400000,9.78,10.85,14.43,
1703442000000,9.97,11.09,14.67,
1703442600000,10.07,11.76,14.78,
1703443200000,9.77,11.03,13.06,
1703443800000,10.04,11.22,13.33,
1703444400000,10.04,9.1,14.49,
1703445000000,10.85,11.16,14.52,
1703445600000,10.04,11.14,13.32,
1703446200000,10.9,11.41,13.44,
1703446800000,10.09,11.17,13.19,
1703447400000,10.08,9.28,14.76,
1703448000000,10.06,9.09,13.16,
1703448600000,10.66,11.1,14.65,
1703449200000,10.03,9.35,13.16,
1703449800000,10.02,11.18,13.53,
1703450400000,10.02,9.33,13.44,
1703451000000,10.22,10.74,13.06,
1703451600000,9.51,10.95,11.35,
1703452200000,9.85,9.23,14.27,
1703452800000,9.72,10.8,14.2,
1703453400000,9.39,11.06,11.48,
1703454000000,9.65,10.88,12.97,
1703454600000,9.72,10.77,14.15,
1703455200000,9.54,10.78,11.17,
1703455800000,9.76,8.8,12.94,
1703456400000,9.85,8.9,14.3,
1703457000000,9.33,11.62,9.89,
1703457600000,9.6,10.9,13.13,
1703458200000,9.74,8.67,14.16,
1703458800000,9.46,10.92,13.02,
1703459400000,9.62,11.48,12.97,
1703460000000,9.68,8.87,12.5,
1703460600000,9.64,10.81,12.91,
1703461200000,9.7,10.91,12.98,
1703461800000,9.54,11.01,12.92,
1703462400000,9.62,11.42,12.69,
1703463000000,9.56,10.85,14.17,
1703463600000,9.77,8.87,12.72,
1703464200000,9.59,8.84,11.19,
1703464800000,9.28,10.9,10.97,
1703465400000,9.67,8.75,12.56,
1703466000000,9.48,10.79,12.81,
1703466600000,9.46,10.88,10.97,
1703467200000,9.51,8.8,11.18,
1703467800000,9.71,8.7,13.83,
1703468400000,9.72,10.03,13.99,
1703469000000,9.34,11.29,12.65,
1703469600000,9.56,8.78,12.56,
1703470200000,9.55,8.86,11,
1703470800000,9.47,11.3,14.01,
1703471400000,9.58,8.8,12.73,
1703472000000,9.68,8.75,12.65,
1703472600000,9.49,10.69,14,
1703473200000,9.33,10.74,12.58,
1703473800000,9.3,10.69,12.56,
1703474400000,9.31,10.84,11.23,
1703475000000,9.39,8.88,10.8,
1703475600000,9.64,9.33,13.75,
1703476200000,9.42,10.68,12.49,
1703476800000,9.31,11.44,11.1,
1703477400000,9.44,10.67,12.71,
1703478000000,9.24,10.77,12.41,
1703478600000,9.31,10.88,10.95,
1703479200000,9.77,8.62,12.41,
1703479800000,9.47,10.94,12.67,
1703480400000,9.51,10.96,12.54,
1703481000000,9.35,10.94,11.02,
1703481599000,9.61,9.34,12.71,
1703482200000,10.17,11.19,14.4,
1703482800000,10.44,12,11.48,
1703483400000,10.05,9.31,12.93,
1703484000000,10,11.29,12.81,
1703484600000,9.97,11.19,13.17,
1703485200000,10.11,11.58,13.27,
1703485800000,10.21,11.61,14.59,
1703486400000,10.38,11.62,11.54,
1703487000000,10.12,11.63,13.09,
