intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Fri Dec 08 2023|  TO Fri Dec 15 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1701973800000,10.94,9.85,13.36,
1701974400000,10.62,12.08,12.94,
1701975000000,10.73,12.06,11.71,
1701975600000,11.62,12.09,13.37,
1701976200000,10,12.14,12.32,
1701976800000,10.09,12.07,12.11,
1701977400000,10.65,11.82,11.77,
1701978000000,10.57,11.91,11.93,
1701978600000,10.13,11.89,11.94,
1701979200000,10,11.64,13.43,
1701979800000,10.64,12.15,13.39,
1701980400000,10.08,11.72,13.22,
1701981000000,9.99,11.83,13.5,
1701981600000,10.41,11.99,10.24,
1701982200000,9.78,11.66,11.65,
1701982800000,10.29,11.97,13.24,
1701983400000,9.99,12.03,13.32,
1701984000000,9.79,12.02,13.41,
1701984600000,10.21,9.72,11.72,
1701985200000,10.27,12.11,13.55,
1701985800000,10.4,11.9,13.23,
1701986399000,9.98,11.76,13.1,
1701987000000,9.89,9.73,13,
1701987600000,10.56,11.59,14.55,
1701988200000,9.87,11.47,10.16,
1701988800000,9.66,11.68,13.3,
1701989400000,10.21,11.47,14.61,
1701990000000,9.9,9.72,12.78,
1701990600000,9.67,11.91,11.55,
1701991200000,10.28,12.23,13.24,
1701991800000,9.85,11.79,13.01,
1701992400000,10.47,11.82,12.92,
1701993000000,9.85,9.81,11.45,
1701993600000,9.76,11.35,12.88,
1701994200000,10.5,9.44,13.11,
1701994800000,9.66,11.28,13.17,
1701995400000,9.98,12.01,11.74,
1701996000000,10.27,12.13,11.84,
1701996600000,10.38,12.16,10.26,
1701997200000,10.12,12.27,11.97,
1701997800000,10.42,11.95,13.07,
1701998400000,10.86,11.64,13.17,
1701999000000,9.91,12,13.64,
1701999600000,10.45,11.45,13.07,
1702000200000,9.91,11.42,14.5,
1702000800000,10.26,11.77,12.83,
1702001400000,10.15,12.48,11.77,
1702002000000,10.77,12.36,13.08,
1702002600000,10.32,12.39,11.69,
1702003200000,10.24,12.38,11.63,
1702003800000,10.7,12.43,11.44,
1702004400000,13.27,12.31,10.24,
1702005000000,10.31,12.44,11.7,
1702005600000,11.88,10.97,12.95,
1702006200000,10.87,12.62,11.58,
1702006800000,11.21,12.95,12.24,
1702007400000,10.59,12.76,13.19,
1702008000000,14.5,12.83,12.81,
1702008600000,10.9,12.6,13.19,
1702009200000,11.59,12.95,13.18,
1702009800000,12.33,13.06,15,
1702010400000,13.05,13.33,12.65,
1702011000000,11.39,12.7,14.92,
1702011600000,11.64,12.97,15.04,
1702012200000,12.03,11.48,10.29,
1702012800000,11.37,13.37,12.21,
1702013400000,12.15,13.51,11.95,
1702014000000,11.8,13.56,10.65,
1702014600000,11.82,11.48,13.61,
1702015200000,12.31,13.44,15.09,
1702015800000,11.56,13.49,12.06,
1702016400000,11.79,11.26,13.75,
1702017000000,14.63,11.17,13.63,
1702017600000,11.85,13.4,13.34,
1702018200000,12.31,13.55,12,
1702018800000,15.55,13.81,13.6,
1702019400000,11.84,13.79,12.22,
1702020000000,12,13.17,13.6,
1702020600000,12.12,13.91,15.57,
1702021200000,14.69,14.26,14.46,
1702021800000,12.18,11.94,12.54,
1702022400000,13.92,13.87,14.39,
1702023000000,13.91,15.74,16.13,
1702023600000,15.17,15.52,14.23,
1702024200000,15.05,16.57,16.23,
1702024800000,14.84,16.2,12.73,
1702025400000,12.66,14.04,13.54,
1702026000000,12.42,13.91,10.44,
