intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sat Feb 10 2024|  TO Sat Feb 17 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1707503400000,12.26,14.12,12.22,
1707504000000,11.89,13.68,11.77,
1707504600000,11.53,13.21,11.28,
1707505200000,12.03,13.32,11.81,
1707505800000,12.05,13.51,11.93,
1707506400000,12.02,11.32,11.62,
1707507000000,12.23,13.53,12.06,
1707507600000,12.08,13.38,12.03,
1707508200000,11.85,13.27,11.78,
1707508800000,12.11,11.89,11.8,
1707509400000,11.32,12.79,13.84,
1707510000000,11.96,13.53,11.81,
1707510600000,11.88,13.45,11.97,
1707511200000,10.28,13.14,12.06,
1707511800000,11.29,12.89,11.73,
1707512400000,11.95,12.72,11.81,
1707513000000,11.76,12.56,11.55,
1707513600000,12,10.46,11.24,
1707514200000,11.94,13.06,11.29,
1707514800000,11.2,12.94,13.42,
1707515400000,11.39,10.51,11.08,
1707516000000,11.62,12.54,11.56,
1707516600000,11.59,12.74,11.45,
1707517200000,11.61,12.58,11.27,
1707517800000,11.16,12.6,11.53,
1707518400000,11.91,10.95,11.52,
1707519000000,11.64,12.44,11.5,
1707519600000,11.41,10.54,11.35,
1707520200000,10.74,12.54,11.51,
1707520800000,11.3,12.68,11.85,
1707521400000,11.41,12.43,11.38,
1707522000000,11.4,12.4,11.48,
1707522600000,11.23,10.28,10.98,
1707523200000,11.29,12.48,13.92,
1707523800000,11.05,12.6,11.39,
1707524400000,11.7,10.46,11.07,
1707525000000,10.56,12.23,11.64,
1707525600000,10.72,12.15,11.15,
1707526200000,10.98,9.93,11.22,
1707526800000,11.17,9.96,11.07,
1707527400000,10.46,12.07,11.32,
1707528000000,10.83,11.92,11.22,
1707528600000,11.21,9.93,13.63,
1707529200000,11.1,11.75,11.09,
1707529800000,10.13,9.82,9.58,
1707530400000,10.75,11.96,10.97,
1707531000000,10.88,9.68,10.91,
1707531600000,11.6,12.03,11.46,
1707532200000,10.36,12.01,9.89,
1707532800000,11.2,10.17,11.34,
1707533400000,11.27,12.35,11.29,
1707534000000,11.49,11.99,13.42,
1707534600000,10.51,9.98,11.36,
1707535200000,11.12,12.14,11.4,
1707535800000,11.69,12.69,10.14,
1707536400000,12.53,10.32,11.42,
1707537000000,12.26,10.11,13.22,
1707537600000,12.08,12.23,11.43,
1707538200000,12.31,12.57,11.42,
1707538800000,12.72,10.79,11.63,
1707539400000,12.08,12.92,11.61,
1707539999000,11.92,12.7,11.44,
1707540600000,11.31,12.62,11.5,
1707541200000,12.86,10.7,11.5,
1707541800000,13.38,12.79,11.47,
1707542400000,15.41,15.02,13.8,
1707543000000,14.86,14.78,13.63,
1707543600000,15.2,12.9,13.55,
1707544200000,14.69,15.33,13.66,
1707544800000,15.3,14.86,13.5,
1707545400000,16.61,14.94,13.54,
1707546000000,14.99,15.26,13.91,
1707546600000,13.26,13.57,13.93,
1707547200000,13.51,13.14,11.58,
1707547800000,13.23,13.17,11.53,
1707548400000,18.8,13.75,11.61,
1707549000000,14.17,13.26,11.72,
1707549600000,15.06,14.01,13.6,
1707550200000,14.15,13.47,11.82,
1707550800000,13.6,13.16,11.86,
1707551400000,13.89,13.1,11.01,
1707552000000,12.59,12.93,11.17,
1707552600000,13.54,13.11,11.32,
