intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sun Feb 18 2024|  TO Sun Feb 25 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1708194600000,10.52,13.22,11.17,
1708195200000,11.12,12.36,11.03,
1708195800000,11.06,12.42,10.94,
1708196400000,10.32,10.5,9.31,
1708197000000,10.86,10.38,10.73,
1708197600000,10.88,12.55,10.88,
1708198200000,10.19,12.45,10.73,
1708198800000,10.88,12.19,12.82,
1708199400000,11.23,10.32,10.45,
1708200000000,10.34,10.09,10.84,
1708200600000,10.81,9.58,10.59,
1708201200000,11.29,9.88,10.85,
1708201799000,9.76,11.7,11.13,
1708202400000,10.22,9.48,9.18,
1708203000000,10.34,10.41,9.28,
1708203600000,9.52,11.68,9.35,
1708204200000,10.08,11.35,9.19,
1708204800000,9.55,9.54,9.07,
1708205400000,9.64,9.34,9.31,
1708206000000,10.24,9.6,9.23,
1708206600000,9.33,11.57,9.29,
1708207200000,10.2,11.14,12.46,
1708207800000,10.15,9.68,10.62,
1708208400000,9.65,9.71,10.83,
1708209000000,9.66,9.16,10.56,
1708209600000,10.29,11.23,10.8,
1708210200000,10.41,9.69,10.86,
1708210800000,10.73,9.86,11.07,
1708211400000,9.81,12.01,11.12,
1708212000000,10.25,11.57,9.79,
1708212600000,10.45,9.78,10.86,
1708213200000,10.48,9.97,11.05,
1708213800000,10.48,9.55,11.11,
1708214400000,9.76,9.66,10.77,
1708215000000,10.51,9.33,10.88,
1708215600000,10.65,11.82,13.24,
1708216200000,9.67,11.78,11,
1708216800000,10.35,11.34,11.23,
1708217400000,9.72,11.72,10.92,
1708218000000,10.2,11.35,10.84,
1708218600000,10.17,11.31,10.59,
1708219200000,9.69,9.92,9.42,
1708219800000,10.16,9.58,9.34,
1708220400000,10.22,9.89,9.41,
1708221000000,10.1,11.44,10.77,
1708221600000,10.34,9.8,10.83,
1708222200000,10.07,10.07,10.93,
1708222800000,10.41,9.59,9.41,
1708223400000,10.81,10.29,10.86,
1708224000000,10.39,11.82,12.54,
1708224600000,10.49,12.03,11.03,
1708225200000,8.41,10.06,10.89,
1708225800000,10.81,12.17,9.3,
1708226400000,10.44,9.86,10.84,
1708227000000,10.35,10.23,10.8,
1708227600000,10.78,9.55,10.68,
1708228200000,10.07,12.1,10.85,
1708228800000,10.23,12.2,9.44,
1708229400000,10.93,11.69,10.98,
1708230000000,11.15,10.64,11,
1708230600000,10.47,10.58,10.86,
1708231200000,11.54,12.49,11.1,
1708231800000,11.82,12.54,11.14,
1708232400000,12.5,12.64,11.29,
1708233000000,11.86,10.63,9.71,
1708233600000,12.46,12.43,11.18,
1708234200000,12.96,12.86,11.1,
1708234800000,12.16,11.01,10.97,
1708235400000,13.67,12.82,11.12,
1708236000000,13.59,11.33,9.66,
1708236600000,13.65,13.61,11.55,
1708237200000,14.17,13.51,11.36,
1708237800000,13.44,11.21,11.19,
1708238400000,14.13,11.35,11.19,
1708239000000,13.08,13.46,11.5,
1708239600000,14,11.44,11.11,
1708240200000,14.51,13.51,11.74,
1708240800000,13.34,11.17,11.31,
1708241400000,14.01,11.69,11.84,
1708242000000,14.81,13.6,11.55,
1708242600000,13.66,12.57,11.41,
1708243200000,14.14,13.5,11.6,
1708243800000,14.77,11.23,11.28,
1708244400000,11.95,13.23,11.47,
1708245000000,12.62,11.73,11.28,
1708245600000,11.99,13.25,11.42,
1708246200000,13.11,11.67,11.7,
1708246800000,14.68,13.28,11.52,
1708247400000,14.26,13.13,11.58,
1708248000000,14.51,11.74,11.47,
1708248600000,15.04,13.82,11.66,
1708249200000,12.47,11.56,11.68,
1708249800000,12.88,13.73,11.68,
1708250400000,13.58,12.01,11.84,
1708251000000,12.96,14.27,11.83,
1708251600000,13.37,11.63,11.54,
1708252200000,12.32,13.69,11.65,
1708252800000,12.94,11.51,11.63,
1708253400000,13.69,13.89,11.87,
1708254000000,12.71,11.73,11.88,
1708254599000,13.16,14.22,11.98,
1708255200000,12.23,11.4,11.48,
1708255800000,12.7,11.43,11.3,
1708256400000,12.88,13.9,11.81,
1708257000000,11.73,13.6,11.56,
1708257600000,11.96,11.61,11.5,
1708258200000,12.74,11.6,11.83,
1708258800000,11.62,11.37,11.72,
1708259400000,12.33,13.97,11.92,
1708260000000,12.85,13.78,11.78,
1708260600000,12.56,11.91,11.85,
1708261200000,12.66,11.46,11.83,
1708261800000,12.94,11.73,12.19,
1708262400000,12.74,11.66,12.07,
