intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Fri Feb 02 2024|  TO Fri Feb 09 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1706812200000,11.64,13.37,11.4,
1706812800000,12,13.42,12.78,
1706813400000,12.03,13.18,12.73,
1706814000000,10.86,12.95,11.04,
1706814600000,12.1,11.55,12.67,
1706815200000,11.69,11.17,12.29,
1706815800000,11.82,10.61,12.28,
1706816400000,11.69,12.69,12.46,
1706817000000,10.89,12.99,11.03,
1706817600000,11.72,12.93,12.62,
1706818200000,11.17,12.94,12.09,
1706818800000,10.7,12.24,14.1,
1706819400000,10.99,10.57,11.85,
1706820000000,11.03,12.26,11.92,
1706820600000,10.31,11.72,10.37,
1706821200000,10.65,12.53,11.74,
1706821800000,11.15,9.75,11.76,
1706822400000,10.57,12.22,12.04,
1706823000000,10.59,12.61,11.95,
1706823600000,10.12,11.66,11.71,
1706824200000,11.06,10.4,11.84,
1706824800000,11.22,10.49,11.78,
1706825400000,10.75,9.75,11.93,
1706826000000,10.81,10.01,11.89,
1706826600000,10.17,9.93,11.8,
1706827200000,10.61,12.32,12.12,
1706827800000,10.77,12.46,11.91,
1706828400000,10.1,12.28,10.54,
1706829000000,10.78,10.26,11.72,
1706829600000,10.82,9.48,11.67,
1706830200000,10.23,10.11,10.52,
1706830800000,10.8,11.7,11.9,
1706831400000,10.84,12.45,11.95,
1706832000000,10.7,12.57,12.07,
1706832600000,10.6,9.81,10.28,
1706833200000,10.92,10.22,10.42,
1706833800000,9.91,9.87,11.51,
1706834400000,10.43,11.4,11.48,
1706835000000,10.46,11.79,11.37,
1706835600000,10.4,11.78,11.38,
1706836200000,10.97,9.78,11.4,
1706836800000,10.45,11.74,11.49,
1706837400000,9.59,12,10.12,
1706838000000,10.54,9.85,11.34,
1706838600000,10.58,10.27,11.52,
1706839200000,11.1,12.36,11.58,
1706839800000,11.11,12.2,11.58,
1706840400000,11.46,10.85,13.56,
1706841000000,11.26,10.51,11.41,
1706841600000,11,12.31,11.56,
1706842200000,11.03,10.29,11.44,
1706842800000,14.2,13.21,11.49,
1706843400000,11.15,12.37,11.53,
1706844000000,13.43,12.8,10.12,
1706844600000,13.79,11.77,11.52,
1706845200000,11.29,10.7,11.43,
1706845800000,11.91,13.2,11.57,
1706846400000,11.65,10.34,11.56,
1706847000000,11.12,13.39,11.84,
1706847600000,14.31,11.85,11.28,
1706848200000,11.73,13.72,11.9,
1706848800000,11.26,14.59,12.14,
1706849400000,12,12.19,11.9,
1706850000000,12,11.96,11.72,
1706850600000,11.28,13.71,12.12,
1706851200000,11.87,13.76,12.14,
1706851800000,12.29,11.86,11.85,
1706852400000,13.05,16.02,12.15,
1706853000000,12.18,14.13,12,
1706853600000,14.24,13.8,14.07,
1706854200000,15.28,16.38,14,
1706854800000,14.95,19.02,14.42,
1706855400000,14.32,14.39,13.96,
1706856000000,15.39,16.64,14.22,
1706856600000,12.73,14.79,12.17,
1706857200000,12.68,14.75,12.42,
1706857800000,12.94,15.02,12.48,
1706858400000,15.15,14.8,12.27,
1706859000000,12.55,12.21,11.87,
1706859600000,11.73,12.3,11.9,
1706860200000,12.45,12.49,12.14,
1706860800000,11.99,15.35,13.51,
1706862600000,17.44,15.02,12.17,
1706863200000,15.16,15,12.46,
1706863800000,13.81,14.49,11.96,
1706864400000,13.31,12.51,12.16,
1706864999000,12.58,14.17,12.22,
1706865000000,12.38,14,12.04,
1706865517000,13.17,14.66,11.98,
1706865599000,12.94,14.51,11.81,
1706866200000,13.57,14.84,12.38,
1706866800000,13.1,13.92,12.17,
1706867400000,12.34,14.63,12.08,
1706868000000,12.79,15.18,12.4,
1706868600000,13.11,14.53,12.44,
1706869200000,14.01,15.11,12.42,
1706869800000,14.92,15.14,12.86,
1706870400000,15.57,14.22,12.79,
1706871000000,14.33,13.42,12.96,
1706871600000,14.63,15.38,13.01,
1706872200000,14.92,14.79,12.6,
1706872800000,17.19,14.77,12.35,
1706873400000,13.86,15.13,12.66,
1706874000000,12.92,14.6,12.58,
1706874600000,13.78,14.31,12.27,
1706875200000,12.99,12.26,12.41,
1706875800000,13.41,14.4,12.51,
1706876400000,13.63,14.4,12.71,
1706877000000,13.42,14.15,12.56,
1706877600000,18.88,12.28,15.05,
1706878200000,13.05,13.12,12.26,
1706878800000,12.89,11.72,12.38,
1706879400000,11.36,10.82,11.78,
1706880000000,11.5,12.94,11.63,
1706880600000,11.48,11.11,11.75,
1706881200000,10.96,13.26,10.09,
1706881800000,11.59,11.09,11.78,
1706882400000,10.71,12.94,11.82,
1706883000000,11.37,13.08,14.43,
1706883600000,10.77,10.71,11.59,
1706884200000,10.93,12.87,11.72,
1706884800000,10.95,10.72,11.39,
1706885400000,11.23,12.98,11.52,
1706886000000,11.72,10.82,11.4,
1706886600000,11.79,13.29,11.5,
1706887200000,11.42,10.57,11.32,
1706887800000,11.75,12.69,11.41,
1706888400000,11.8,11.13,14.06,
1706889000000,11.77,13.17,11.8,
1706889600000,11.75,10.9,11.66,
1706890200000,11.91,13.66,11.95,
1706890800000,11.69,12.73,11.56,
1706891400000,11.68,12.89,11.54,
1706892000000,12.04,11.22,11.46,
1706892600000,11.54,10.83,11.49,
1706893200000,11.79,12.89,11.54,
1706893800000,11.61,12.73,11.67,
1706894400000,11.86,12.99,11.64,
1706895000000,11.54,10.77,11.49,
1706895600000,11.84,11.9,11.84,
1706896200000,11.68,13.11,14.28,
1706896800000,11.78,13.22,11.82,
1706897400000,11.69,13.63,11.81,
1706898000000,12.26,11.16,11.82,
1706898600000,12.16,13.71,12.4,
1706899200000,12.05,11.79,11.85,
1706899800000,11.81,13.08,11.82,
1706900399000,11.58,13.18,10.24,
1706901000000,11.71,11.06,11.72,
1706901600000,11.28,13.37,12.19,
1706902200000,11.38,13.3,11.94,
1706902800000,11.33,11.42,11.71,
1706903400000,11.23,13.33,11.85,
1706904000000,9.74,13.04,12.82,
1706904600000,10.68,13.01,11.83,
1706905200000,11.77,12.6,10.15,
1706905799000,11.54,10.86,11.77,
1706906400000,11.66,12.83,12.01,
1706907000000,10.56,12.71,12.04,
1706907600000,11.26,10.92,11.58,
1706908199000,11.15,13.17,10.33,
1706908200000,11.09,13.03,10.26,
1706908800000,11.28,10.99,11.66,
1706909400000,11.18,12.34,11.73,
1706910000000,11.09,12.46,11.83,
1706910600000,11.44,10.43,11.75,
1706911200000,11.31,12.48,11.95,
1706911800000,11.54,10.4,14.59,
1706912400000,10.94,12.38,11.63,
1706913000000,11.32,12.63,11.73,
1706913600000,11.32,10.5,11.62,
1706914199000,11.31,12.58,11.78,
1706914800000,10.62,10.16,10.27,
1706915400000,11.33,12.54,11.66,
1706916000000,11.39,12.73,11.7,
1706916600000,11.47,10.57,11.74,
1706917200000,11.28,12.4,11.64,
1706917800000,11.34,12.86,11.94,
1706918400000,11.25,10.41,11.43,
1706919000000,10.64,12.49,11.61,
1706919600000,10.88,11.72,11.78,
1706920200000,10.97,10.41,11.86,
1706920800000,11.26,10.37,11.98,
1706921400000,11.1,10.6,11.91,
1706922000000,10.81,12.64,12.72,
1706922600000,10.81,11.47,11.69,
1706923200000,10.86,12.41,11.66,
1706923800000,10.85,12.16,11.55,
1706924400000,10.07,10.09,10.14,
1706925000000,10.46,11.97,11.73,
1706925600000,10.47,12.45,10.15,
1706926200000,11.16,12.58,11.26,
1706926800000,10.57,12.48,11.45,
1706927400000,10.59,9.86,11.22,
1706928000000,10.94,12.68,11.22,
1706928600000,11.24,12.38,11.59,
1706929200000,10.81,11.43,11.31,
1706929800000,13.26,14.78,15.71,
1706930400000,13.34,14.37,13.65,
1706931000000,12.59,14.96,13.56,
1706931600000,12.86,15.24,13.56,
1706932200000,13.32,12.89,13.36,
1706932800000,11.28,10.75,11.6,
1706933400000,10.43,13.09,11.57,
1706934000000,10.85,11.02,11.28,
1706934600000,10.79,13.01,11.41,
1706935200000,10.92,13.5,11.75,
1706935800000,10.94,10.64,11.39,
1706936400000,11.28,13.43,11.58,
