intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Mon Jan 01 2024|  TO Mon Jan 08 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1704047400000,9.63,9.23,11.54,
1704048000000,9.65,11.27,9.89,
1704048600000,9.62,11.4,12.68,
1704049200000,9.41,11.29,11.16,
1704049800000,9.65,11.18,11.2,
1704050400000,9.43,9.03,12.43,
1704051000000,9.55,11.33,11.31,
1704051600000,9.65,11.09,11.08,
1704052200000,9.57,10.64,12.5,
1704052800000,9.6,11.12,12.57,
1704053400000,9.23,10.87,9.68,
1704054000000,9.66,10.86,12.67,
1704054600000,9.5,11.33,11.34,
1704055200000,9.59,10.81,10.54,
1704055800000,9.73,8.8,12.51,
1704056400000,9.43,11.25,9.29,
1704057000000,9.38,11.2,12.38,
1704057600000,9.58,8.78,10.97,
1704058200000,9.4,11.22,12.51,
1704058800000,9.69,10.45,11.16,
1704059400000,9.46,11.18,10.83,
1704060000000,9.57,10.73,12.52,
1704060600000,9.29,11.33,10.61,
1704061200000,9.65,10.98,12.62,
1704061800000,9.55,10.83,12.47,
1704062400000,9.37,9.21,9.25,
1704063000000,9.65,9.2,12.35,
1704063600000,9.44,10.76,10.63,
1704064200000,9.49,10.95,12.44,
1704064800000,9.66,10.77,12.51,
1704065400000,9.49,10.89,11.3,
1704066000000,9.62,11.08,12.47,
1704066600000,9.52,10.8,9.51,
1704067200000,9.66,8.77,12.37,
1704067800000,9.37,11.2,9.46,
1704068400000,9.45,10.68,12.35,
1704069000000,9.48,11.08,10.66,
1704069600000,9.49,8.65,10.79,
1704070200000,9.31,8.73,12.18,
1704070800000,9.09,10.92,10.81,
1704071400000,9.11,10.5,12.22,
1704072000000,9.03,10.71,9.33,
1704072600000,9.16,11.03,12.35,
1704073200000,8.99,10.73,9.28,
1704073800000,9.14,10.78,12.15,
1704074400000,9.22,9.24,10.76,
1704075000000,9.11,10.65,12.07,
1704075600000,9.44,10.68,12.47,
1704076200000,9.1,10.68,10.88,
1704076800000,9.33,10.72,12.31,
1704077400000,9.12,10.68,10.43,
1704078000000,9.21,10.17,10.76,
1704078600000,9.29,11.46,9.24,
1704079199000,12.13,11.75,12.27,
1704079800000,9.47,12.02,10.9,
1704080400000,9.23,11.12,10.88,
1704081000000,12.19,9.14,12.14,
1704081600000,9.37,11.3,9.69,
1704082200000,9.4,11.31,11.4,
1704082800000,9.43,10.84,9.66,
1704083400000,9.52,11.3,11.18,
1704084000000,9.54,10.98,11.29,
1704084600000,9.5,11.11,11.38,
1704085200000,9.54,11.59,12.66,
1704085800000,9.36,11.81,9.5,
1704086400000,9.83,12.38,12.87,
1704087000000,10.05,12.7,13.51,
1704087600000,9.78,12.21,11.66,
1704088200000,9.83,12.72,13.39,
1704088800000,11.5,12.34,13.45,
1704089400000,10.29,12.71,10.42,
1704090000000,10.39,12.35,10.38,
1704090600000,10.58,12.51,11.68,
1704091200000,10.73,12.37,11.93,
1704091800000,10.98,12.98,13.5,
1704092400000,10.93,12.4,13.47,
1704093000000,10.78,12.29,11.73,
1704093600000,10.58,12.28,11.67,
1704094200000,10.67,12.81,11.8,
1704094800000,10.47,10.72,11.57,
1704095400000,10.57,12.35,13.26,
1704096000000,10.41,12.17,13.55,
1704096600000,10.45,12.21,12.31,
1704097200000,10.71,10.41,11.91,
1704097800000,13.99,14.49,13.92,
1704098400000,12.82,15.03,14.24,
1704099000000,12.64,15.08,13.92,
1704099600000,13.12,15.54,15.67,
1704100200000,12.64,14.95,13.93,
1704100800000,16.02,15.23,14.42,
1704101400000,11.05,13.06,10.96,
1704102000000,13.94,13.22,12.37,
1704102600000,11.58,13.57,13.87,
1704103200000,14.06,13.19,12.58,
1704103800000,11.19,12.98,12.2,
1704104400000,11.13,12.98,12.43,
1704105000000,11.22,13.11,12.42,
1704105600000,11.12,13.45,10.85,
1704106200000,10.78,13.69,14.17,
1704106800000,11.02,13.28,13.84,
1704107400000,11.34,13.43,12.67,
1704108000000,11.12,13.61,11.06,
1704108600000,10.79,13,12.16,
1704109200000,10.77,12.61,12.03,
1704109800000,11.06,12.99,13.89,
1704110400000,10.65,12.34,12.26,
1704111000000,10.51,12.67,10.61,
1704111600000,10.61,12.29,10.14,
1704112199000,10.75,10.14,11.42,
1704112800000,10.63,12.42,11.56,
1704113400000,11.4,13.4,13.73,
1704114000000,10.77,12.8,13.31,
1704114600000,10.97,12.79,13.44,
1704115200000,10.55,12.36,13.33,
1704115800000,10.62,12.7,11.91,
1704116400000,10.44,12.82,10.31,
1704117000000,10.23,12.76,10.34,
1704117600000,10.49,12.9,11.62,
1704118200000,10.69,12.73,13.16,
1704118800000,10.62,12.53,13.34,
1704119400000,10.4,12.99,13.42,
