intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed Jan 17 2024|  TO Wed Jan 24 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1705429800000,10.1,10.46,10.83,
1705430400000,9.96,12.54,12.17,
1705431000000,10.53,10.24,13.67,
1705431600000,10.45,12.88,12.37,
1705432200000,9.8,12.11,10.63,
1705432800000,9.94,10.58,11.71,
1705433400000,10.29,13.05,12.17,
1705434000000,9.87,10.56,11.95,
1705434600000,9.71,12.54,10.9,
1705435200000,9.91,10.05,11.96,
1705435800000,9.92,10.83,12.24,
1705436400000,10.56,9.99,11.9,
1705437000000,9.97,12.2,12.32,
1705437600000,10.55,10.2,12.03,
1705438200000,10.07,12.79,12.48,
1705438800000,10.5,10.13,12.17,
1705439399000,9.74,12.29,10.85,
1705439400000,9.95,12.35,10.7,
1705440000000,10.28,10.04,12.14,
1705440600000,9.7,12.63,10.66,
1705441200000,10.36,11.42,12.04,
1705441800000,9.76,11.61,11.88,
1705442400000,10.37,9.52,11.87,
1705443000000,9.69,11.7,10.41,
1705443600000,9.89,9.75,13.27,
1705444200000,9.83,12.68,10.94,
1705444800000,9.86,9.83,10.54,
1705445400000,9.76,11.64,10.82,
1705446000000,9.89,11.47,14.26,
1705446600000,10.32,10.03,10.49,
1705447200000,9.78,11.55,11.9,
1705447800000,10.33,9.7,10.57,
1705448400000,9.76,12.09,12.59,
1705449000000,9.75,10.08,11.87,
1705449600000,9.71,12.52,10.87,
1705450200000,10.36,9.75,11.61,
1705450800000,9.41,11.34,11.32,
1705451400000,9.25,11.02,11.18,
1705452000000,9.67,8.95,11.27,
1705452600000,9.33,11.45,9.91,
1705453200000,9.21,9.51,11.15,
1705453800000,9.65,10.89,11.2,
1705454400000,9.39,9.62,11.24,
1705455000000,9.38,9,9.85,
1705455600000,9.93,12,11.44,
1705456200000,9.37,9.34,11.06,
1705456800000,9.17,11.38,11.03,
1705457400000,9.86,9.24,11.35,
1705458000000,9.41,11.72,9.98,
1705458600000,9.44,9.11,11.07,
1705459200000,9.19,11.16,9.77,
1705459800000,9.39,9.14,10.96,
1705460400000,9.33,11.29,11.28,
1705461000000,9.42,9.3,10.87,
1705461600000,9.4,11.5,11.05,
1705462200000,9.68,10.08,11.07,
1705462800000,12.45,11.53,11.02,
1705463400000,10,9.47,13.15,
1705464000000,10.61,10.81,11.21,
1705464600000,10.1,12.66,11.49,
1705465200000,10.51,10.6,11.57,
1705465800000,10.89,13.22,12.07,
1705466400000,10.64,13.28,10.69,
1705467000000,10.89,13.27,11.88,
1705467600000,11.56,10.8,12.09,
1705468200000,14.32,10.75,12.02,
1705468800000,10.81,10.51,11.89,
1705469400000,10.96,13.41,11.94,
1705470000000,11.68,13.16,10.93,
1705470600000,11.57,12.84,10.82,
1705471200000,11.93,10.98,11.94,
1705471800000,12.5,12.83,12.11,
1705472400000,11.82,13.24,12.11,
1705473000000,12.02,11.74,12.39,
1705473600000,13.94,15.18,14.12,
1705474200000,16.55,13.34,12.32,
1705474800000,13.51,13.35,13.89,
1705475400000,16.62,15.08,13.88,
1705476000000,13.22,14.42,14.02,
1705476600000,10.96,12.78,11.7,
1705477200000,11.27,10.14,14.57,
1705477800000,11.17,13.03,11.91,
1705478400000,10.89,13.26,11.96,
1705479000000,11.6,10.85,12.02,
1705479600000,11.26,12.66,11.85,
1705480200000,11.21,13.76,10.78,
1705480800000,11.4,13.14,12.34,
1705481400000,11.62,13.22,12.13,
1705482000000,11.71,13.52,12.55,
1705482600000,12.05,11.17,12.4,
1705483200000,12.17,12.03,11.25,
1705483800000,12.9,15.01,13.11,
1705484400000,15.38,14.62,13.22,
1705485000000,12.42,14.22,13.21,
1705485600000,12.06,15.34,11.82,
1705486200000,12.65,11.53,12.81,
1705486800000,12.47,12.19,12.92,
1705487400000,11.81,14.23,12.72,
1705488000000,11.74,13.39,10.79,
1705488600000,12.77,14.55,12.6,
1705489200000,11.78,12.22,11.08,
1705489800000,12.34,11.45,12.66,
1705490399000,13.94,16.32,13.52,
1705491000000,14.18,16.57,15.04,
1705491600000,14.06,13.44,14.42,
1705492200000,13.46,15.95,13.28,
1705492800000,10.77,12.69,11.96,
1705493400000,11.05,10.21,11.9,
1705494000000,10.74,13,11.74,
1705494600000,10.91,13.09,11.99,
1705495200000,10.98,10.93,10.21,
1705495800000,10.75,12.54,11.72,
1705496400000,10.56,11.23,10,
1705497000000,11.87,12.61,10.41,
1705497600000,11.84,12.49,12.06,
1705498200000,12.4,11.05,11.85,
1705498800000,11.81,12.63,12.01,
1705499400000,11.28,10.25,10.12,
1705500000000,11.76,12.76,11.98,
1705500600000,11.9,11,12.26,
1705501200000,10.92,12.32,14.81,
1705501800000,11.43,10.75,12.03,
1705502400000,11.28,12.55,12.46,
1705503000000,10.72,10.19,11.98,
1705503600000,11.12,12.72,12.42,
1705504200000,10.44,10,11.37,
1705504800000,10.64,12.53,12.32,
1705505400000,11.11,10.05,11.92,
1705506000000,11.15,12.23,11.97,
1705506600000,10.67,10.35,12.08,
1705507200000,11.69,12.62,11.97,
1705507800000,11.4,9.83,11.8,
1705508400000,11.58,12.35,12.11,
1705509000000,11.72,10.02,12.28,
1705509600000,11.42,11.94,12,
1705510200000,12,10.63,11.89,
1705510800000,11.63,12.86,12.25,
1705511400000,10.98,10.24,10.32,
1705512000000,11.56,11.78,12.05,
1705512600000,11.71,11.98,12.17,
1705513200000,11.1,10.17,12.03,
1705513800000,11.6,12.79,12.04,
1705514399000,11.73,10.95,12.32,
1705515000000,11.51,12.55,10.91,
1705515600000,11.81,9.89,12.08,
1705516200000,11.61,11.96,12.45,
1705516800000,11.1,12.35,10.95,
1705517400000,11.65,12.56,12.22,
1705518000000,11.67,9.65,11.91,
1705518600000,11.41,11.65,11.91,
1705519199000,10.99,9.47,11.92,
1705519800000,11.24,12.71,10.35,
1705520400000,10.77,10.36,10.48,
1705521000000,11.21,12.13,11.77,
1705521600000,11.32,9.45,11.81,
1705522200000,11.41,11.75,11.92,
1705522800000,11.29,11.85,11.92,
1705523400000,11.2,11.62,11.75,
1705524000000,11.38,11.44,13.27,
1705524600000,11.1,9.56,10.7,
1705525200000,11.54,12.14,10.67,
1705525800000,11.13,10.08,12.13,
1705526400000,11.36,11.49,11.79,
1705527000000,11.54,10,11.92,
1705527600000,11.38,11.87,11.77,
1705528200000,11.5,9.54,11.7,
1705528800000,10.99,11.97,11.99,
1705529400000,11.85,9.19,11.58,
1705530000000,11.31,11.32,11.97,
1705530600000,11.41,9.41,11.6,
1705531200000,11.33,11.19,11.88,
1705531800000,11.68,9.48,11.77,
1705532400000,11.47,11.38,11.77,
1705533000000,11.13,9.35,11.84,
1705533600000,11.28,11.43,10.35,
1705534200000,10.87,11.2,12.07,
1705534800000,11.68,11.26,11.82,
1705535400000,10.91,9.78,11.93,
1705536000000,11.36,12.07,11.77,
1705536600000,11.4,11.68,11.9,
1705537200000,10.97,9.54,10.57,
1705537800000,11.33,11.38,10.25,
1705538400000,11.31,9.77,11.56,
1705539000000,10.52,11.16,11.44,
1705539600000,11.13,11.35,11.6,
1705540200000,11.23,9.63,11.33,
1705540800000,10.48,11.85,11.5,
1705541400000,11.06,9.25,11.37,
1705542000000,10.3,11.67,10.03,
1705542600000,10.96,9.25,11.31,
1705543200000,10.32,11.29,9.88,
1705543800000,11.15,9.21,12.94,
1705544400000,10.29,11.78,9.93,
1705545000000,11.03,9.22,11.36,
1705545600000,10.58,11.21,11.62,
1705546200000,10.63,10.92,10.8,
1705546800000,13.07,9.51,9.47,
1705547400000,13.6,9.85,9.69,
1705548000000,10.47,11.64,9.79,
1705548600000,14.4,10.15,9.49,
1705549200000,11.35,11.45,9.56,
1705549800000,11.74,10.26,9.69,
1705550400000,12.09,12.12,11.4,
1705551000000,11.82,11.61,11.27,
1705551600000,12.75,10.13,11.39,
1705552200000,12.07,12.88,11.59,
1705552800000,12.59,12.94,11.4,
1705553400000,12.28,12.46,10.13,
1705554000000,14.66,10.69,10.36,
1705554600000,11.8,10.21,14.3,
1705555200000,11.42,10.77,11.44,
1705555800000,12.35,12.66,11.7,
1705556400000,11.97,12.59,10.27,
1705557000000,12.41,10.26,11.38,
1705557600000,14.65,14.39,13.69,
1705558200000,14.33,14.68,14.19,
1705558800000,14.43,13.06,13.85,
1705559400000,14.75,15.5,15.44,
1705560000000,16.02,14.78,16.31,
1705560600000,13.28,14.1,13.43,
1705561200000,12.65,11.95,13.34,
1705561800000,12.65,14.09,11.84,
1705562400000,12.49,14.25,13.51,
1705563000000,12.53,11.71,13.51,
1705563600000,12.17,14.21,13.63,
1705564200000,12.77,13.57,13.5,
1705564800000,12.68,14.34,13.71,
1705565400000,15.31,13.39,16.31,
1705566000000,12.82,15.45,13.35,
1705566600000,12.27,15.56,13.35,
1705567200000,12.7,15.82,13.23,
1705567800000,14.19,11.71,13.45,
1705568400000,12.69,12.81,13.29,
1705569000000,12.38,14.62,13.1,
1705569600000,12.87,15.55,13.29,
1705570200000,12.53,14.6,13.28,
1705570800000,12.48,13.58,13.07,
1705571400000,13.15,12.01,13.2,
1705572000000,12.78,14.74,13.3,
1705572600000,12.72,14.03,13.16,
1705573200000,12.87,14.66,13.41,
1705573800000,13.56,15.31,13.62,
1705574400000,17.83,16.63,15.84,
1705575000000,14.99,15.17,15.52,
1705575600000,17.6,14.99,15.23,
1705576200000,17.79,13.81,15.29,
1705576800000,14.75,15.66,13.82,
1705577400000,14.41,15.94,14.15,
1705578000000,12.33,11.83,11.52,
1705578600000,13,14.32,13.39,
1705579200000,12.08,13.73,10.31,
1705579800000,10.89,11.71,11.59,
1705580400000,10.63,13.66,11.85,
1705581000000,10.72,13.43,10.16,
1705581600000,10.7,11.15,11.47,
1705582200000,10.73,13.61,11.73,
1705582800000,11.46,10.69,11.47,
1705583400000,10.62,13.1,11.91,
1705584000000,10.54,12.51,11.37,
1705584600000,11.32,10.55,11.62,
1705585200000,10.39,12.77,11.56,
1705585800000,10.69,12.24,10,
1705586400000,10.33,12.65,13.57,
1705587000000,10.01,13.04,11.64,
1705587600000,10.72,11.89,11.51,
1705588200000,10.28,11.76,9.95,
1705588800000,10.4,10.8,11.78,
1705589400000,10.09,12.16,11.43,
1705590000000,10.17,10.03,9.95,
1705590600000,10.14,12.3,11.58,
1705591200000,11.03,9.68,11.21,
1705591800000,10.32,11.83,11.77,
1705592400000,10.5,12.58,11.78,
1705593000000,10.78,12.61,11.69,
1705593600000,10.04,11.58,11.7,
1705594200000,10.58,12.31,13.3,
1705594800000,10.07,9.69,11.32,
1705595400000,10.61,12.35,11.75,
1705596000000,10.9,11.95,11.72,
1705596600000,10.27,12.28,11.49,
1705597200000,10.84,10.3,9.52,
1705597800000,10.06,11.74,11.28,
1705598400000,10.51,11.88,11.58,
1705599000000,9.99,12.57,10.41,
1705599600000,9.99,11.98,11.64,
1705600200000,10.58,9.63,11.37,
1705600800000,10.26,11.65,11.71,
1705601400000,10.71,12.35,11.7,
1705602000000,10.68,9.6,11.42,
1705602600000,10.5,10.46,11.66,
1705603200000,10.91,12.24,11.83,
1705603800000,10.54,12.15,11.42,
1705604400000,9.99,9.85,10.04,
