intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu Jan 25 2024|  TO Thu Feb 01 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1706121000000,12.58,13.57,13.21,
1706121600000,12.21,13.69,12.97,
1706122200000,12.5,12.91,12.62,
1706122800000,12.89,12.82,12.92,
1706123400000,11.44,13.04,12.97,
1706124000000,12.02,13.35,12.99,
1706124600000,12.08,12.97,12.85,
1706125200000,11.99,12.57,12.87,
1706125800000,12.27,12.77,12.89,
1706126400000,12.21,11.57,12.73,
1706127000000,12.28,13.09,13.11,
1706127600000,12.77,12.79,13.37,
1706128200000,12.39,10.95,12.87,
1706128800000,12.18,12.86,13.14,
1706129400000,12.62,11.4,12.97,
1706130000000,12.47,12.81,15.38,
1706130600000,12.84,10.94,12.78,
1706131200000,12.34,13.05,11.69,
1706131800000,12.58,13.64,13.18,
1706132400000,12.35,13.38,12.89,
1706133000000,12.58,10.47,12.73,
1706133600000,12.32,13.42,13.07,
1706134200000,12.5,13.15,13.15,
1706134800000,12.45,12.74,12.67,
1706135400000,12.41,13.07,12.83,
1706136000000,12.27,12.84,12.8,
1706136600000,11.9,12.97,11.33,
1706137200000,12.12,12.94,12.9,
1706137800000,12.29,10.72,14.91,
1706138400000,12.02,12.71,12.69,
1706139000000,12,12.77,12.51,
1706139600000,11.98,11.03,12.63,
1706140200000,12.19,12.87,12.88,
1706140800000,12.07,10.91,12.57,
1706141400000,12.04,12.91,12.71,
1706142000000,12.2,10.65,12.7,
1706142600000,11.85,12.48,12.59,
1706143200000,11.9,10.79,12.55,
1706143800000,11.67,13.51,12.51,
1706144400000,11.76,12.99,12.59,
1706145000000,11.88,12.69,12.47,
1706145600000,11.81,13.25,14.37,
1706146200000,11.85,12.64,11.03,
1706146800000,11.8,13.25,12.32,
1706147400000,12,12.89,12.55,
1706148000000,11.87,12.6,12.3,
1706148600000,12.3,12.88,12.74,
1706149200000,11.9,12.88,12.22,
1706149800000,12.03,12.77,12.3,
1706150400000,12.31,12.81,12.36,
1706151000000,12.41,12.85,12.4,
1706151599000,12.03,13.59,11.12,
1706152200000,15.29,13.74,12.47,
1706152800000,11.47,13.54,12.36,
1706153400000,12.52,13.8,12.54,
1706154000000,12.61,13.19,12.41,
1706154600000,15.22,14.15,12.36,
1706155200000,15.07,16.42,14.7,
1706155800000,15.27,16.55,15.2,
1706156400000,14.8,16.36,15.31,
1706157000000,15.13,16.07,15.22,
1706157600000,16.46,16.04,15.18,
1706158200000,15.25,16.13,15.17,
1706158800000,16.19,15.03,13.21,
1706159400000,13.68,14.6,13.41,
1706160000000,13.68,15.15,13.44,
1706160600000,13.95,14.58,13.59,
1706161200000,12.94,13.9,13.27,
1706161800000,13.92,15.16,13.57,
1706162400000,13.88,15.4,15.66,
1706163000000,13.68,15.05,13.34,
1706163600000,13.63,15.7,13.73,
1706164200000,13.21,15.56,13.77,
1706164800000,13.68,15,13.37,
1706165400000,16.21,14.92,13.49,
1706166000000,13.57,15.3,13.38,
1706166600000,13.72,15.23,13.42,
1706167200000,13.4,15.05,13.44,
1706167800000,12.86,14.4,13.3,
1706168400000,15.6,14.63,13.16,
1706169000000,12.81,14.71,13.32,
1706169600000,13.27,14.47,13.45,
1706170200000,12.77,15.02,13.18,
1706170800000,13.12,15.29,15.34,
1706171400000,12.53,15.26,13.33,
1706172000000,13.35,15.8,13.79,
1706172600000,16.08,15.87,14.05,
1706173200000,15.32,15.68,13.57,
1706173800000,15.08,17.69,15.46,
1706174399000,15.69,17.65,15.71,
1706175000000,15.03,17.1,15.12,
1706175600000,15.14,17.31,15.24,
1706176200000,14.9,16.99,15.29,
1706176800000,13.67,15.9,13.98,
1706177400000,13.6,15.69,13.75,
1706178000000,14.49,16.18,14.34,
1706178600000,13.8,16.02,13.82,
1706179200000,11.17,12.67,18.53,
1706179800000,14.2,15.87,14.05,
1706180400000,13.54,15.42,13.28,
1706181000000,13.62,14.96,13.32,
1706181600000,12.98,15.31,13.33,
1706182200000,13.81,16,13.76,
1706182800000,13.85,15.65,13.46,
1706183400000,13.7,15.04,13.28,
1706184000000,13.73,15.35,13.37,
1706184600000,13.29,15.01,13.05,
1706185200000,13.09,14.69,13,
1706185800000,12.6,15.17,11.96,
1706186400000,13.02,15.71,13,
1706187000000,12.81,15.28,12.99,
1706187600000,12.58,15.13,14.09,
1706188200000,13.26,14.5,13.06,
1706188800000,13.06,14.11,12.8,
1706189400000,12.73,14.48,11.3,
1706189999000,13.01,14.47,12.36,
1706190600000,12.32,11.81,10.79,
1706191200000,12.9,13.7,12.2,
1706191800000,13.27,14.05,12.36,
1706192400000,13.74,14.25,13.26,
1706193000000,13.29,14.74,15.64,
