intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Tue Jan 09 2024|  TO Tue Jan 16 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1704738600000,10.28,12.49,13.54,
1704739200000,10.7,12.87,15.1,
1704739800000,10.95,12.43,13.22,
1704740400000,10,10.65,11.92,
1704741000000,10.85,12.25,14.84,
1704741600000,10.78,12.25,13.38,
1704742200000,10.85,12.3,15.09,
1704742800000,10.16,12.13,11.87,
1704743400000,10.89,12.73,15.15,
1704744000000,9.94,12.6,13.9,
1704744600000,10.98,12.5,13.55,
1704745200000,10.77,12.76,15.67,
1704745800000,11.09,12.51,13.68,
1704746400000,11.27,12.07,15.28,
1704747000000,10.33,12.3,13.87,
1704747600000,10.76,11.9,11.97,
1704748200000,10.75,12.17,15.33,
1704748800000,11.31,10.19,13.78,
1704749400000,10.96,11.85,15.06,
1704750000000,10.92,11.95,13.64,
1704750600000,10.41,11.79,15.08,
1704751200000,10.75,11.92,13.3,
1704751800000,9.59,11.56,13.29,
1704752400000,10.71,11.96,14.95,
1704753000000,10.65,11.9,13.34,
1704753600000,10.92,11.81,15.27,
1704754200000,10.74,11.8,13.38,
1704754800000,10.62,11.82,13.28,
1704755400000,10.67,11.83,14.93,
1704756000000,10.59,11.94,11.9,
1704756600000,10.17,9.51,14.53,
1704757200000,10.51,11.93,13.11,
1704757800000,10.46,11.73,13.35,
1704758400000,9.84,11.76,11.7,
1704759000000,10.29,11.81,11.79,
1704759600000,10.71,9.73,13.31,
1704760200000,12.01,14.54,13.9,
1704760800000,12.24,11.79,16.8,
1704761400000,12.58,13.66,15.13,
1704762000000,12.78,13.75,16.7,
1704762600000,10.59,11.75,13.17,
1704763200000,10.59,11.69,13.35,
1704763800000,10.13,11.76,14.75,
1704764400000,10.45,11.74,12.84,
1704765000000,10.09,12.02,13.34,
1704765600000,9.82,11.96,11.75,
1704766200000,10.83,12.08,14.58,
1704766800000,10.54,11.67,12.61,
1704767400000,9.8,11.47,12.58,
1704768000000,10.59,11.68,14.21,
1704768600000,9.91,11.85,12.64,
1704769200000,10.45,11.89,14.44,
1704769800000,10.02,11.77,11.5,
1704770400000,10.56,12.02,11.66,
1704771000000,10.45,12.47,12.87,
1704771600000,10.16,12.05,10.2,
1704772200000,10.87,12.44,11.99,
1704772800000,10.78,12.64,11.78,
1704773400000,10.98,12.76,11.71,
1704774000000,10.72,12.61,13.61,
1704774600000,11.73,13.13,12.3,
1704775200000,10.93,13.45,11.9,
