intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu Jul 11 2024|  TO Wed Jul 17 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1720636200000,13.48,14.01,14.72,
1720636800000,13,14.25,15.65,
1720637400000,13.29,14.12,15.84,
1720638000000,12.91,14.26,15.83,
1720638600000,12.86,14.14,15.43,
1720639200000,13.15,14.41,15.74,
1720639800000,13,14.18,15.73,
1720640400000,13.08,13.97,15.53,
1720641000000,13.07,14.3,15.87,
1720641600000,12.95,13.69,14.4,
1720642200000,12.94,14.22,15.58,
1720642800000,13.14,14.11,15.99,
1720643400000,12.96,14.69,15.92,
1720644000000,12.92,14.32,14.48,
1720644600000,13,14.46,14.69,
1720645200000,12.81,14.05,15.63,
1720645799000,13.21,14.21,15.79,
1720645800000,13.21,14.28,15.85,
1720646400000,12.97,14.13,15.46,
1720647000000,12.92,14.34,14.22,
1720647600000,12.84,14.06,15.62,
1720648200000,13.18,13.84,15.77,
1720648800000,12.61,14.01,15.4,
1720649400000,12.96,13.61,15.54,
1720650000000,13.06,13.92,15.55,
1720650600000,12.81,14.18,14.42,
1720651200000,13.03,13.97,15.65,
1720651800000,12.77,13.99,15.66,
1720652400000,13.04,13.53,15.43,
1720653000000,12.87,13.77,14.46,
1720653600000,12.72,13.81,14.35,
1720654200000,12.66,14.12,13.96,
1720654800000,12.69,14.57,14.35,
1720655400000,12.54,13.23,13.93,
1720656000000,12.88,14.37,15.73,
1720656600000,12.96,14.08,15.61,
1720657200000,12.78,13.44,15.39,
1720657800000,12.72,13.55,15.38,
1720658400000,12.67,13.66,15.63,
1720659000000,12.68,13.86,15.66,
1720659600000,12.82,13.37,15.53,
1720660200000,12.57,13.36,15.19,
1720660800000,12.66,13.45,15.37,
1720661400000,12.66,13.78,15.3,
1720662000000,12.91,13.51,15.41,
1720662600000,12.59,13.38,14.93,
1720663200000,12.73,13.49,15.41,
1720663800000,13.36,13.66,15.7,
1720664400000,12.76,14.39,15.47,
1720665000000,13.02,13.9,15.76,
1720665600000,12.43,13.62,15.11,
1720666200000,14.84,16.54,16.22,
1720666800000,14.95,15.44,17.13,
1720667400000,15.05,15.85,17.36,
1720668000000,14.92,16.12,17.11,
1720668600000,13.05,13.39,15.08,
1720669200000,15.84,14.22,14.89,
1720669800000,13.19,14.11,13.98,
1720670400000,14.09,14.65,16.03,
1720671000000,13.76,14.58,16.13,
1720671600000,13.34,13.91,15.07,
1720672200000,15.43,14.56,15.11,
1720672800000,13.98,14.39,14.17,
1720673400000,13.31,14.16,13.66,
1720674000000,13.26,14.27,13.58,
1720674600000,13.57,14.61,14.09,
1720675200000,13.9,14.64,15.27,
1720675800000,13.67,14.53,16.5,
1720676400000,13.76,14.76,15.64,
1720677000000,14.16,14.76,16.12,
1720677600000,14.26,14.78,14.27,
1720678200000,16.75,14.71,14.1,
1720678800000,14.31,14.86,14.43,
1720679400000,14.48,14.79,14.42,
1720680000000,14.38,15.63,18.88,
1720680600000,14.19,14.94,16.68,
1720681200000,14.49,15.19,17.34,
1720681800000,16.95,15.07,14.01,
1720682400000,14.54,15.08,14.15,
1720683000000,14.69,14.99,15.81,
1720683600000,14.42,14.89,15.5,
1720684200000,13.84,14.67,13.63,
1720684800000,13.61,14.47,13.04,
1720685400000,13.35,14.29,13.04,
1720686000000,16.65,14.85,13.67,
1720686600000,13.77,14.48,14.78,
1720687200000,13.82,14.49,17.35,
1720687800000,13.55,14.68,13.35,
1720688400000,13.93,14.97,13.6,
1720689000000,13.83,14.85,13.63,
1720689600000,13.88,15.42,13.5,
1720690200000,14.14,14.7,15.43,
1720690800000,15.23,15.71,14.12,
1720691400000,15.49,15.6,14.03,
1720692000000,15.53,15.63,14.12,
1720692600000,14.86,15.77,14.11,
1720693200000,14.9,15.53,15.62,
1720693800000,14.61,15.55,15.62,
1720694400000,14.46,15.13,15.52,
1720695000000,14.12,14.96,13.78,
1720695600000,14.83,15.32,14.05,
1720696200000,14.18,15.42,13.86,
1720696800000,14.03,15.55,13.7,
1720697400000,14.67,16.11,15.98,
1720698000000,14.03,15.42,15.43,
1720698600000,13.84,15.15,13.75,
1720699200000,13.89,14.85,13.71,
1720699800000,13.6,14.58,13.38,
1720700400000,13.23,14.31,13.2,
1720701000000,13.4,14.07,15.03,
1720701600000,13.09,14.15,15.09,
1720702200000,14.03,14.71,16.12,
1720702800000,14.17,15.11,15.02,
1720703400000,14.16,14.83,14.89,
1720703999000,13.82,15.11,14.59,
1720704600000,14.03,15.12,15.9,
1720705200000,14.46,15.03,16.45,
1720705800000,13.96,14.49,15.88,
1720706400000,14.02,14.52,16.07,
