intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed Jul 03 2024|  TO Wed Jul 10 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1719945000000,13.06,14.86,17.11,
1719945600000,12.62,14.69,15.63,
1719946200000,12.81,14.9,15.65,
1719946800000,12.75,14.77,16.65,
1719947400000,12.74,14.86,15.58,
1719948000000,12.8,14.82,15.63,
1719948600000,12.65,14.92,15.54,
1719949200000,12.83,14.58,15.46,
1719949800000,13.24,14.53,17.41,
1719950400000,12.95,14.62,15.91,
1719951000000,13.05,14.83,16.11,
1719951600000,13.32,15.21,17.58,
1719952200000,13.09,15.33,16.02,
1719952800000,12.97,15.1,15.79,
1719953400000,12.98,14.88,17.41,
1719954000000,12.69,15.09,15.54,
1719954600000,12.95,15.08,16.07,
1719955200000,12.74,15.04,15.82,
1719955800000,12.81,14.88,16.73,
1719956400000,12.71,14.73,15.81,
1719957000000,12.68,15.18,15.75,
1719957600000,12.67,14.64,15.69,
1719958200000,12.48,14.37,15.32,
1719958800000,12.43,14.44,16.58,
1719959400000,12.62,14.57,15.5,
1719960000000,12.51,14.71,16.75,
1719960600000,12.54,14.59,15.37,
1719961200000,12.18,14.64,15.32,
1719961800000,12.71,14.79,16.81,
1719962400000,12.55,14.64,15.88,
1719963000000,12.47,15.14,15.65,
1719963600000,12.16,14.63,15.11,
1719964200000,12.44,14.28,17.38,
1719964800000,12.42,14.05,16.47,
1719965400000,12.27,14.06,15.36,
1719966000000,12.11,13.53,14.83,
1719966600000,12,13.5,16.27,
1719967200000,12.43,13.59,16.28,
1719967800000,12.37,14.31,15.52,
1719968400000,12.21,14.09,15.11,
1719969000000,12,13.91,13.64,
1719969600000,11.88,13.71,15.96,
1719970200000,11.79,13.82,14.87,
1719970800000,12.01,13.96,15.15,
1719971400000,11.64,13.52,13.39,
1719972000000,12.01,13.39,16.08,
1719972600000,11.98,13.47,14.79,
1719973200000,11.65,13.42,14.94,
1719973800000,11.83,13.5,16.05,
1719974400000,11.74,13.36,14.76,
1719975000000,11.9,13.63,14.86,
1719975600000,11.95,13.45,14.7,
1719976200000,11.66,13.32,14.67,
1719976800000,12.15,13.54,14.79,
1719977400000,12.26,13.78,14.85,
1719978000000,12.56,14.11,13.24,
1719978600000,12.96,14.12,14.91,
1719979200000,13.18,14.4,14.99,
1719979800000,13.15,14.27,13.62,
1719980400000,13.98,14.59,15,
1719981000000,16.7,14.91,13.66,
1719981600000,13.97,15.58,13.54,
1719982200000,14.48,14.98,16.73,
1719982800000,14.46,14.92,15.96,
1719983400000,14.61,15.87,14.3,
1719984000000,17.43,15.99,13.99,
1719984600000,16.79,15.5,13.04,
1719985200000,12.35,15.7,10.97,
1719985800000,11.14,10.64,9.22,
1719986400000,11.93,9.48,8.76,
1719987000000,11.42,11.47,6.71,
1719987600000,14.68,10.45,6.77,
1719988200000,11.68,10.19,7,
1719988800000,13.89,14.63,12.02,
1719989400000,15.81,14.03,11.35,
1719990000000,13.13,13.93,12.4,
1719990600000,12.73,13.23,9.5,
1719991200000,11.83,13.48,9.63,
1719991800000,13.12,14.98,12.45,
1719992400000,12.78,14.87,12.56,
1719993000000,10.72,13.71,11.65,
1719993600000,10.76,13.2,11.5,
1719994200000,10.77,13.78,10.13,
1719994800000,10.88,13.55,10.28,
1719995400000,10.88,14.2,13.31,
1719996000000,12.84,14.55,14.69,
1719996600000,11.69,13.47,12.65,
1719997200000,11.95,13.52,13.02,
1719997800000,12.06,12.95,11.69,
1719998400000,12.4,12.98,12.56,
1719999000000,12.75,12.7,10.3,
1719999600000,12.23,12.57,11.92,
1720000200000,11.63,13.52,10.71,
1720000800000,11.87,13.43,14.33,
1720001400000,12.35,13.48,13.7,
1720002000000,12.45,12.89,15,
1720002600000,12.32,13.61,12.51,
1720003200000,12.24,13.46,11.83,
1720003800000,12.33,13.28,11.7,
1720004400000,12.57,13.31,13.84,
1720005000000,12.53,13.46,12.06,
1720005600000,15.68,14.94,12.47,
1720006200000,12.39,14.41,12.27,
1720006800000,12.49,14.19,12.34,
1720007400000,12.39,13.92,14,
1720008000000,12.91,13.69,13.72,
1720008600000,12.84,13.84,14.09,
1720009200000,13.23,13.93,15.73,
1720009800000,13.56,13.55,15.94,
1720010400000,15.44,15.66,17.29,
1720011000000,15.39,16.33,16.56,
1720011599000,15.14,16.25,15.79,
1720012200000,15.05,16.2,16.37,
1720012800000,12.88,13.98,14.15,
1720013400000,13.12,14.29,14.43,
1720014000000,13.27,14.26,15.97,
1720014600000,13.45,14.32,16,
1720015200000,12.82,14.33,14.61,
1720015800000,12.36,13.61,14.05,
1720016400000,12.17,13.11,12.77,
1720017000000,11.81,13.24,15.16,
1720017600000,11.64,13.18,14.15,
1720018200000,11.45,13.5,14.4,
1720018800000,12.06,13.5,14.43,
1720019400000,11.7,13.51,14.24,
1720020000000,11.91,13.55,14.39,
1720020600000,11.88,13.07,14.59,
1720021200000,11.7,13.51,15.09,
1720021800000,11.63,14.01,14.62,
1720022400000,12.14,14,14.7,
1720023000000,12.28,13.94,14.71,
1720023600000,12.48,14.06,14.75,
1720024200000,12.48,13.82,16.06,
1720024800000,12.72,13.66,16.17,
1720025400000,12.44,13.89,16,
1720026000000,12.53,13.36,15.86,
1720026600000,12.14,13.78,15.42,
1720027200000,12.63,14.24,15.14,
1720027800000,12.42,13.73,15.62,
1720028400000,12.3,13.72,14.75,
1720029000000,12.31,13.43,14.69,
1720029600000,12.3,13.91,15.05,
1720030200000,12.18,14,14.71,
1720030800000,11.94,13.6,14.47,
1720031400000,12.45,13.76,15.03,
1720032000000,12.58,13.88,15.88,
1720032600000,12.64,13.84,16.61,
1720033200000,12.37,13.21,17.2,
1720033800000,12.3,13.47,16.37,
1720034400000,12.29,13.47,14.83,
1720035000000,12.32,13.29,15.19,
1720035600000,12.05,13.56,14.79,
1720036200000,12.39,13.72,15.9,
1720036800000,12.09,13.52,16.03,
1720037400000,12.47,13.68,17.44,
1720038000000,12.52,13.35,16.29,
1720038600000,12.38,13.58,16.28,
1720039200000,12.46,13.08,16.3,
1720039800000,12.26,13.91,16.19,
1720040400000,11.92,13.24,15.51,
1720041000000,12.19,13.22,14.75,
1720041600000,12.29,13.77,15.27,
1720042200000,12.34,13.97,14.96,
1720042800000,12.43,12.99,15.17,
1720043399000,12.39,14.09,15.87,
1720044000000,12.47,12.95,14.99,
