intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sat Jun 01 2024|  TO Sat Jun 08 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1717180200000,14.75,16.71,16.94,
1717180800000,14.57,16.75,17.24,
1717181400000,14.75,17.07,16.74,
1717182000000,14.73,16.05,18.58,
1717182600000,14.13,15.75,16.08,
1717183200000,14.45,15.69,16.38,
1717183799000,13.95,16.72,16.23,
1717184400000,14.4,16.75,17.53,
1717185000000,14.75,16.22,19.36,
1717185600000,14.13,15.75,17.41,
1717186200000,14.15,15.41,17.5,
1717186800000,14,16.7,16.23,
1717187400000,14.11,16.71,16.17,
1717188000000,14.34,15.86,16.45,
1717188600000,14.31,15.81,16.83,
1717189200000,14.2,15.87,16.25,
1717189800000,13.68,15.99,15.95,
1717190400000,13.82,16.34,16.12,
1717191000000,13.71,15.25,16.11,
1717191600000,14.17,15.84,17.98,
1717192200000,14.31,15.87,16.6,
1717192800000,13.86,16.4,16.15,
1717193400000,14.2,16.78,16.6,
1717194000000,14.01,15.3,17.52,
1717194600000,14.01,15.23,18.74,
1717195200000,13.95,15.09,17.16,
1717195800000,14.21,15.32,17.49,
1717196400000,13.96,16.22,15.03,
1717197000000,13.76,15.72,15.69,
1717197600000,14.24,15.47,18.03,
1717198200000,13.91,15.55,16.2,
1717198800000,13.7,15.09,15.98,
1717199400000,13.77,16.11,17.23,
1717200000000,13.91,15.98,15.99,
1717200600000,13.84,14.95,17.22,
1717201200000,13.63,14.85,17.16,
1717201800000,13.29,14.89,13.98,
1717202399000,13.17,14.02,15.32,
1717203000000,13.69,14.96,16.09,
1717203600000,13.41,15.17,14.12,
1717204200000,13.36,14.35,17.08,
1717204800000,13.27,14.87,17.17,
1717205400000,13.11,14.64,13.85,
1717206000000,13.16,14.04,15.15,
1717206600000,13.79,14.63,16.02,
1717207200000,13.59,14.72,15.62,
1717207800000,13.55,14.55,17.28,
1717208400000,13.62,14.5,15.91,
1717209000000,13.17,14.37,15.33,
1717209600000,13.38,14.97,15.85,
1717210200000,13.42,15.72,15.85,
1717210800000,13.33,14.3,17,
1717211400000,13.24,14.27,14.12,
1717212000000,14.11,17.03,13.81,
1717212600000,14.15,15.07,14.2,
1717213200000,14.34,15.23,13.95,
1717213800000,14.7,15.56,16.01,
1717214400000,14.65,15.15,14.4,
1717215000000,14.68,14.42,13.91,
1717215600000,14.72,17.68,14.13,
1717216200000,13.64,19.16,15.76,
1717216799000,13.61,16.79,15.89,
1717217400000,13.38,16.44,13.93,
1717218000000,13.74,16.41,15.75,
1717218600000,13.97,16.72,15.72,
1717219200000,13.82,16.7,14.02,
1717219800000,14.03,16.67,17.54,
1717220400000,16.85,16.59,14.14,
1717221000000,14.13,19.08,15.92,
1717221600000,14.89,19.3,16.48,
1717222200000,14.72,19.27,16.36,
1717222800000,15.02,16.87,18.05,
1717223400000,16.36,18.91,16.36,
1717224000000,16.76,16.97,16.82,
1717224600000,18.49,17.54,16.87,
1717225200000,18.18,19.51,16.74,
1717225800000,18.33,19.46,18.44,
1717226400000,18.02,16.82,16.22,
1717227000000,18.08,19.48,16.67,
1717227600000,18.25,16.97,16.48,
1717228200000,17.96,19.35,16.65,
1717228800000,18.23,16.68,17.91,
1717229400000,17.81,19.35,16.84,
1717230000000,17.8,19.17,16.55,
1717230600000,18.26,17.02,16.94,
1717231200000,20.11,19.05,18.99,
1717231800000,20.27,19.5,20.59,
1717232400000,20.39,18.32,18.81,
1717233000000,19.21,21.03,18.79,
1717233600000,19,21.67,19.07,
1717234200000,16.41,19.03,18.06,
1717236600000,11.94,11.79,13.02,
1717237200000,16.27,16.61,18.34,
1717237800000,16.18,16.44,18.09,
1717238400000,16.07,16.06,17.74,
1717239000000,16.34,15.74,17.85,
1717239600000,16.12,15.96,17.84,
1717240200000,16.19,15.92,17.76,
1717240800000,15.7,15.74,15.81,
1717241400000,16.53,15.92,18.14,
1717242000000,16,15.94,15.81,
1717242600000,15.57,16.1,14.5,
1717243200000,15.85,15.77,16.26,
1717243800000,15.23,15.56,14.19,
1717244400000,16.02,15.71,17.93,
1717245000000,15.8,15.9,18.18,
1717245600000,15.58,15.69,16.36,
1717246200000,15.68,15.84,16.64,
1717246800000,15.66,17.81,18.17,
1717247400000,15.84,18.06,18.42,
1717248000000,15.57,15.42,17.8,
1717248600000,15.77,15.88,16.72,
1717249199000,15.72,15.82,17.97,
1717249800000,15.58,18.24,17.94,
1717250400000,16.16,15.29,18.04,
1717251000000,15.79,17.55,18.05,
1717251600000,16.07,16.17,18.1,
1717252200000,15.29,17.93,16.61,
1717252800000,15.83,16.13,18.13,
1717253400000,14.39,15.57,16.06,
1717254000000,14.39,15.47,17.61,
1717254600000,14.34,15.1,17.85,
1717255200000,14.19,17.43,18.2,
1717255800000,13.93,17.57,17.25,
1717256400000,14.15,17.42,16.52,
1717256999000,13.94,15.3,16.17,
1717257600000,13.12,14.8,17.13,
1717258200000,13.05,16.95,15.75,
1717258800000,12.93,14.52,16.45,
1717259400000,13.12,14.78,15.53,
1717260000000,12.72,14.55,16.49,
1717260600000,12.93,14.77,15.13,
1717261200000,13.27,14.45,16.29,
1717261800000,13.35,14.37,14.87,
