intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Mon Jun 17 2024|  TO Mon Jun 24 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1718562600000,12.97,14.01,14.74,
1718563200000,13.07,14,16.03,
1718563800000,12.98,13.91,15.88,
1718564400000,12.52,13.69,14.74,
1718565000000,12.47,13.84,14.76,
1718565600000,12.47,13.95,13.6,
1718566200000,12.76,13.8,14.63,
1718566800000,12.4,13.85,14.45,
1718567400000,12.65,13.81,15.86,
1718568000000,12.45,13.63,14.76,
1718568600000,12.48,14.01,13.55,
1718569200000,12.83,13.81,14.89,
1718569800000,12.45,13.75,14.65,
1718570399000,12.19,13.67,13,
1718571000000,12.59,14.05,16.09,
1718571600000,12.28,13.77,14.37,
1718572200000,12.53,13.68,14.91,
1718572800000,12.46,13.79,14.71,
1718573400000,12.64,13.91,14.82,
1718574000000,12.27,13.72,13.23,
1718574600000,12.35,13.77,14.62,
1718575200000,12.39,13.73,15.96,
1718575800000,12.55,13.85,14.51,
1718576400000,12.62,13.68,15.09,
1718577000000,12.32,14.12,13.54,
1718577600000,12.58,13.72,15.09,
1718578200000,12.33,13.91,13.33,
1718578800000,12.47,13.77,14.95,
1718579400000,12.31,13.56,15.43,
1718580000000,12.54,13.86,15.83,
1718580600000,12.22,13.64,14.97,
1718581200000,12.18,13.6,13.21,
1718581800000,12.38,13.64,14.76,
1718582400000,12.23,13.7,13.27,
1718583000000,12.44,13.71,15.79,
1718583600000,12.01,13.5,14.08,
1718584200000,12.05,13.13,15.13,
1718584800000,12.02,13.43,13.12,
1718585400000,11.93,13.33,14.34,
1718586000000,11.89,13.26,12.91,
1718586600000,12.23,13.53,14.65,
1718587200000,12.09,13.44,13.25,
1718587800000,12.02,13.27,13.91,
1718588400000,12.04,13.47,15.35,
1718589000000,11.85,13.63,13.2,
1718589600000,12.26,13.45,14.47,
1718590200000,11.8,13.05,14.39,
1718590800000,12.04,13.35,14.47,
1718591400000,11.81,13.2,12.74,
1718592000000,12.06,13.21,15.09,
1718592600000,12.04,13.37,15.26,
1718593200000,11.99,13.3,13.87,
1718593800000,11.84,13.27,13.97,
1718594400000,12.06,13.28,13.03,
1718595000000,11.89,13.37,13.96,
1718595600000,12.23,13.33,12.89,
1718596200000,12.39,13.17,14.09,
1718596800000,12.44,13.45,13.91,
1718597400000,12.85,13.6,13.49,
1718598000000,13.22,13.57,12.98,
1718598600000,13.37,13.68,13.14,
1718599200000,13.29,13.32,14.13,
1718599799000,13.28,13.4,12.8,
1718600400000,13.57,13.6,14.54,
1718601000000,13.34,13.48,15.16,
1718601600000,13.49,13.55,13.99,
1718602200000,13.52,13.7,14.25,
1718602800000,13.36,13.89,13.16,
1718603400000,13.2,13.87,14.39,
1718604000000,13.15,13.65,12.95,
1718604600000,13.44,13.75,14.42,
1718605200000,13.49,15.57,14.04,
1718605800000,13.51,15.17,13.99,
1718606400000,13.78,15.62,14.95,
1718607000000,13.76,15.61,14.6,
1718607600000,13.53,15.23,14.34,
1718608200000,12.56,13.67,14.67,
1718608800000,12.65,13.86,14.85,
1718609400000,12.57,13.9,14.72,
1718610000000,12.76,13.91,14.16,
1718610600000,15.03,16.08,17.82,
1718611200000,14.54,16.2,15.17,
1718611800000,14.55,15.95,14.73,
1718612400000,14.5,15.81,13.37,
1718613000000,14.6,15.61,14.58,
1718613600000,14.09,13.82,14.45,
1718614200000,13.99,14.02,15.83,
1718614800000,13.79,14.15,12.7,
1718615400000,12.89,13.79,13.25,
1718616000000,12.72,14.51,13.26,
1718616600000,12.8,14.66,14.3,
1718617199000,12.58,14.32,13.32,
1718617800000,12.66,14.36,12.85,
1718618400000,12.78,14.54,13.44,
1718619000000,12.97,15.14,12.77,
1718619600000,13.73,14.99,18.31,
1718620200000,13.76,14.69,17.43,
1718620799000,12.91,14.43,15.25,
1718621400000,14.36,15.03,15.35,
1718622000000,14.41,15.13,15.54,
1718622600000,13.88,14.76,14.5,
1718623200000,14.45,14.4,18.34,
1718623800000,14.1,14.53,16.61,
1718624399000,14,14.86,13.5,
1718625000000,14.05,15.28,13.84,
1718625600000,14,14.85,16.11,
1718626200000,14.01,15.06,15.24,
1718626800000,14.04,14.27,15.92,
1718627400000,13.77,14.03,15.07,
1718628000000,15.25,14.93,14.87,
1718628600000,15.01,14.78,16.17,
1718629200000,14.67,14.64,15.12,
1718629799000,15.26,14.48,16.18,
1718630400000,14.91,14.23,15.99,
1718631000000,14.63,14.5,15.51,
1718631600000,14.55,14.41,15.44,
1718632200000,14.31,14.68,14.47,
1718632800000,14.11,14.81,16.71,
1718633400000,12.67,14.34,13.62,
1718634000000,12.43,15.05,11.88,
1718634600000,12.7,14.38,13.52,
1718635200000,12.95,14.48,14.96,
1718635800000,12.78,15.08,14.08,
1718636400000,12.64,13.73,15.9,
1718637000000,13.02,13.99,16.37,
1718637600000,13.75,14.06,16.12,
1718638200000,13.4,13.97,14.98,
1718638800000,13.33,13.72,14.93,
1718639400000,13.55,13.97,14.93,
1718640000000,13.73,14.15,15.29,
1718640600000,13.57,14.1,15.24,
1718641200000,13.69,14.08,16.46,
1718641800000,14.04,14.23,16.67,
1718642400000,13.8,14.32,15.38,
1718643000000,13.6,14.5,15.34,
1718643600000,12.7,14.39,15.19,
1718644200000,12.99,14.6,15.55,
1718644800000,12.96,14.42,15.29,
1718645400000,12.91,14.54,16.62,
1718646000000,12.87,14.21,16.16,
1718646600000,13.03,14.53,15.33,
1718647200000,12.72,14,13.63,
1718647800000,12.74,14.41,15.05,
1718648400000,12.69,14.41,15.22,
1718649000000,12.79,14.86,14.05,
1718649600000,13.2,14.33,16.38,
1718650200000,13.01,14.43,16.21,
1718650800000,12.5,14.54,14.94,
1718651400000,13.02,14.6,15.32,
1718652000000,12.85,14.44,15.12,
1718652600000,12.77,14.34,13.6,
1718653200000,12.7,14.45,13.76,
1718653800000,12.82,14.42,16.26,
1718654400000,12.71,14.14,16.52,
1718655000000,12.19,14.17,14.94,
1718655600000,12.03,14.53,13.2,
1718656200000,12.15,14.23,15.05,
1718656800000,12.32,14.29,15.29,
1718657400000,12.45,14.26,13.61,
1718658000000,12.18,14.34,14.68,
1718658599000,12.52,14.38,16.29,
1718658600000,12.41,14.47,16.37,
1718659200000,12.18,14.32,14.99,
1718659800000,12.2,14.33,13.79,
1718660400000,12.6,14.64,15.54,
1718661000000,12.2,14.25,13.58,
1718661600000,12.34,13.91,15.04,
1718662200000,12.27,14.02,15.84,
1718662800000,12.24,14.15,15.95,
1718663400000,12.6,14.59,15.19,
1718664000000,12.64,14.48,15.1,
1718664600000,12.3,14.06,13.49,
1718665200000,12.33,14.66,13.86,
1718665800000,12.22,14.17,15.16,
