intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Tue Jun 25 2024|  TO Tue Jul 02 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1719253800000,13.16,14.08,18.17,
1719254400000,12.89,14.13,18.12,
1719255000000,12.95,13.93,18.12,
1719255600000,12.68,14.12,16.95,
1719256200000,12.76,14.14,15.77,
1719256800000,12.92,14.02,16.99,
1719257399000,12.44,13.7,16.56,
1719257999000,12.46,13.81,17.6,
1719258600000,12.46,13.66,17.53,
1719259200000,12.68,13.64,17.63,
1719259800000,12.62,13.89,16.82,
1719260400000,12.58,13.77,16.87,
1719261000000,12.34,13.8,16.64,
1719261599000,12.35,14.11,16.93,
1719262200000,12.65,13.81,16.74,
1719262800000,12.77,13.93,18.05,
1719263400000,12.45,13.72,17.76,
1719264000000,12.54,13.7,16.66,
1719264600000,12.23,13.63,16.42,
1719265200000,12.42,13.49,16.42,
1719265800000,12.25,13.53,16.36,
1719266400000,12.55,13.84,16.76,
1719267000000,12.61,13.81,17.86,
1719267600000,12.69,13.88,17.96,
1719268200000,12.12,13.57,16.67,
1719268800000,12.26,13.48,16.4,
1719269400000,12.48,13.78,16.83,
1719270000000,12.54,13.8,16.69,
1719270600000,12.38,13.73,16.74,
1719271200000,11.99,13.55,15.9,
1719271800000,12.26,13.5,17.4,
1719272400000,12.19,13.56,17.22,
1719273000000,12.3,13.65,16.49,
1719273600000,12.52,13.94,15.68,
1719274200000,12.42,13.59,16.35,
1719274800000,11.95,13.48,16.47,
1719275399000,11.87,13.39,16.9,
1719276000000,12.35,13.66,17.35,
1719276600000,12.52,13.89,17.44,
1719277200000,12.59,14.02,16.93,
1719277800000,12,13.52,16.11,
1719278400000,12.26,13.7,16.41,
1719279000000,12.22,13.48,16.15,
1719279599000,12.26,13.61,16.2,
1719280200000,12.49,13.45,17.15,
1719280800000,12.28,13.68,17.27,
1719281400000,12.04,13.43,17.25,
1719282000000,12.26,13.55,16.11,
