intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sun Jun 09 2024|  TO Sun Jun 16 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1717871400000,13.46,15.28,15.79,
1717872000000,13.34,15.21,16.06,
1717872600000,13.48,15.19,16.74,
1717873200000,13.15,14.92,16.65,
1717873800000,12.9,15.03,15.27,
1717874400000,12.35,14.66,13.69,
1717875000000,12.36,14.75,13.61,
1717875600000,12.38,14.45,14.96,
1717876200000,12.23,14.51,14.93,
1717876800000,12.51,14.74,14.59,
1717877400000,12.34,14.5,16.24,
1717878000000,12.46,14.58,14.82,
1717878600000,12.41,14.3,13.85,
1717879200000,12.45,14.79,15.29,
1717879800000,12.66,15.04,15.37,
1717880400000,12.46,14.57,15.09,
1717881000000,12.45,14.76,16.05,
1717881600000,12.61,14.57,16.69,
1717882200000,12.17,14.49,13.39,
1717882800000,12.56,14.81,13.95,
1717883400000,12.74,14.49,15.04,
1717884000000,12.42,14.63,15.12,
1717884600000,12.59,15.06,13.96,
1717885200000,12.52,14.53,16.25,
1717885800000,12.3,14.66,16.18,
1717886400000,12.26,14.56,14.9,
1717887000000,12.17,13.72,13.27,
1717887600000,12.37,14.24,15.09,
1717888200000,12.44,14.41,15.22,
1717888800000,12.28,14.23,14.57,
1717889400000,12.01,14.32,14.23,
1717889999000,12.38,14.27,15.84,
1717890600000,12.26,13.97,14.98,
1717891200000,11.99,14.26,14.6,
1717891800000,12.02,13.95,14.69,
1717892400000,12.29,14.11,13.56,
1717893000000,12.05,14.15,14.62,
1717893600000,12.12,13.78,15.85,
1717894200000,12.35,13.57,15.99,
1717894800000,11.98,13.68,14.73,
1717895400000,12.17,13.41,14.42,
1717896000000,12.13,13.51,13.38,
1717896600000,12.53,13.9,15.05,
1717897200000,12.43,13.63,14.86,
1717897800000,12.16,13.61,15.49,
1717898400000,12.48,13.99,14.46,
1717899000000,12.37,13.6,15.73,
1717899599000,12.28,13.49,14.58,
1717900200000,12.72,14.41,15.29,
1717900800000,12.44,13.69,14.89,
1717901400000,12.09,13.59,13.32,
1717902000000,12.67,14.02,14.92,
1717902600000,12.14,13.51,15.45,
1717903200000,12.74,13.83,16.15,
1717903800000,14.43,15.81,16.89,
1717904400000,14.23,15.34,16.69,
1717905000000,14.54,15.59,16.77,
1717905600000,15.31,15.99,15.34,
1717906200000,13.94,14,14.87,
1717906800000,13.93,14.08,15.93,
1717907400000,14.12,14.31,16.14,
1717908000000,13.72,13.88,14.53,
1717908600000,13.57,13.78,13.26,
1717909200000,14.14,14.31,15.08,
1717909800000,13.83,13.99,14.92,
1717910400000,14.5,16.93,17.93,
1717911000000,14.46,14.65,18.7,
1717911600000,14.27,14.38,16,
1717912200000,14.68,14.38,16.51,
1717912800000,14.1,13.9,17.25,
1717913400000,14.28,13.87,16.85,
1717914000000,14.58,14.19,17.47,
1717914600000,14.3,14.25,13.63,
1717915200000,14.69,14.5,15.38,
1717915800000,14.4,14.1,15.95,
1717916400000,14.26,14.05,15.91,
1717916999000,14.46,14.24,15.23,
1717917600000,14.45,14.37,15.32,
1717918200000,14.21,14.34,15.71,
1717918800000,16.29,16.48,15.65,
1717919400000,15.87,14.09,15.53,
1717920000000,15.72,13.96,14.46,
1717920600000,15.07,13.6,16.7,
1717921200000,14.46,14.44,13.81,
1717921799000,13.62,14.31,16.83,
1717922400000,12.68,14.09,13.72,
1717923000000,13.09,14.31,15.37,
1717923600000,12.83,14.09,16.13,
1717924200000,13.59,14.02,15.86,
1717924800000,13.89,14.38,16.4,
1717925400000,13.69,14.85,15.05,
1717926000000,13.54,15.01,15.05,
1717926600000,13.37,14.88,13.76,
1717927200000,13.92,15.07,15.4,
1717927800000,14.03,15.24,15.75,
1717928400000,14.19,15.01,18.6,
1717929000000,13.71,14.76,14.75,
1717929600000,13.67,14.9,14.64,
1717930200000,13.88,14.7,15.3,
1717930800000,13.9,14.78,15.06,
1717931400000,13.99,14.79,15.34,
1717932000000,13.64,14.4,14.72,
1717932600000,13.74,14.87,16.01,
1717933200000,13.39,14.45,15.85,
1717933800000,13.88,14.57,16.1,
1717934400000,13.41,14.89,13.83,
1717935000000,13.36,14.38,14.88,
1717935600000,13.97,14.66,15.09,
1717936200000,13.66,14.44,14.75,
1717936800000,13.47,14.96,13.43,
1717937400000,13.98,14.67,18.3,
1717938000000,13.83,15.14,16.7,
1717938600000,13.59,14.75,15.39,
