intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed Mar 13 2024|  TO Wed Mar 20 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1710268200000,15.03,16.08,14.3,
1710268800000,14.97,15.83,14.31,
1710269400000,14.9,15.59,13.87,
1710270000000,14.81,15.65,15.3,
1710270600000,15.19,15.98,15.66,
1710271200000,15.8,16.35,16.38,
1710271800000,14.72,16.1,13.92,
1710272400000,14.64,16.34,12.58,
1710273000000,14.46,16.32,13.61,
1710273600000,14.65,15.89,13.39,
1710274200000,14.66,14.81,13.55,
1710274800000,14.47,14.96,13.64,
1710275400000,14.7,15.64,15.17,
1710275999000,14.52,16.03,13.64,
1710276600000,14.4,15.2,13.45,
1710277200000,14.36,14.5,13.37,
1710277800000,14.29,14.67,13.42,
1710278400000,14.28,15.6,13.35,
1710279000000,14.56,15.75,16.95,
1710279600000,14.24,13.81,12.91,
1710280200000,14.28,15.57,13.2,
1710280800000,14.13,14.41,13.17,
1710281400000,14.02,15.49,13.01,
1710282000000,14.18,14.31,13.02,
1710282600000,14.13,15.22,13.19,
1710283200000,14.02,14.86,13.02,
1710283800000,13.7,15.37,13.16,
1710284400000,14,14.37,12.81,
1710285000000,14.27,13.93,13.05,
1710285600000,14.1,15.92,13.14,
1710286200000,14.04,14.15,14.45,
1710286800000,14.25,14.44,13.06,
1710287400000,13.91,15.29,12.68,
1710288000000,13.4,14.39,13.02,
1710288600000,13.02,14.21,12.78,
1710289200000,13.23,14.22,12.98,
1710289800000,13.18,14.63,13.02,
1710290400000,12.81,15,12.83,
1710291000000,13.11,13.37,14,
1710291600000,12.84,14.11,12.56,
1710292200000,12.79,13.98,12.49,
1710292800000,12.69,14.74,11.2,
1710293400000,12.87,14.8,14.49,
1710294000000,12.61,13.31,12.36,
1710294600000,12.93,14.39,12.56,
1710295200000,13.17,13.86,12.8,
1710295799000,13.02,14.14,10.9,
1710296400000,13.18,14.85,14.15,
1710297000000,12.71,13.23,12.17,
1710297600000,12.95,13.24,12.54,
1710298200000,13.05,15.73,14.45,
1710298800000,15.92,14.09,14.2,
1710299400000,13.58,14.52,13.39,
1710299999000,13.1,14.89,13.2,
1710300600000,14.71,15,13.21,
1710301200000,13.2,14.28,12.99,
1710301800000,13.07,17.82,15.87,
1710302400000,13.69,15.69,15,
1710303000000,13.78,14.47,13.33,
1710303600000,17.27,16.69,15.79,
1710304200000,17.09,17.03,15.38,
1710304800000,16.09,20.76,15.74,
1710305400000,16.6,19.74,17.68,
1710306000000,16.42,19.81,15.93,
1710306600000,14.83,16.86,13.86,
1710307200000,15.32,17.34,14.15,
1710307800000,17.32,19.52,16.36,
1710308400000,15.51,17,14.06,
1710309000000,14.5,20.72,14.22,
1710309600000,14.9,17.67,15.89,
1710310200000,15.45,18.26,16.13,
1710310800000,18.73,20.8,14.67,
1710311400000,19.14,17.46,14.26,
1710312000000,18.89,19.81,14.57,
1710312600000,16.78,17.22,14.53,
1710313200000,17.52,17.4,14.23,
1710313800000,16.91,17.7,15.01,
1710314400000,17.21,19.17,15.42,
1710315000000,16.94,20.73,14.74,
1710315600000,16.55,18.21,14.67,
1710316200000,16.34,20.35,16.86,
1710316800000,16.82,20.5,17.12,
1710317400000,16.71,19.84,16.76,
1710318000000,16.94,20.43,16.65,
1710318600000,20.08,20.76,16.58,
1710319200000,17.49,18.64,15,
1710319800000,20.5,19.11,16.79,
1710320400000,20.47,19.45,15.45,
1710321000000,18.02,18.9,16.76,
1710321600000,18.14,22.18,15.44,
1710322200000,18.8,22.36,16.87,
1710322799000,17.85,19.05,15.32,
1710323400000,21.33,19.41,15.79,
1710324000000,20.96,21.18,17.08,
1710324600000,18.17,20.6,14.84,
1710325200000,22.65,20.51,18.48,
1710325800000,22,19.89,18.21,
1710326400000,24.24,22.59,17.04,
1710327000000,24.21,22.65,18.64,
1710327600000,20.97,19.86,16.86,
1710328200000,20.73,20.13,18.47,
1710328800000,18.78,17.95,14.79,
1710329400000,21.18,20.49,15.25,
1710330000000,16.94,20.17,16.39,
1710330600000,20.42,17.7,14.59,
1710331200000,18.46,17.29,19.02,
1710331800000,18.27,19.8,16.71,
1710332400000,18.41,19.42,14.72,
1710333000000,17.55,16.77,16.01,
1710333600000,17.79,16.98,16.21,
1710334200000,17.83,18.95,17.47,
1710334800000,17.84,17.26,14.7,
1710335400000,16.96,16.82,14.16,
1710336000000,17.14,16.86,14.05,
1710336600000,17.11,16.66,14.06,
1710337200000,16.57,16.5,13.89,
1710337800000,16.88,19.32,14.36,
1710338400000,16.31,18.81,14.07,
1710339000000,16.33,16.88,14.11,
1710339600000,16.67,19.4,14.46,
1710340200000,16.33,19.11,14.2,
1710340800000,16.76,16.91,15.92,
1710341400000,16.56,19.38,15.75,
1710342000000,16.34,16.95,15.58,
1710342600000,16.12,19.56,15.95,
1710343200000,16.2,16.68,15.59,
1710343800000,16.38,17.22,14.78,
1710344400000,16.1,16.62,13.97,
1710345000000,15.97,16.67,14.07,
1710345600000,15.64,16.52,14.06,
1710346200000,15.72,16.46,15.28,
1710346800000,15.98,16.38,15.74,
1710347400000,15.54,15.82,13.87,
1710348000000,15.99,16.71,14.02,
1710348600000,16.11,16.3,14.2,
1710349200000,15.9,15.97,15.7,
1710349800000,15.53,16.35,15.69,
1710350400000,16.36,17.03,15.56,
1710351000000,16.23,16.62,14.14,
1710351600000,16.52,17.25,14.49,
1710352200000,16.12,16.74,13.88,
1710352800000,15.99,16.62,13.86,
1710353400000,17.32,16.88,13.89,
1710354000000,15.94,16.97,15.4,
1710354600000,15.64,17.1,15.78,
1710355200000,16.05,16.18,15.56,
1710355800000,16.1,16.87,15.38,
1710356400000,15.95,16.36,13.52,
1710357000000,15.74,16.67,13.85,
1710357600000,16.01,16.66,13.69,
1710358200000,16.01,16.11,13.88,
1710358800000,15.58,17.38,13.56,
1710359400000,15.53,16.2,14.93,
1710360000000,15.35,16.72,15.26,
1710360600000,15.12,16.8,16.88,
1710361200000,15.36,15.54,13.38,
1710361800000,15.3,15.27,13.25,
1710362400000,15.04,16.21,13.39,
1710363000000,15.3,16.47,13.35,
1710363600000,15.44,14.97,15.14,
1710364200000,15.2,14.28,12.97,
1710364800000,14.97,14.27,13.06,
1710365400000,15.65,16.49,15.14,
1710366000000,15.45,16.33,14.75,
1710366600000,14.65,16.33,17.31,
1710367200000,14.37,14.18,13.12,
1710367800000,14.24,16.16,13.28,
1710368400000,14.33,15.01,13.09,
1710369000000,13.61,14.71,12.77,
1710369600000,14.09,15.88,15.72,
1710370200000,13.64,14.12,14.35,
1710370800000,14.77,14.96,14.45,
1710371400000,14.79,15.38,14.67,
1710372000000,14.3,15.48,12.93,
1710372600000,14.52,15.35,13.06,
1710373200000,14.77,13.9,12.69,
1710373800000,14.28,13.48,12.45,
1710374400000,13.13,15.74,12.68,
1710375000000,14.34,14.7,12.6,
1710375600000,14.79,14.04,12.48,
1710376200000,14.35,13.8,12.58,
1710376800000,14.37,14.81,12.51,
1710377400000,13.15,13.19,12.6,
1710378000000,13.95,13.85,12.37,
1710378600000,14.23,14.66,11.33,
1710379200000,14.2,14.22,14.02,
1710379800000,13.55,14.19,14.05,
1710380400000,13.71,13.38,12.56,
1710381000000,14.52,15.28,12.64,
1710381600000,12.32,14.29,12.63,
1710382200000,12.02,14.16,12.62,
1710382800000,12.6,15.01,12.62,
1710383400000,11.95,14.5,13.12,
1710384000000,11.99,14.36,12.47,
1710384600000,12.41,14.48,12.62,
1710385200000,12.2,13.82,14.01,
1710385800000,15.54,13.98,12.43,
