intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu Mar 21 2024|  TO Thu Mar 28 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1710959400000,14.53,15.16,17.64,
1710960000000,14.39,14.67,17.68,
1710960600000,13.96,14.34,14.71,
1710961200000,14.1,14.74,13.54,
1710961800000,13.69,14.43,13.68,
1710962400000,14.01,15.14,15.03,
1710963000000,14.09,14.31,17.25,
1710963600000,14.04,14.43,16.85,
1710964199000,12.61,14.1,16.89,
1710964200000,12.79,14.02,16.88,
1710964800000,12.9,14.67,16.96,
1710965400000,13.43,14.74,17.23,
1710966000000,13.02,14.46,14.76,
1710966600000,12.57,14.55,14.92,
1710967200000,12.91,14.51,15.08,
1710967800000,12.98,14.85,14.68,
1710968400000,12.27,14.36,17,
1710969000000,12.89,14.55,15.01,
1710969600000,12.94,14.38,14.52,
1710970200000,12.63,14.74,13.36,
1710970800000,12.48,14.47,13.21,
1710971400000,12.47,14.46,13.29,
1710972000000,12.44,14.31,13.09,
1710972600000,11.83,14.18,13.65,
1710973199000,12.88,14.81,13.42,
1710973200000,12.61,14.65,13.28,
1710973800000,11.88,14.35,12.96,
1710974400000,12.17,14.2,12.96,
1710975000000,12.5,14.16,16.57,
1710975600000,12.36,14.73,15.14,
1710976200000,12.73,14.34,15.31,
1710976799000,12.74,14.25,16.9,
1710976800000,12.7,14.27,16.95,
1710977400000,12.49,14.19,13.05,
1710977999000,12.59,14.22,14.56,
1710978600000,12.37,14.82,11.57,
1710979199000,12.64,14.47,13.06,
1710979200000,12.64,14.54,13.04,
1710979800000,12.91,13.8,15.69,
1710980400000,11.79,14.32,13.15,
1710981000000,12.36,14.92,13.58,
1710981600000,12.76,14.78,16.48,
1710982199000,12.72,15.1,16.59,
1710982800000,12.28,14.19,15.03,
1710983400000,12.22,14.29,13.04,
1710984000000,12.45,14.51,13.56,
1710984599000,12.43,14.72,14.25,
1710984600000,12.45,14.77,14.21,
1710985200000,12.42,14.93,15.32,
1710985799000,12.13,14.26,12.63,
1710985800000,12.04,14.15,12.68,
1710986400000,11.41,14.13,12.9,
1710987000000,11.47,14.76,13.56,
1710987600000,12.06,14.56,14.87,
1710988200000,12.41,14.22,14.82,
1710988705000,12.1,14.44,14.35,
1710988800000,12.33,14.27,14.37,
1710989400000,11.75,14.65,14.36,
1710990000000,15.52,15.48,13.68,
1710990600000,12.09,15.1,13.52,
1710991200000,12.12,15.34,13.99,
1710991800000,12.09,15.12,13.63,
1710992400000,13.31,15.73,13.51,
1710992999000,13.99,16.16,15.28,
1710993599000,13.33,15.94,15.14,
1710993600000,13.52,16.05,15.24,
1710994200000,16.79,16.07,13.88,
1710994800000,18.75,17.6,14.58,
1710995399000,15.66,18.34,17.08,
1710995400000,15.81,18.4,17.12,
1710996000000,17.56,17.92,16.82,
1710996540000,15.87,17.96,16.57,
1710996600000,16.1,17.09,16.8,
1710997200000,16.7,17.98,16.94,
1710997800000,17.47,20.97,16.67,
1710998400000,17.66,20.5,17.01,
1710999000000,20.93,20.6,16.69,
1710999600000,16.85,20.26,18.79,
1711000200000,16.82,20.3,16.42,
1711000800000,16.17,19.81,16.36,
