intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Fri Mar 29 2024|  TO Fri Apr 05 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1711650600000,15.24,16.93,16.31,
1711651200000,15.17,16.74,17.89,
1711651800000,14.96,16.43,17.34,
1711652400000,14.67,16.46,15.79,
1711653000000,14.62,16.03,15.66,
1711653600000,15.87,16.16,16.98,
1711654200000,15.94,16.14,15.83,
1711654800000,15.88,16.19,15.68,
1711655400000,15.75,15.99,17,
1711656000000,15.91,16.07,15.55,
1711656600000,14.53,15.68,17.01,
1711657200000,15.34,15.63,13.9,
1711657800000,15.42,15.72,15.28,
1711658400000,14.19,15.83,13.88,
1711659000000,13.9,15.72,15.33,
1711659600000,12.19,15.67,13.96,
1711660200000,12.81,15.71,15.18,
1711660800000,12.95,15.86,15.35,
1711661400000,12.68,15.48,15.14,
1711662000000,12.17,15.85,16.93,
1711662600000,12.71,15.32,14.8,
1711663200000,12.47,15.48,13.59,
1711663800000,11.92,15.6,15.19,
1711664400000,12.42,15.4,15.07,
1711665000000,11.91,15.5,17.07,
1711665600000,12.33,15.46,15.13,
1711666200000,12.49,15.41,15.11,
1711666800000,12.14,15.35,16.77,
1711667400000,12.46,15.46,15.28,
1711668000000,12.26,15.56,14.85,
1711668600000,12.41,15.18,11.7,
1711669200000,12.01,15.34,14.6,
1711669800000,12.54,15.28,14.81,
1711670400000,12.49,14.96,16.61,
1711671000000,11.92,15.25,15.31,
1711671600000,12.19,15.14,13.33,
1711672200000,11.39,15.08,13.11,
1711672800000,12.1,15.1,13.35,
1711673400000,11.38,15.09,14.87,
1711674000000,12.01,14.88,14.82,
1711674600000,11.95,15.29,14.65,
1711675200000,11.93,14.77,16.13,
1711675800000,11.83,14.94,14.73,
1711676400000,11.24,15.05,13.19,
1711677000000,11.84,15.04,14.61,
1711677600000,12.11,15.19,11.6,
1711678199000,11.72,15.16,13.11,
1711678800000,11.42,14.76,16.25,
1711679400000,11.72,15.27,13.27,
1711680000000,11.14,14.68,14.51,
1711680600000,11.38,14.86,12.89,
1711681200000,11.35,15.08,14.93,
1711681800000,11.82,14.87,14.54,
1711682400000,11.24,14.94,14.72,
1711683000000,12.35,14.98,14.31,
1711683600000,12.9,15.42,13.27,
1711684200000,12.23,16.5,13.41,
1711684800000,13.3,16.48,13.27,
1711685400000,12.45,16.52,14.93,
1711686000000,15.27,18.65,15.28,
1711686600000,15.38,18.52,17.18,
1711687200000,15.71,18.8,15.67,
1711687800000,16.42,18.51,19.06,
1711688400000,15.71,18.88,19.39,
1711689000000,16.25,17.51,19.65,
1711689600000,15.67,17.78,15.84,
1711690200000,14.55,15.58,15.52,
1711690800000,15.56,16.38,16.5,
1711691400000,15.52,16.57,20.23,
1711692000000,16.52,16.14,16.52,
1711692600000,15.41,16.26,17.16,
1711693200000,15.94,16.2,16.31,
1711693800000,16.73,16.68,19.13,
1711694400000,17.33,16.24,19.15,
1711695000000,17.52,16.47,16.25,
1711695600000,17.31,16.21,15.64,
1711696200000,17.35,15.99,13.71,
1711696800000,17.28,15.63,16.92,
1711697399000,17.78,16.29,16.11,
1711698000000,16.84,16,13.64,
1711698600000,17.06,16.17,15.49,
1711699200000,16.9,15.93,15.33,
1711699800000,16.79,15.83,15.5,
1711700400000,17.24,16.03,15.55,
1711701000000,15.37,15.46,17.62,
1711701600000,15.72,15.84,16.45,
1711702200000,16.69,15.82,15.95,
1711702800000,17.31,15.6,19.31,
1711703400000,17.57,15.77,17.72,
1711704000000,17.47,15.73,16,
1711704600000,17.6,15.82,17.8,
1711705200000,19.31,17.88,19.4,
