intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu May 16 2024|  TO Thu May 23 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1715797800000,14.89,15,16.08,
1715798400000,13.65,15.13,17.56,
1715799000000,13.21,14.9,17.23,
1715799600000,13.15,14.7,16.93,
1715800200000,13.22,14.36,16.69,
1715800800000,13.46,14.33,15.5,
1715801400000,13.69,14.66,15.84,
1715801999000,13.73,15.07,17.42,
1715802600000,13.28,14.15,16.69,
1715803200000,13.12,14.33,15.26,
1715803800000,13.23,14.46,15.43,
1715804400000,13.46,14.96,15.81,
1715805000000,13.33,14.51,15.4,
1715805600000,13.55,14.68,17.14,
1715806200000,13.3,14.62,15.51,
1715806800000,13.57,14.77,17.11,
1715807400000,13.42,14.45,15.69,
1715808000000,13.39,14.88,15.64,
1715808600000,13.2,14.44,16.69,
1715809199000,13.61,14.56,16.81,
1715809800000,13.22,14.6,16.74,
1715810400000,13.43,14.69,15.44,
1715811000000,13.45,14.65,17.04,
1715811600000,13.41,14.74,15.66,
1715812200000,13.13,14.64,15.48,
1715812800000,13.18,14.43,16.57,
1715813400000,13.13,14.44,15.34,
1715814000000,13.3,14.5,16.84,
1715814600000,13.05,14.28,16.59,
1715815200000,13.1,14.25,13.78,
1715815800000,13.21,14.42,15.18,
1715816400000,13.03,14.25,16.49,
1715817000000,13.04,14.47,15.31,
1715817600000,12.83,14.36,14.88,
1715818200000,13.15,14.48,16.53,
1715818800000,12.98,13.84,13.38,
1715819400000,12.79,13.79,14.93,
1715820000000,13.3,14.15,16.86,
1715820600000,15.05,16.11,17.34,
1715821200000,14.82,15.85,17.05,
1715821800000,15.35,16.45,19.11,
1715822400000,15.25,16.19,18.93,
1715823000000,12.79,13.81,14.86,
1715823600000,13.2,14,16.68,
1715824200000,13.13,13.96,16.59,
1715824800000,12.91,13.84,14.98,
1715825400000,16.44,14.34,15.35,
1715826000000,13.55,15.16,15.13,
1715826600000,13.18,14.9,13.51,
1715827200000,15.48,15.68,14.31,
1715827800000,14.44,15.74,17.37,
1715828400000,15.17,17.05,17.08,
1715829000000,14.49,17.36,16.05,
1715829600000,14.61,15.22,17.42,
1715830200000,14.75,17.37,17.47,
1715830800000,14.04,17.79,14.28,
1715831400000,14.75,15.62,14.36,
1715832000000,14.71,18.18,15.73,
1715832600000,14.27,18.68,15.02,
1715833200000,18.28,18.43,16.71,
1715833800000,15.79,16.18,17.96,
1715834400000,16.11,18.96,16.41,
1715835000000,15.94,19.26,15.22,
1715835600000,16.13,19.16,16.38,
1715836200000,16.68,16.91,16.13,
1715836800000,16.77,19.32,16.77,
1715837400000,17.65,17.05,18.41,
1715838000000,21.2,17.2,16.69,
1715838600000,21.28,17.84,16.91,
1715839200000,20.46,17.12,14.99,
1715839800000,18.17,17.48,15.07,
1715840400000,18.21,16.96,18.06,
