intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Fri May 24 2024|  TO Fri May 31 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1716489000000,15.7,16,17.13,
1716489600000,14.68,19.05,17.33,
1716490200000,14.62,16.3,16.75,
1716490800000,14.56,18.38,18.6,
1716491400000,13.94,15.41,17.82,
1716492000000,14.41,15.46,16.72,
1716492600000,13.69,15.29,14.52,
1716493200000,13.8,15.7,16.05,
1716493799000,14.5,15.47,18.07,
1716493800000,14.53,15.49,18.17,
1716494400000,14.36,17.49,16.88,
1716495000000,14.26,15.19,16.19,
1716495600000,14.03,15.4,15.01,
1716496200000,14.06,15.01,16.15,
1716496800000,14.02,15.68,16.31,
1716497400000,19.2,17.16,19.97,
1716498000000,15.88,17.05,18.44,
1716498600000,16.26,16.68,18.37,
1716499200000,15.6,19.24,16.75,
1716499800000,15.83,17.63,16.91,
1716500400000,14.35,15.43,17.84,
1716501000000,14.01,15.27,16.51,
1716501600000,14.21,18.07,18.08,
1716502200000,14.07,17.28,16.33,
1716502800000,13.85,15.02,15.99,
1716503399000,13.74,15.7,16.06,
1716503400000,14.03,15.45,16.11,
1716504000000,13.87,17.8,16.42,
1716504600000,13.9,14.96,17.86,
1716505200000,13.95,14.39,16.12,
1716505800000,13.81,15.2,14.68,
1716506400000,13.73,14.9,16.09,
1716507000000,13.72,17.43,16.28,
1716507600000,14.01,15.28,16.49,
1716508200000,14.12,15.16,17.87,
1716508800000,13.59,15.07,14.58,
1716509400000,13.37,16.99,14.48,
1716510000000,13.54,14.93,15.92,
1716510600000,13.63,15.67,16.14,
1716511200000,13.44,14.72,15.83,
1716511800000,13.99,14.86,17.86,
1716512400000,13.73,14.7,16.02,
1716512999000,13.47,17.59,15.18,
1716513000000,13.36,17.17,14.88,
1716513600000,13.48,16.83,16.24,
1716514200000,13.94,14.9,17.56,
1716514800000,13.81,15.32,16.56,
1716515400000,13.88,15,16.14,
1716516000000,13.52,14.71,15.69,
1716516600000,13.36,14.68,14.37,
1716517200000,13.63,14.62,16.13,
1716517800000,13.64,14.78,17.2,
1716518399000,13.71,14.33,15.83,
1716518400000,13.76,14.25,15.89,
1716519000000,13.85,17.76,14.87,
1716519599000,14.75,18.45,16.37,
1716519600000,14.68,18.59,16.4,
1716520200000,14.89,15.37,16.02,
1716520800000,14.67,16.39,16.37,
1716521400000,14.68,15.45,17.63,
1716522000000,16.98,16.53,16.55,
1716522600000,17.44,16.21,14.91,
1716523200000,14.38,14.84,14.65,
1716523628000,15.08,16.43,15.46,
1716523800000,17.63,16.87,18.13,
1716524400000,14.62,19.34,16.76,
1716525000000,14.11,18.87,15.63,
1716525600000,15.42,19.23,17.4,
1716526077000,14.7,18.21,15.61,
1716526200000,18.37,18.38,17.17,
1716526800000,15.69,19.34,17.16,
1716527400000,15.9,19.39,18.99,
1716528000000,17.14,19.34,15.49,
1716528600000,15.58,19.88,17.04,
1716529200000,16.75,17.1,17,
1716529800000,17.28,19.13,17.43,
1716530400000,18.66,19.06,17.24,
1716531000000,20.7,18.46,15.54,
1716531600000,19.01,17.35,17.3,
1716532200000,19.1,17.77,15.91,
1716532800000,19.06,16.41,18.75,
1716533400000,18.99,16.18,17.19,
1716534000000,21.86,16.19,17.26,
1716534600000,18.48,16.3,16.73,
1716535200000,18.59,16.38,16.81,
1716535800000,17.39,16.6,18.48,
1716536400000,19.08,16.6,14.84,
1716537000000,19.06,16.44,16.57,
1716537600000,16.27,18.65,16.79,
1716537994000,18.98,16.93,16.73,
1716538200000,19.27,16.35,15.19,
1716538800000,18.74,16.99,18.6,
1716539400000,20.98,17.04,16.76,
1716540000000,21.11,16.38,16.19,
1716540600000,21.02,19.23,17,
1716541200000,19.4,19.49,17.57,
1716541800000,18.63,19.03,20.97,
1716542400000,21.49,18.83,17.62,
1716542810000,19.3,19.12,19.66,
1716543000000,19.58,18.57,18.19,
1716543600000,19.37,18.71,18.02,
1716544199000,17.78,19.77,16.1,
1716544800000,20.81,16.86,17.18,
1716545400000,19.21,19.3,15.64,
1716546000000,19.52,19.86,17.5,
1716546600000,18.62,20.95,15.63,
1716547200000,17.03,17.79,18.74,
1716547800000,16.98,16.3,18.76,
1716548400000,16.96,16.79,15.34,
1716549000000,16.58,16.85,16.7,
1716549600000,16.13,19.25,16.5,
1716551400000,14.96,17.03,17.79,
1716552000000,14.66,16.83,17.81,
1716552600000,15.69,17,16.14,
1716553200000,15.47,15.51,15.71,
1716553800000,14.61,16.34,15.94,
1716554400000,15.29,16.04,14.14,
1716555000000,12.06,11.31,12.76,
1716555600000,15.09,16.06,17.83,
1716556200000,14.51,15.07,17.59,
1716556800000,15.24,14.35,17.59,
1716557400000,15.04,14.39,17.41,
1716558000000,14.87,14.6,17.58,
1716558599000,15.02,15.06,16.28,
1716559200000,14.58,14.66,16.13,
1716559800000,14.66,14.57,16.02,
1716560400000,15.17,14.07,17.49,
1716561000000,14.91,14.82,17.32,
1716561600000,14.41,14.39,16.02,
1716562200000,14.69,14.11,17.54,
1716562800000,14.3,14.04,15.89,
1716563400000,14.19,14.39,15.88,
1716564000000,14.11,14.21,17.18,
1716564600000,14.27,14.05,17.62,
1716565200000,13.79,13.75,15.63,
1716565800000,14.13,14.2,17.13,
1716566399000,14.1,14.3,17.01,
1716567000000,13.93,13.85,15.79,
1716567600000,13.89,14.43,16.74,
1716568200000,14.09,14.5,16.9,
1716568800000,14.15,14.18,15.62,
1716569400000,14.26,14.27,15.53,
1716570000000,14.46,15.1,17.59,
1716570600000,13.7,14.5,17,
1716571200000,14.3,14.83,15.75,
1716571800000,14.65,14.51,17.26,
1716572400000,14.62,14.03,17.05,
1716573000000,14.54,14.49,16.23,
1716573600000,14.64,15,16.01,
1716574200000,15.12,14.56,17.85,
1716574795000,14.85,15.24,16.26,
1716574799000,14.96,15.19,16.27,
1716575400000,14.75,14.88,16.06,
1716576000000,14.96,14.69,17.8,
1716576600000,14.79,14.62,16.03,
1716577079000,14.9,14.54,17.55,
1716577200000,14.71,14.38,17.37,
1716577800000,14.89,15.02,17.63,
1716578400000,14.73,14.37,16.01,
1716578999000,14,14.93,15.73,
1716579000000,14.05,14.89,15.6,
1716579600000,14.53,14.28,17.12,
1716580200000,14.53,14.66,16.25,
1716580800000,14.26,14.26,17.29,
1716581399000,14.71,14.47,17.51,
1716581400000,14.71,14.47,17.52,
1716582000000,14.2,14.9,16.11,
1716582600000,13.97,14.37,17.38,
1716583200000,14.21,14.37,17.47,
1716583800000,14.64,15.16,16.26,
1716584400000,14.58,14.9,17.46,
1716585000000,14.56,14.15,17.45,
1716585600000,14.62,15.07,16.24,
1716586200000,14.57,14.5,17.67,
1716586800000,14.37,15.12,16.1,
1716587399000,14.32,14.75,17.32,
1716587400000,14.62,15.03,17.71,
1716588000000,13.58,14.55,15.98,
1716588600000,14.25,14.66,17.49,
1716589200000,14.37,14.31,17.69,
1716589800000,14.03,13.68,16.95,
1716590400000,14.11,14.84,16.07,
1716591000000,14.43,15.13,17.72,
1716591600000,14.1,14.76,15.71,
1716592200000,13.31,14.27,17.12,
1716592800000,13.7,14.89,17.66,
1716593400000,13.62,14.58,16.08,
1716594000000,13.95,15.37,17.74,
1716594600000,13.44,15.05,15.79,
1716595200000,13.48,14.16,16.98,
1716595800000,13.53,14.16,15.83,
1716596400000,13.1,14.29,16.69,
1716597000000,13.17,13.84,16.84,
1716597600000,13.39,14.01,15.36,
1716598200000,13.61,14.46,17.04,
1716598800000,13.3,13.98,16.85,
1716599400000,13.05,13.72,15.28,
1716600000000,13.07,14.39,15.35,
1716600600000,13.4,14.5,15.73,
1716601199000,13.23,13.75,17,
1716601200000,13.25,13.82,16.97,
1716601800000,13.38,14.36,17.14,
1716602400000,12.99,13.76,15.3,
1716603000000,13.4,14.16,16.96,
1716603600000,13.63,14.5,17.26,
1716604200000,13.05,13.71,15.22,
1716604800000,13.28,13.83,15.56,
1716605400000,13.53,13.73,16.87,
1716606000000,13.49,14,15.68,
1716606600000,13.83,16.56,16.19,
1716607200000,14.25,14.74,17.19,
1716607800000,13.82,14.75,17.03,
1716608400000,13.98,16.83,15.83,
1716608998000,13.98,16.8,17.1,
1716609000000,14.04,16.81,17.11,
1716609600000,13.94,17.57,14.44,
1716610200000,13.88,17.94,15.68,
1716610800000,14.28,15.94,16.29,
1716611400000,14.22,15.51,17.47,
1716612000000,15.34,15.44,17.68,
1716612599000,15.38,17.36,14.61,
1716612600000,14.9,17.65,14.53,
1716613199000,16.07,17.63,15.99,
1716613800000,16.49,17.35,14.38,
1716614400000,16.32,18.27,14.5,
1716615000000,16.71,16.15,18.15,
1716615600000,16.34,15.57,14.75,
1716616200000,16.88,16.42,16.45,
1716616800000,16.38,16.68,16.28,
1716617400000,17.35,18.58,15.13,
1716618000000,18.45,15.97,18.34,
1716618600000,18.37,16.56,16.75,
1716619200000,17.47,16.82,16.77,
1716619800000,17.06,20.15,15.08,
1716620400000,17.98,18.25,16.41,
1716620967000,18.04,18.11,17.94,
1716621000000,17.98,15.77,17.85,
1716621600000,17.06,17.47,14.89,
1716622200000,17.14,17.69,16.3,
1716622799000,16.54,18.33,16.53,
1716622800000,16.68,18.44,16.74,
1716623400000,16.21,15.04,16.19,
1716624000000,16.17,15.17,17.93,
1716624600000,15.52,15.2,15.92,
1716625200000,15.09,14.75,15.31,
1716625800000,15.38,17.02,15.77,
1716626400000,18.34,19.58,17.71,
1716627000000,18.66,17.35,19.56,
1716627599000,18.23,16.78,19.2,
1716628200000,18.59,19.93,16.5,
1716628800000,18.54,20.21,18.19,
1716629400000,16.21,18.36,14.26,
1716630000000,16.24,15.86,14.37,
1716630600000,16.28,17.94,16.27,
1716631200000,16.33,17.99,17.92,
1716631800000,16,15.37,14.33,
1716632400000,15.79,15.19,15.68,
1716633000000,15.6,15.1,15.36,
1716633600000,16.3,17.35,17.43,
1716634200000,16.07,18.11,17.25,
1716634800000,16.2,15.37,15.75,
1716635400000,16.16,17.97,15.86,
1716636000000,15.77,17.48,15.67,
1716636600000,16.05,15.35,15.48,
1716637200000,16.12,15.25,17.11,
1716637800000,16.16,15.4,15.81,
1716638400000,16.3,17.44,16.09,
1716639000000,16.28,17.86,16.09,
1716639600000,15.09,15.24,14.49,
1716640200000,14.8,15.16,15.73,
1716640800000,15.15,15.16,17.34,
1716641268000,14.73,14.77,17.23,
1716641400000,14.69,15.11,14.03,
1716642000000,14.83,17.85,15.97,
1716642600000,14.62,17.98,14.4,
1716643200000,15.9,18.18,16.17,
1716643800000,16.15,18.45,18.08,
1716644400000,12.52,12.53,13.76,
1716645000000,15.01,15.78,18.15,
1716645600000,16.36,16.37,17.76,
1716646200000,15.77,14.92,17.52,
1716646800000,15.98,15.66,17.85,
1716647400000,15.39,14.65,17.27,
1716648000000,15.65,15.46,16.44,
1716648600000,15.7,14.61,17.55,
1716649200000,15.7,15.72,16.43,
1716649800000,15.72,15.38,17.8,
1716650400000,14.14,14.72,17.51,
1716651000000,13.65,14.4,15.9,
1716651600000,14.11,14.4,17.64,
1716652199000,14.08,14.68,17.52,
1716652200000,14.16,14.57,17.43,
1716652800000,14.83,14.61,17.52,
1716653400000,14.64,15.34,16.1,
1716653863000,14.86,14.61,17.63,
1716654000000,14.53,15.12,17.29,
1716654600000,14.69,14.66,16.04,
1716655200000,14.82,14.56,17.63,
1716655800000,15.61,15.27,16.09,
1716656400000,16.06,15.45,16.52,
1716657000000,15.94,15.62,16.44,
1716657600000,15.74,15.28,17.41,
1716658180000,16.14,15.72,16.72,
1716658200000,16,15.59,16.52,
1716658800000,15.89,15.64,17.81,
1716659373000,16.5,15.34,18.28,
1716659400000,16.58,16.13,18.44,
1716660000000,16.66,16.19,17.29,
1716660600000,17.03,16.46,19.05,
1716661200000,15.89,15.32,18.46,
1716661800000,15.77,15.59,18.98,
1716662400000,15.79,15.76,18.91,
1716662999000,15.84,16.03,18.73,
1716663600000,15.57,16.11,18.86,
1716664200000,15.35,14.79,18.33,
1716664800000,15.32,15.19,18.45,
1716665400000,14.69,15.15,18.5,
1716666000000,15.37,15.13,18.21,
1716666600000,15.06,15.62,18.62,
1716667200000,14.46,14.96,17.89,
1716667800000,14.24,14.75,16.76,
1716668400000,14,15.25,18.45,
1716669000000,14.51,15.47,18.54,
1716669600000,14.49,14.81,16.77,
1716670200000,14.54,15.22,17.14,
1716670800000,14.41,15.41,18.48,
1716671400000,14.53,14.88,17.83,
