intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed May 08 2024|  TO Wed May 15 2024
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1715106600000,15.78,19.1,17.28,
1715107200000,14.46,17.93,14.06,
1715107800000,14.7,18.16,14.07,
1715108400000,14.38,18.48,15.23,
1715109000000,14.4,18.4,15.39,
1715109600000,14.72,18.77,17.22,
1715110200000,14.46,15.58,15.32,
1715110800000,14.34,19.26,15.39,
1715111400000,13.98,18.96,13.62,
1715112000000,13.03,17.96,14.87,
1715112600000,13.17,18,15.13,
1715113200000,13.11,14.97,14.94,
1715113800000,12.97,16.89,16.43,
1715114400000,12.98,18.53,13.32,
1715115000000,12.94,17.83,13.64,
1715115600000,13.06,17.56,13.41,
1715116200000,12.66,17.72,14.67,
1715116800000,12.74,17.42,15.04,
1715117400000,12.65,16.87,13.17,
1715118000000,13.23,15.49,13.58,
1715118600000,13.15,15.3,14.82,
1715119200000,12.99,15.31,13.34,
1715119800000,13.17,15.23,15.09,
1715120400000,13.61,14.78,16.88,
1715121000000,12.96,14.44,15.04,
1715121600000,12.88,16.43,14.94,
1715122200000,12.94,17.03,13.32,
1715122800000,13.02,17.32,14.82,
1715123400000,12.94,15.34,13.22,
1715124000000,13.33,14.66,15.09,
1715124600000,13.08,14.23,16.25,
1715125200000,12.58,16.11,14.49,
1715125800000,12.86,17.61,13.5,
1715126400000,12.64,17.32,13.16,
1715127000000,14.84,19.29,16.7,
1715127600000,14.7,16.26,16.39,
1715128199000,14.61,18.24,16.53,
1715128800000,14.74,16.23,16.28,
1715129400000,14.59,16.08,16.41,
1715130000000,12.18,16.08,14.48,
1715130600000,12.17,13.72,14.18,
1715131200000,12.16,16.16,14.47,
1715131800000,12.06,13.86,14.3,
1715132400000,12.16,13.99,15.74,
1715133000000,12.01,13.93,14.5,
1715133600000,12.21,13.92,14.26,
1715134200000,12.04,13.96,14.39,
1715134800000,12.5,14.32,14.8,
1715135400000,12.05,14.06,14.21,
1715136000000,12.38,13.8,15.57,
1715136600000,12.37,13.95,15.67,
1715137200000,12.44,14.13,14.31,
1715137800000,12.47,14.05,14.76,
1715138400000,13.19,16.1,15.1,
1715139000000,12.53,15.79,14.78,
1715139600000,13.82,15.93,13.4,
1715140200000,12.73,16.14,14.73,
1715140800000,12.87,15.97,13.33,
1715141400000,16.08,16.54,15.41,
1715142000000,15.77,15.86,15.13,
1715142600000,12.89,16.13,13.77,
1715143200000,13.1,15.99,15.36,
1715143800000,13.55,16.51,13.72,
1715144400000,14.4,18.4,14.93,
1715145000000,14.94,17.73,18.71,
1715145600000,17.73,17.41,17.77,
1715146200000,14.73,17.02,15.86,
1715146800000,15.1,17.32,14.24,
1715147400000,15.1,17.51,13.49,
1715148000000,16.15,17.97,17.25,
1715148600000,15.7,17.72,15.28,
1715149200000,18.75,18.31,16.92,
1715149800000,15.87,18.63,13.69,
1715150400000,17.39,16.49,15.43,
1715151000000,17.22,16.74,15.95,
1715151600000,16.98,16.93,14.3,
1715152200000,15.03,16.11,15.57,
1715152800000,15.73,16.81,14.39,
1715153400000,15.25,16.78,15.75,
1715154000000,15.37,16.94,17.57,
1715154600000,15.35,16.1,15.41,
1715155200000,15.41,16.49,14.38,
1715155800000,16.32,15.93,13.7,
1715156400000,17.65,16.04,15.58,
