intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Tue Nov 14 2023|  TO Tue Nov 21 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1699900200000,10.37,12.82,12.43,
1699900800000,10.45,12.87,12.36,
1699901400000,10.84,13,12.24,
1699902000000,10.27,13.27,12.22,
1699902600000,10.33,13.12,13.37,
1699903200000,10.51,13.31,10.77,
1699903800000,9.93,12.87,12.15,
1699904400000,10.6,12.39,12.01,
1699905000000,10.69,12.86,12.11,
1699905600000,10.45,10.48,12.03,
1699906200000,10.21,10.64,13.17,
1699906800000,10.59,10.63,11.97,
1699907400000,10.12,10.79,11.89,
1699908000000,10.17,10.74,12.02,
1699908600000,10.26,10.4,12.1,
1699909200000,10.6,12.2,13,
1699909800000,9.99,12.43,11.85,
1699910400000,10.12,10.23,11.96,
1699911000000,10.76,10.46,11.9,
1699911600000,9.94,12.3,11.9,
1699912200000,9.65,12.85,10.51,
1699912800000,10.49,12.09,13.18,
1699913400000,9.84,12.05,10.45,
1699914000000,9.68,12.65,10.46,
1699914600000,10.22,10.31,11.91,
1699915200000,10.46,10.65,11.61,
1699915800000,9.99,10.77,11.56,
1699916400000,9.97,12.38,10.61,
1699917000000,9.87,10.32,10.36,
1699917600000,10.51,12.52,12,
1699918200000,10.11,12.64,12.02,
1699918800000,9.92,12.48,13.08,
1699919400000,9.84,11.89,13.04,
1699920000000,10.41,12.26,11.91,
1699920600000,10.52,12.12,11.91,
1699921200000,10.04,9.82,11.75,
1699921800000,10.03,10.73,11.94,
1699922400000,10.05,10.65,12.95,
1699923000000,10,12.28,11.95,
1699923600000,9.93,12.44,11.7,
1699924200000,10.5,12.03,11.56,
1699924800000,9.89,12.6,10.18,
1699925400000,10.25,12.55,12.87,
1699926000000,9.89,12.46,11.34,
1699926600000,9.95,11.82,10.04,
1699927200000,9.97,12.15,11.55,
1699927800000,10.95,10.35,11.58,
1699928400000,9.92,12.63,10.19,
1699929000000,10.28,12.71,12.72,
1699929600000,10.1,12.07,11.57,
1699930200000,10.08,12.26,11.63,
1699930800000,10.35,10.02,11.15,
1699931400000,13.21,12.51,10.35,
1699932000000,9.89,12.84,11.66,
1699932600000,9.95,12.93,12.69,
1699933200000,11.13,13.29,11.83,
1699933800000,10.09,13.52,11.87,
1699934400000,10.15,13.43,11.8,
1699935000000,13.08,13.77,11.68,
1699935600000,10.53,10.95,11.5,
1699936200000,10.7,10.73,11.46,
1699936800000,10.77,10.32,11.86,
