intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed Nov 22 2023|  TO Wed Nov 29 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1700591400000,10.14,12.83,11.7,
1700592000000,12.16,14.47,12.35,
1700592600000,12.68,14.82,13.66,
1700593200000,12,14.62,13.66,
1700593800000,12.4,14.11,13.66,
1700594400000,9.91,12.9,10.07,
1700595000000,10.54,11.84,11.57,
1700595600000,10.39,11.68,11.64,
1700596200000,9.98,10.31,11.34,
1700596800000,10.26,11.49,11.63,
1700597400000,10.41,12.39,10.19,
1700598000000,9.89,12.07,11.58,
1700598600000,10.28,11.63,11.58,
1700599200000,10.09,12.2,11.82,
1700599800000,10.64,9.71,9.84,
1700600400000,10.51,9.99,11.35,
1700601000000,10.07,12.1,11.72,
1700601600000,10.46,9.75,11.48,
1700602200000,10.11,12.38,10.17,
1700602800000,9.93,11.61,11.45,
1700603400000,10.63,11.95,11.54,
1700604000000,10.72,12.26,10.37,
1700604600000,10.19,11.37,10.12,
1700605200000,10.18,12.21,11.65,
1700605800000,10.38,12.2,11.78,
1700606400000,10.24,11.71,11.71,
1700607000000,10.35,12.07,11.64,
1700607600000,10.53,11.73,11.63,
1700608200000,10.27,12.33,11.57,
1700608800000,10.06,11.99,11.65,
1700609400000,10.16,11.7,11.66,
1700610000000,10.55,12.01,11.55,
1700610600000,10.03,11.37,11.2,
1700611200000,10.05,12.05,11.4,
1700611800000,10.13,12.13,10.05,
1700612400000,10.55,11.63,11.13,
1700613000000,9.94,11.96,11.1,
1700613600000,9.97,11.68,11.19,
1700614200000,10.38,11.7,9.97,
1700614800000,10.01,9.9,11.18,
1700615400000,9.99,9.59,11.28,
1700616000000,9.9,10.08,11.19,
1700616600000,9.7,11.8,10.99,
1700617200000,9.87,11.44,11.15,
1700617800000,9.87,12.16,9.9,
1700618400000,9.89,9.55,10.98,
1700619000000,9.77,11.95,11.11,
1700619600000,10.34,11.88,11,
1700620200000,10.05,9.61,11.17,
1700620800000,10.04,10.03,10.97,
1700621400000,10.2,9.84,11.2,
1700622000000,13.41,12.54,11.13,
1700622600000,12.98,11.9,11.19,
1700623200000,10.47,12.39,10.29,
1700623800000,10.09,12.68,11.34,
1700624400000,9.96,12.07,11.11,
1700625000000,13.73,12.39,11.1,
1700625600000,10.45,12.55,11.53,
1700626200000,10.45,12.06,10.17,
1700626800000,14.57,13.03,11.43,
1700627400000,11.29,12.94,11.31,
1700628000000,14.58,10.67,11.25,
1700628600000,11.98,13.67,10.29,
1700629200000,11.88,13.29,11.44,
1700629800000,11.97,12.89,10.16,
1700630400000,12.08,13,11.57,
1700631000000,14.74,13.17,11.59,
1700631600000,12.22,11.21,11.47,
1700632200000,12.02,10.99,11.4,
1700632800000,12.11,13.39,11.88,
1700633400000,12.18,13.58,12.14,
1700634000000,11.94,13.71,10.28,
1700634600000,14.99,14,11.81,
1700635200000,12.78,14.2,11.98,
1700635800000,12.35,12.68,12.18,
1700636400000,12.16,15.6,11.9,
1700637000000,12.09,14.95,11.73,
1700637600000,11.76,15.1,13.64,
1700638200000,11.91,12.91,12.21,
1700638800000,11.8,13.24,13.52,
1700639400000,11.57,14.98,12.09,
1700640000000,12.75,15.16,12.05,
1700640600000,12.95,14.46,10.44,
1700641200000,13.89,15.1,11.89,
1700641800000,14.19,14.9,12.27,
1700642400000,14.08,14.86,11.93,
1700643000000,13.5,14.82,10.5,
1700643600000,16.39,17.17,14.13,
1700644200000,17.64,17.43,14.2,
1700644800000,15.52,17.38,15.56,
1700645400000,15.8,17.3,15.75,
1700646000000,15.81,14.31,14.03,
1700646600000,16.34,13.18,10.37,
1700647200000,13.47,15.44,12.14,
1700647800000,13.24,15.08,12,
1700648400000,13.41,14.82,11.87,
1700649000000,13.49,14.32,13.64,
1700649600000,13.48,14.32,13.88,
1700650200000,13.02,12.28,10.58,
1700650800000,12.64,12.79,12.13,
1700651400000,14.42,13.03,12.06,
1700652000000,12.09,14.32,13.23,
1700652600000,12.64,13.69,13.39,
1700653200000,12.67,13.73,13.27,
1700653800000,12.17,13.24,13.36,
1700654400000,12.64,11.5,13.36,
1700655000000,11.86,12.25,11.77,
1700655600000,12.12,11.98,11.78,
1700656200000,12.61,12.27,11.74,
1700656800000,13.85,12.32,14.99,
1700657400000,13.22,11.9,13.43,
1700658000000,12.98,13.22,13.3,
1700658600000,13.76,13.24,13.58,
1700659200000,13.7,12.87,13.55,
1700659800000,12.86,12.98,11.7,
1700660400000,12.49,12.82,12.07,
1700661000000,11.15,12.53,11.93,
1700661600000,11.51,12.86,12.03,
1700662200000,11.1,10.4,11.78,
1700662800000,10.78,12.59,13.25,
1700663400000,11.15,12.73,13,
1700664000000,11.05,12.54,13.87,
1700664600000,11.03,12.68,13.69,
1700665200000,9.6,12.61,12.15,
1700665800000,9.75,12.1,13.58,
1700666400000,10.22,12.82,13.51,
1700667000000,9.52,12.6,13.36,
1700667600000,10.52,12.15,13.36,
1700668200000,10.6,12.7,11.89,
1700668800000,11.43,12.32,13.28,
