intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu Nov 30 2023|  TO Thu Dec 07 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1701282600000,10.97,12.67,12.46,
1701283200000,11.48,12.89,14.05,
1701283800000,11.24,13.24,10.85,
1701284400000,10.97,13.07,13.84,
1701285000000,11.23,13.25,12.17,
1701285600000,11.52,12.79,14.04,
1701286200000,10.74,13.5,12.11,
1701286800000,11.06,13.14,13.66,
1701287400000,11.25,10.54,11.91,
1701288000000,10.24,13.03,12.35,
1701288600000,11.05,11.11,10.5,
1701289200000,11.19,12.69,13.85,
1701289800000,11.34,10.33,13.82,
1701290400000,10.78,12.83,11.99,
1701291000000,11.1,11.26,10.5,
1701291600000,10.57,12.79,13.85,
1701292200000,10.97,10.39,10.48,
1701292800000,11.02,12.5,12.23,
1701293400000,10.96,11.23,11.82,
1701294000000,10.73,12.72,13.52,
1701294600000,10.77,13,10.78,
1701295200000,10.4,10.15,11.87,
1701295800000,10.59,12.24,11.9,
1701296400000,10.58,12.69,10.49,
1701297000000,10.14,12.75,12.22,
1701297600000,10.73,12.24,12,
1701298200000,10.37,10.26,11.88,
1701298800000,10.73,13.23,13.66,
1701299400000,10.83,10.64,11.93,
1701300000000,10.87,10.25,11.68,
1701300600000,11.06,12.25,13.79,
1701301200000,10.96,10.91,13.5,
1701301800000,10.81,12.56,12.08,
1701302400000,10.93,10.86,11.9,
1701303000000,10.14,12.54,10.42,
1701303600000,10.63,10.77,11.96,
1701304200000,10.43,10.41,11.96,
1701304800000,10.86,12.31,13.52,
1701305400000,10.52,10.6,11.53,
1701306000000,10.99,10.23,11.69,
1701306600000,10.81,12.25,13.4,
1701307200000,10.15,11.66,12.02,
1701307800000,10.83,12.36,10.45,
1701308400000,11.09,10.75,11.68,
1701309000000,11.05,12.12,13.33,
1701309600000,10.78,10.47,10.09,
1701310200000,10.35,11.59,11.71,
1701310800000,12.94,12.53,13.6,
1701311400000,13.18,14.01,15.36,
1701312000000,13.1,13.85,13.81,
1701312600000,13.01,12.28,12.08,
1701313200000,11.17,12.54,11.37,
1701313800000,11.06,12.67,13.21,
1701314400000,11.14,12.51,11.6,
1701315000000,10.55,10.35,11.71,
1701315600000,10.99,13.56,11.49,
1701316200000,13.33,13.09,13.18,
1701316800000,11.14,10.99,11.74,
1701317400000,11.13,11.59,11.76,
1701318000000,11.85,13.41,11.81,
1701318600000,14.27,11.01,13.46,
1701319200000,15.68,13.01,13.28,
1701319800000,12.14,11.61,11.93,
1701320400000,11.23,14.37,12.04,
1701321000000,12.05,11.3,13.77,
1701321600000,11.86,11.8,12.03,
1701322200000,11.98,13.83,13.86,
1701322800000,11.98,11.97,12.03,
1701323400000,14.46,12.12,13.98,
1701324000000,12.01,14.31,12.21,
1701324600000,11.11,12.33,14.07,
1701325200000,11.71,13.57,12.5,
1701325800000,12,12.72,12.49,
1701326400000,11.6,14.42,14.29,
1701327000000,11.83,12.16,14.11,
1701327600000,13.68,14.39,12.2,
