intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Mon Nov 06 2023|  TO Mon Nov 13 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1699209000000,11.32,11.8,11.22,
1699209600000,10.75,12.11,11.35,
1699210200000,11.46,11.91,12.4,
1699210800000,11.47,9.68,11.01,
1699211400000,10.75,11.6,11.01,
1699212000000,11.34,11.41,11.06,
1699212600000,10.51,11.39,10.81,
1699213200000,11.29,9.47,10.69,
1699213800000,10.43,11.44,10.5,
1699214400000,10.86,11.82,10.78,
1699215000000,11,11.4,10.86,
1699215600000,10.55,10.94,10.76,
1699216200000,11.03,11.86,10.75,
1699216800000,11.54,11.59,10.86,
1699217400000,10.62,11.18,11.94,
1699218000000,10.92,11.28,9.26,
1699218600000,11.28,11.19,10.6,
1699219200000,10.53,10.29,10.79,
1699219800000,10.93,11.06,10.87,
1699220400000,11.43,10.98,11.95,
1699221000000,10.15,8.93,11.72,
1699221600000,10.92,11.29,10.78,
1699222200000,11.42,8.58,10.27,
1699222800000,10.18,9.37,10.68,
1699223400000,10.68,11.12,10.46,
1699224000000,13.4,10.5,13.53,
1699224600000,12.29,13.38,12.63,
1699225200000,12.98,13.24,12.51,
1699225800000,12.63,10.72,12.57,
1699226400000,11.76,13.09,11.23,
1699227000000,10.65,10.93,10.36,
1699227600000,10.34,8.48,11.4,
1699228200000,10.06,11.1,10.48,
1699228800000,10.99,8.62,10.31,
1699229400000,11.13,11.37,10.37,
1699230000000,10.44,8.86,10.44,
1699230600000,10.67,10.63,11.51,
1699231200000,10.07,10.91,10.45,
1699231800000,9.81,10.96,8.95,
1699232400000,10.63,7.97,10.09,
1699233000000,10.02,10.59,10.2,
1699233600000,10.73,8.37,10.11,
1699234200000,10.69,10.62,11.2,
1699234800000,10.09,8.84,8.69,
1699235400000,10.61,10.42,10.29,
1699236000000,10.18,8.77,10.37,
1699236600000,10.48,10.57,10.24,
1699237200000,11.04,9.33,10.26,
1699237800000,10.08,10.68,11.24,
1699238400000,10.45,10.53,10.09,
1699239000000,10,9.38,10.04,
1699239600000,13.31,10.99,10.28,
1699240200000,10.38,10.95,10.19,
1699240800000,11.18,8.62,10.18,
1699241400000,11.37,12.02,11.64,
1699242000000,10.83,9.55,10.18,
1699242600000,11.18,10.14,10.28,
1699243200000,12.04,12.04,10.39,
1699243800000,15.04,10.01,10.8,
1699244400000,12.79,9.8,10.82,
1699245000000,13.79,12.84,11.92,
1699245600000,15.22,10.65,10.43,
1699246200000,13.1,11.85,10.66,
1699246800000,15.41,12.51,10.89,
1699247400000,12.51,10.88,10.74,
1699248000000,11.06,11.63,11.92,
1699248600000,12.38,13.37,12.74,
1699249200000,12.83,13.78,12.11,
1699249800000,11.63,11.61,11.66,
1699250400000,12.02,13.72,13.66,
1699251000000,13.12,14.18,11.92,
1699251600000,13.16,12.9,11.89,
1699252200000,13.38,14.22,13.1,
1699252800000,13.2,13.34,11.89,
1699253400000,13.13,14.57,12.02,
1699254000000,16.44,15.35,11.99,
1699254600000,16.73,17.72,12.05,
1699255200000,14.09,13.19,12.07,
1699255800000,13.84,14.39,13.15,
1699256400000,13.71,14.57,11.86,
1699257000000,12.84,16.11,11.85,
1699257600000,15.39,11.68,11.37,
1699258200000,14.1,15.94,11.98,
1699258800000,13.06,13.21,11.72,
1699259400000,14.12,17.07,12.99,
1699260000000,14.05,13.39,11.49,
1699260600000,13.31,17.41,10.23,
1699261200000,13.53,14.16,11.66,
1699261800000,15.15,17.39,13.69,
1699262400000,17.65,16.44,13.78,
1699263000000,15.8,18.16,15.08,
1699263600000,15.29,14.52,13.7,
1699264200000,14.22,18.71,14.01,
1699264800000,13.07,12.57,11.75,
1699265400000,16.12,17.26,10.76,
1699266000000,13.22,12.23,11.74,
1699266600000,12.88,17.06,12.99,
1699267200000,13.06,14.4,13.93,
1699267800000,13.22,14.15,11.86,
1699268400000,12.77,14.14,11.84,
1699269000000,12.55,16.12,11.82,
1699269600000,15.78,11.58,11.57,
1699270200000,12,15.81,12.16,
1699270800000,11.83,12.95,12.72,
1699271400000,11.77,14.04,11.58,
1699272000000,11.65,13.29,10.14,
1699272600000,10.97,14.12,11.57,
1699273200000,11.55,12.94,11.68,
1699273800000,11.23,12.99,12.49,
1699274400000,11.21,13.12,12.68,
1699275000000,11.2,12.78,11.52,
1699275600000,11.15,10.4,11.41,
1699276200000,10.96,15.23,11.78,
1699276800000,11.15,12.65,11.57,
1699277400000,11.05,13,12.66,
1699278000000,11.26,11.08,12.72,
1699278600000,11.15,12.86,11.73,
1699279200000,11.2,11.75,10.27,
1699279800000,11.03,13.14,11.48,
1699280400000,11.19,12.8,11.57,
1699281000000,11.05,11.21,12.34,
1699281600000,11.08,12.91,10.28,
1699282200000,10.73,9.28,11.24,
