intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Fri Oct 13 2023|  TO Fri Oct 20 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1697135400000,12.1,13.74,10.5,
1697136000000,12.27,13.05,10.4,
1697136600000,12.19,11.69,10.28,
1697137200000,12.18,13.37,10.2,
1697137800000,12.06,11.43,10.03,
1697138400000,12.03,12.89,11.26,
1697139000000,11.96,13.7,10.43,
1697139600000,11.94,11.1,10.07,
1697140200000,11.85,11.61,10.1,
1697140800000,12.09,13.55,10.14,
1697141400000,11.92,12.86,11.31,
1697142000000,12.1,10.89,10.26,
1697142600000,11.65,12.54,10.32,
1697143200000,10.94,11.09,10.2,
1697143800000,10.96,10.43,10.12,
1697144400000,10.81,12.67,10.26,
1697145000000,10.98,12.54,11.37,
1697145600000,11.11,10.4,10.21,
1697146200000,10.65,12.42,10.27,
1697146800000,11.06,10.54,10.07,
1697147400000,11.05,10.44,10.05,
1697148000000,10.93,11.89,10.09,
1697148600000,11.1,10.41,11.08,
1697149200000,10.97,12.7,10.23,
1697149800000,10.97,12.83,10.16,
1697150400000,11.01,10.78,10.01,
1697151000000,10.99,12.91,10.24,
1697151600000,11.04,12.26,11.23,
1697152200000,11.03,11.08,11.33,
1697152800000,11.16,10.55,10.18,
1697153400000,11.06,10.52,10.25,
1697154000000,10.83,12.48,10.23,
1697154600000,10.79,12.55,10.23,
1697155200000,10.01,12.4,11.25,
1697155800000,9.56,12.22,10.09,
1697156400000,10.4,12.73,10.05,
1697157000000,10.77,10.35,9.83,
1697157600000,10.63,12.44,9.99,
1697158200000,11.41,11.87,9.98,
1697158800000,11.69,10.53,10.77,
1697159400000,11.54,12.04,10.03,
1697160000000,11.55,11.91,9.92,
1697160600000,11.68,9.7,9.68,
1697161200000,11.57,12.3,9.93,
1697161800000,11.62,12.06,10.93,
1697162400000,11.79,10.07,10.82,
1697163000000,11.71,10.42,9.82,
1697163600000,11.83,12.22,9.85,
1697164200000,11.89,9.97,9.69,
1697164800000,11.97,12.15,9.86,
1697165400000,12.15,12.09,10.82,
1697166000000,15.09,10.23,10.75,
1697166600000,11.44,12.77,9.85,
1697167200000,14.09,13.31,9.73,
1697167800000,12.39,11.31,11.42,
1697168400000,12.26,13.34,11.66,
