intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sat Oct 21 2023|  TO Sat Oct 28 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1697826600000,9.41,12.58,11.04,
1697827200000,9.35,12.46,10.75,
1697827800000,9.26,12.24,11.73,
1697828400000,9.13,10.45,9.26,
1697829000000,9.09,10.21,10.79,
1697829600000,9.04,12.05,12.08,
1697830200000,8.93,12.43,10.48,
1697830800000,9.2,9.99,11.42,
1697831400000,8.97,11.99,11.78,
1697832000000,9.06,10.08,11.99,
1697832600000,9.17,9.73,11.81,
1697833200000,8.74,12.14,10.41,
1697833800000,8.99,9.98,12.09,
1697834400000,9.38,11.68,13.14,
1697835000000,8.95,12.19,9.13,
1697835600000,8.93,9.48,10.02,
1697836200000,8.78,11.68,10.32,
1697836800000,8.92,8.7,11.55,
1697837400000,8.78,11.01,9.98,
1697838000000,8.69,10.75,11.12,
1697838600000,8.56,10.95,8.62,
1697839200000,8.74,10.7,11.75,
1697839800000,8.98,8.9,11.78,
1697840400000,9.15,11.71,10.48,
1697841000000,9.66,12.02,10.22,
1697841600000,9.79,9.01,12.8,
1697842200000,9.68,11.81,10.51,
1697842800000,9.74,11.9,10.17,
1697843400000,9.98,9.68,9.73,
1697844000000,9.3,11.53,11.87,
1697844600000,9.35,8.82,11.72,
1697845199000,9.25,9.59,9.72,
1697845800000,8.89,11.4,10.23,
1697846400000,9.05,9.21,10.32,
1697847000000,9.04,9.59,11.84,
1697847600000,8.94,10.8,10.2,
1697848200000,8.98,9.74,11.16,
1697848800000,9.04,9.39,11.02,
1697849400000,8.58,10.97,11.62,
1697850000000,8.44,8.34,9.64,
1697850600000,8.71,10.67,11.26,
1697851200000,8.63,8.89,11.52,
1697851800000,8.44,10.79,12.58,
1697852400000,8.23,10.71,8.63,
1697853000000,8.56,8.83,9.92,
1697853600000,8.53,8.58,11.48,
1697854200000,8.4,10.59,10.17,
1697854800000,8.53,8.89,8.4,
1697855400000,8.32,11,11.06,
1697856000000,8.77,8.72,11.47,
1697856600000,8.65,10.94,11.63,
1697857200000,8.75,8.62,9.69,
1697857800000,8.8,11.75,10.01,
1697858400000,9.11,9.89,11.66,
1697859000000,9.16,10.32,13.04,
1697859600000,9.03,12.46,10.34,
1697860200000,8.88,10.35,8.76,
1697860800000,9.06,11.35,12.05,
1697861400000,9.14,10.08,11.82,
1697862000000,9.49,10.29,11.77,
1697862600000,9.22,10.53,12.93,
1697863200000,12.06,8.61,11.75,
1697863800000,10.15,11,11.9,
1697864399000,10.34,9.25,10.05,
1697865000000,10.87,10.88,8.51,
1697865600000,12.89,9.08,11.69,
1697866200000,10.01,9,13.08,
1697866800000,9.76,11.27,10.12,
1697867400000,10.08,8.93,10.38,
1697868000000,12.78,11.27,9.05,
1697868600000,10.2,9.28,12.11,
1697869200000,10.43,11.13,10.93,
1697869800000,10.42,9.47,11.64,
1697870400000,10.8,11.49,12.21,
1697871000000,13.59,9.51,10.71,
1697871600000,10.47,11.52,12.26,
1697872200000,12.62,11.62,11.1,
1697872800000,12.11,13.81,12.62,
1697873400000,15.71,11.48,15.21,
1697874000000,13,12.94,12.14,
1697874600000,15.81,13.62,12.4,
1697875200000,10.98,9.17,10.41,
1697875800000,10.61,11.28,10.86,
1697876400000,11.01,9.09,12.06,
1697877000000,10.57,11.47,8.56,
1697877600000,10.8,9.46,11.1,
1697878200000,10.94,11.23,11.9,
1697878800000,11.17,9.07,13.77,
1697879400000,11.15,11.48,10.29,
1697880000000,11.26,10.21,10.09,
1697880600000,11.48,11.42,10.18,
1697881200000,11.65,9.63,9.66,
1697881800000,11.54,12.21,10.28,
1697882400000,11.52,12.29,10.25,
1697883000000,11.16,12.14,8.91,
1697883600000,11.74,11.3,10.25,
1697884200000,11.71,10.03,10.29,
1697884800000,11.27,11.43,11.37,
1697885400000,11.11,11.89,10.45,
1697886000000,11.16,9.75,8.73,
1697886600000,9.81,11.65,10.43,
1697887199000,9.76,11.42,8.95,
1697887800000,9.9,9.79,11.78,
1697888400000,9.81,12.01,10.15,
1697889000000,9.83,10.15,9,
1697889600000,9.79,11.89,11.91,
1697890200000,9.48,11.77,8.84,
1697890800000,9.24,9.41,10.13,
1697891399000,8.92,11.76,11.69,
1697892000000,9.32,9.63,11.24,
1697892600000,9.31,11.51,10.41,
1697893200000,9.09,11.4,8.79,
1697893800000,9.05,9.26,8.77,
1697894400000,9.3,11.22,10.33,
1697895000000,9.17,11.32,8.74,
1697895600000,9.73,8.93,11.22,
1697896200000,8.96,10.98,8.78,
1697896800000,9.23,11.44,10.07,
1697897400000,9.36,8.63,8.46,
1697898000000,9.22,10.95,10.2,
1697898600000,9.15,11.53,8.79,
1697899200000,9.4,9.06,11.36,
1697899800000,9.38,9.36,10.16,
1697900400000,9.39,11.56,8.77,
1697901000000,9.23,9.26,9.88,
1697901600000,10.12,9.34,8.47,
1697902200000,9.82,11.34,8.62,
1697902800000,10.04,11.8,11.35,
1697903400000,10.24,9.45,10.15,
1697904000000,9.1,9.47,8.6,
1697904600000,9.01,12.66,10.29,
1697905200000,9.2,10.15,10.08,
1697905800000,9.06,11.1,10.39,
1697906400000,9.24,11.91,10.04,
1697907000000,9.34,10.39,11.63,
1697907600000,9.12,10.25,8.72,
1697908200000,9.25,12.45,10.36,
1697908800000,9.24,10.49,11.41,
1697909400000,9.04,10.25,8.58,
1697910000000,9.17,12.31,11.15,
1697910600000,9.29,12.15,11.25,
1697911200000,9.11,10.8,8.57,
1697911800000,9.12,10.74,10.12,
1697912400000,9.04,12.49,8.71,
1697913000000,9.2,11.72,8.63,
1697913600000,9.42,9.76,11.43,
1697914200000,9.34,12.21,9.18,
1697914800000,9.31,9.67,10.29,
1697915400000,8.93,9.73,8.96,
1697916000000,8.94,12.04,11.92,
1697916600000,8.79,11.79,10.21,
1697917200000,8.91,11.76,11.37,
1697917800000,8.84,12.16,8.95,
1697918400000,8.77,11.14,8.95,
1697919000000,8.94,9.68,10.28,
1697919600000,8.89,8.74,8.68,
1697920200000,9,12.13,11.55,
1697920800000,8.95,12.12,10.63,
1697921400000,8.84,11.75,9.22,
1697922000000,8.72,11.67,11.91,
1697922600000,8.91,11.53,8.96,
1697923200000,8.96,11.72,10.54,
1697923800000,9.12,12.05,10.24,
1697924400000,8.91,9.4,8.98,
1697925000000,9.23,11.44,10.62,
1697925600000,8.82,11.39,9.14,
1697926200000,9.2,9.54,11.83,
1697926800000,9.08,9.68,9.99,
1697927400000,9.24,11.6,10.14,
1697928000000,9.2,9.73,10.14,
1697928600000,9.35,8.75,8.91,
1697929200000,8.96,11.52,8.82,
1697929800000,9.26,11.87,10.35,
1697930400000,9,11.12,9.67,
1697931000000,9.21,9.27,11.24,
1697931600000,9.06,11.53,10.13,
1697932200000,8.75,12.04,8.59,
1697932800000,9.13,9.08,11.46,
1697933400000,8.72,11.66,8.7,
1697934000000,9.04,9.46,9.72,
1697934600000,9.03,10.91,11.15,
1697935200000,8.74,11.11,8.65,
1697935800000,8.81,9.43,10.05,
1697936400000,8.56,10.95,10.08,
1697937000000,8.54,10.69,8.5,
1697937600000,8.81,9.03,11.08,
1697938200000,8.57,11.62,10.07,
1697938800000,8.69,8.62,8.35,
1697939400000,8.82,11.15,11.23,
1697940000000,8.63,11.03,10.04,
1697940600000,8.64,9.16,8.41,
1697941200000,8.62,10.69,10.98,
1697941800000,8.64,8.07,8.27,
1697942400000,8.7,9.22,9.83,
1697943000000,8.74,10.79,9.93,
1697943600000,8.59,9.02,8.45,
1697944200000,9.1,11.23,10,
1697944800000,9.06,8.76,9.63,
1697945400000,9.01,11.32,8.62,
1697946000000,9,11.01,10.02,
1697946600000,8.92,9.23,8.71,
1697947200000,9.26,10.33,9.93,
1697947800000,9.68,12.59,8.68,
1697948400000,11.19,10.33,9.85,
1697949000000,11.64,10.71,10.27,
1697949600000,11.04,12.88,10.28,
1697950200000,13.85,12.77,10.27,
1697950800000,11.25,10.9,8.97,
1697951400000,13.81,13.18,10.36,
1697952000000,10.11,9.66,11.31,
1697952600000,10.12,9.37,10.28,
1697953200000,12.38,12.13,10.32,
1697953800000,10.12,11.79,8.99,
1697954400000,10.04,11.76,10.41,
1697955000000,10.13,12.5,9.25,
1697955600000,10.25,12.43,11.64,
1697956199000,11.35,9.94,10.44,
1697956800000,11.35,10.27,8.83,
1697957400000,11.42,12.76,10.74,
1697958000000,13.26,14.03,10.85,
1697958600000,13.2,14.56,10.89,
1697959200000,13.2,12.35,13.35,
1697959800000,12.32,13.78,11.03,
1697960400000,12.43,11.97,12.31,
1697961000000,10.24,12.49,9.05,
1697961600000,10.76,9.77,10.23,
1697962200000,10.86,9.75,10.18,
1697962800000,11.01,12.25,9.87,
1697963400000,10.84,10.19,10.25,
1697964000000,10.16,11.86,9.51,
1697964600000,10.58,12.66,10.54,
1697965200000,10.29,10.21,10.41,
1697965800000,11.8,12.38,10.62,
1697966400000,12.05,13.08,11.73,
1697967000000,11.77,12.82,8.95,
1697967600000,10.11,12.22,10.52,
1697968200000,10.17,10.37,9.09,
1697968800000,10.25,12.79,10.61,
1697969400000,10.13,12.34,11.91,
1697970000000,9.9,14.73,10,
1697970600000,10.27,15.01,11.8,
1697971200000,10.11,13.04,10.5,
1697971800000,10.31,10.57,10.39,
1697972400000,10.08,14.3,9.19,
1697973000000,9.97,13.94,10.73,
1697973600000,10.22,11.42,10.12,
1697974200000,10.08,13.47,11.64,
1697974800000,10.15,11.16,8.81,
1697975400000,9.56,15.18,10.64,
1697976000000,9.57,11.27,10.45,
1697976600000,9.47,10.82,8.65,
1697977200000,9.49,15.21,11.6,
1697977800000,9.64,11.12,10.63,
1697978400000,9.77,9.79,10.55,
1697979000000,9.58,12.85,9.25,
1697979600000,9.66,15.17,10.88,
1697980200000,9.77,10.38,10.59,
1697980800000,9.78,12.12,11.69,
1697981400000,9.62,12.75,9.34,
