intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sun Oct 29 2023|  TO Sun Nov 05 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1698517800000,10.29,11.09,12.39,
1698518400000,9.15,11.29,11,
1698519000000,8.96,10.96,12.21,
1698519600000,10.14,11.65,13.5,
1698520200000,10.15,11.48,14.42,
1698520800000,9.22,11.21,9.64,
1698521400000,9.05,10.54,12.35,
1698522000000,8.92,10.67,12.22,
1698522600000,9.09,10.39,13.67,
1698523200000,9.23,10.52,11.95,
1698523800000,10.14,8.7,12.97,
1698524400000,10,11.92,11.03,
1698525000000,10.19,11.71,12.46,
1698525600000,9.99,10.96,10.82,
1698526200000,9.91,11.62,12.32,
1698526800000,10.37,8.64,14.66,
1698527400000,10.22,9.82,10.35,
1698528000000,9.23,11.52,12.25,
1698528600000,9.77,10.82,10.82,
1698529200000,9.85,10.36,13.56,
1698529800000,9.62,10.69,10.67,
1698530400000,9.87,10.83,12.88,
1698531000000,9.81,8.57,10.52,
1698531600000,9.7,10.81,11.98,
1698532200000,9.72,10.64,10.77,
1698532800000,9.72,11.16,13.72,
1698533400000,9.18,10.5,12.03,
1698534000000,9.08,9.92,12.84,
1698534600000,9.05,10.19,10.64,
1698535200000,9.04,10.51,10.5,
1698535800000,9.04,10.14,13.49,
1698536400000,9.2,7.91,10.7,
1698537000000,9.1,8.13,13.43,
1698537600000,8.64,8.13,11.43,
1698538200000,8.46,10.16,11.85,
1698538800000,8.44,9.97,8.86,
1698539400000,8.59,7.92,12.92,
1698540000000,8.67,7.3,11.52,
1698540600000,8.34,10.21,12.56,
1698541200000,8.13,9.76,9.98,
1698541800000,8.37,8.26,11.33,
1698542400000,8.29,9.65,11.27,
1698543000000,8.25,10.04,11.4,
1698543600000,8.46,7.36,11.24,
1698544200000,8.51,7.61,10.92,
1698544800000,8.28,10.04,9.83,
1698545400000,8.18,10.24,8.54,
1698546000000,8.3,9.93,11.2,
1698546600000,8.45,8.34,9.79,
1698547200000,8.49,8.27,11.14,
1698547800000,8.55,10.36,9.6,
1698548400000,9.4,10.6,13.52,
1698549000000,9.46,10.81,12.14,
1698549600000,9.58,9.09,13.48,
1698550200000,9.35,11.41,10.72,
