intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Thu Oct 05 2023|  TO Thu Oct 12 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1696444200000,9.07,12.13,9.96,
1696444800000,9.15,11.39,8.8,
1696445400000,9.3,11.57,8.72,
1696446000000,9.39,11.49,8.81,
1696446600000,9.31,11.23,8.69,
1696447200000,9.31,11.93,8.67,
1696447800000,9.25,11.43,9.7,
1696448399000,9.06,11.05,8.65,
1696449000000,9.02,10.67,8.49,
1696449600000,9.17,8.56,8.56,
1696450200000,9.14,8.53,8.44,
1696450800000,9.2,8.83,8.5,
1696451400000,9.12,8.78,9.72,
1696452000000,9.19,9.1,8.56,
1696452600000,9.15,9.19,8.48,
1696453200000,9.11,9.42,8.52,
1696453800000,9.22,9.14,8.55,
1696454400000,8.61,9.19,8.56,
1696455000000,9.04,8.26,9.54,
1696455600000,9.59,9.93,8.24,
1696456200000,9.79,9.72,8.34,
1696456800000,9.71,9.69,8.33,
1696457400000,9.1,12.27,8.55,
1696458000000,9.74,10.07,9.51,
1696458600000,8.99,9.5,9.42,
1696459200000,9.16,11.37,8.48,
1696459800000,8.44,12.2,8.47,
1696460400000,8.91,11.48,8.47,
1696460999000,9,11.55,8.38,
1696461600000,9.11,11.42,9.49,
1696462200000,8.57,11.2,9.79,
1696462800000,8.86,11.85,8.5,
1696463400000,9.03,11.83,8.48,
1696464000000,8.98,11.56,8.57,
1696464600000,8.48,9.7,8.42,
1696465200000,9.11,9.94,9.29,
1696465800000,8.93,9.13,8.14,
1696466400000,8.9,9.67,8.3,
1696467000000,8.16,9.34,8.15,
1696467600000,8.72,9.47,8.21,
1696468200000,8.77,9.88,8.1,
1696468800000,8.8,9.74,9.1,
1696469400000,8.7,9.02,8.14,
1696470000000,8.92,9.5,8.09,
1696470600000,8.89,9.82,8.01,
1696471200000,8.89,10.72,8.18,
1696471800000,8.72,11.66,8.2,
1696472400000,8.93,11.33,9.2,
1696473000000,9.01,11.94,8.16,
1696473600000,8.21,11.16,8.07,
1696474200000,8.76,11.75,8.06,
1696474800000,8.86,11.75,8.14,
1696475400000,9.02,11.74,8.19,
1696476000000,8.83,12.09,9.34,
1696476600000,8.14,12.84,8.29,
1696477200000,9.05,11.51,8.24,
1696477800000,9.16,11.11,8.25,
1696478400000,9.83,11.77,8.24,
1696479000000,9.92,11.07,8.37,
1696479600000,9.38,12.16,9.46,
1696480200000,10.13,11.57,8.65,
1696480800000,12.99,12.26,8.8,
1696481400000,10.58,9.82,8.63,
1696482000000,10.08,10.26,8.77,
1696482600000,13.36,10.55,9.01,
1696483200000,11.06,12.96,10.66,
1696483800000,10.67,10.48,9,
1696484400000,10.1,12.21,9.09,
1696485000000,12.74,12.64,11.13,
1696485600000,12.53,12.53,11.32,
1696486200000,12.61,14.5,11.09,
1696486800000,15.7,14.52,12.21,
1696487400000,10.59,13,9.08,
1696488000000,10.73,12.81,9.24,
1696488600000,10.72,12.82,9.31,
1696489200000,11.22,13.2,9.78,
1696489800000,11.04,12.53,9.59,
1696490400000,10.94,12.34,10.67,
1696491000000,10.72,14.71,9.55,
1696491600000,10.65,11.74,9.08,
1696492200000,10.6,11.89,8.92,
1696492800000,10.57,12.22,8.94,
1696493400000,10.67,11.87,8.92,
1696494000000,13.85,12.47,9.98,
1696494600000,11.97,9.89,8.62,
1696495200000,11.06,12.57,8.89,
1696495800000,11.04,13.32,8.85,
1696496400000,13.46,10.99,8.71,
1696497000000,13.54,11.22,8.89,
1696497600000,13.43,11.32,9.96,
1696498200000,12.68,13.37,8.79,
1696498800000,12.46,16.12,9.02,
1696499400000,12.64,15.43,9.31,
1696500000000,13.21,11.5,9.5,
1696500600000,11.81,10.87,9.07,
1696501200000,15.34,11.09,10.13,
1696501800000,12.76,13.65,9.25,
1696502400000,15.81,11.26,9.08,
1696503000000,13.08,11.26,9.11,
1696503600000,12.91,11.44,9.26,
1696504200000,12.99,14.09,9.4,
1696504800000,14.94,13.25,10.3,
1696505400000,12.38,11.22,9.19,
1696506000000,12.1,10.94,8.9,
1696506600000,10.9,10.06,8.79,
1696507200000,11.75,10.84,9.06,
1696507800000,11.76,10.22,9.07,
1696508400000,11.04,9.93,10,
1696509000000,11.04,10.32,8.82,
1696509600000,10.19,10.28,8.86,
1696510200000,10.55,9.98,8.88,
1696510800000,10.51,10.21,8.93,
1696511400000,9.69,9.88,8.87,
1696512000000,9.64,9.56,9.95,
1696512600000,9.84,10.04,9.09,
1696513200000,9.82,9.65,8.96,
1696513800000,11.78,11.94,10.89,
1696514400000,11.47,11.62,10.76,
1696515000000,11.87,11.59,10.92,
1696515600000,11.63,14.08,12.26,
1696516200000,9.7,11.72,9.18,
1696516800000,9.51,11.69,9.12,
1696517400000,9.58,11.82,9.06,
1696518000000,9.26,11.39,8.91,
1696518600000,9.51,9.87,8.83,
1696519200000,9.5,9.29,9.83,
1696519800000,9.64,9.13,8.93,
1696520400000,10.21,9.34,8.91,
1696521000000,10.31,9.53,9.13,
1696521600000,10.55,9.11,9.04,
1696522200000,10.62,9.67,8.99,
1696522800000,10.88,12.03,10.27,
1696523400000,10.72,11.53,9.03,
1696523999000,10.7,12.44,9.19,
1696524600000,9.57,10.03,8.91,
1696525200000,9.69,11.61,9.03,
1696525800000,12.44,9.48,8.91,
1696526400000,9.41,9.93,9.94,
1696527000000,12.31,11.72,9.04,
1696527600000,9.58,11.33,8.98,
1696528200000,9.98,11.69,9.03,
1696528800000,10.21,12.2,9.14,
1696529400000,10.77,10.26,9.11,
1696530000000,10.72,9.65,9.91,
1696530600000,10.4,10.8,9.29,
1696531200000,10.57,12.27,9.2,
1696531800000,9.86,9.89,9.13,
1696532400000,10.56,12.13,9.35,
1696533000000,10.63,12.42,10.29,
1696533600000,9.83,10.46,9.19,
1696534200000,10.51,11.91,9.21,
1696534800000,9.93,10.31,9.11,
1696535400000,12.9,10.43,8.96,
1696536000000,10.47,8.91,8.82,
1696536600000,9.97,9.08,10,
1696537200000,13.25,9,8.68,
1696537800000,9.97,9.52,8.76,
1696538400000,9.56,8.74,8.62,
1696539000000,13.16,9.26,8.67,
1696539600000,9.83,9.26,8.7,
1696540200000,12.44,9,9.76,
1696540800000,10.16,9.72,8.65,
1696541400000,9.04,9.78,8.75,
1696542000000,9.97,9.87,8.7,
1696542600000,10.09,8.37,8.61,
1696543200000,9.28,11.58,9.88,
1696543800000,9.95,11.41,9.84,
1696544400000,9.85,11.76,8.82,
1696545000000,9.35,11.67,8.73,
1696545600000,10.13,9.18,8.68,
1696546200000,9.43,9.51,8.41,
1696546800000,10.09,9.1,9.48,
1696547400000,9.99,9.13,8.3,
1696548000000,9.41,8.99,8.47,
1696548600000,9.88,8.95,8.29,
1696549200000,9.89,9.21,8.21,
1696549800000,9.01,9.06,8.29,
1696550400000,9.73,10.71,9.12,
1696551000000,9.13,11.24,8.33,
1696551600000,9.64,10.79,8.3,
1696552200000,9.91,11.35,8.45,
1696552800000,9.1,11.06,8.23,
1696553400000,9.47,11.04,8.37,
1696554000000,9.61,8.87,9.05,
1696554600000,9.1,9.51,8.24,
1696555200000,9.76,10.86,8.32,
1696555800000,9.12,9.3,8.25,
1696556400000,9.9,8.63,8.16,
1696557000000,9.62,11.16,8.3,
1696557600000,9.19,8.72,9.28,
1696558200000,9.62,11.58,8.12,
1696558800000,9.59,11.47,8.12,
1696559400000,9.28,10.79,8.34,
1696560000000,10.05,8.91,8.08,
1696560600000,9.04,10.96,7.99,
