intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Mon Sep 11 2023|  TO Mon Sep 18 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1694370600000,9.41,9.28,8.82,
1694371200000,8.96,9.88,9.06,
1694371800000,9.09,11.59,9.93,
1694372400000,9.04,10.98,8.64,
1694373000000,9.18,9.47,8.8,
1694373600000,9.37,9.65,8.7,
1694374200000,9.36,9.34,8.7,
1694374800000,9.19,11.51,8.74,
1694375400000,9.45,11.57,9.87,
1694376000000,9.46,9.2,8.67,
1694376600000,9.39,9.22,8.73,
1694377189000,9.23,9.47,8.66,
1694377200000,9.3,9.56,8.76,
1694377800000,9.23,11.11,8.76,
1694378400000,9.22,10.95,8.88,
1694379000000,9.4,9.43,9.7,
1694379600000,9.4,9.42,8.51,
1694380200000,9.35,9.02,8.62,
1694380800000,8.96,11.45,8.99,
1694381400000,9.17,11.53,8.75,
1694382000000,9.26,9.04,9.81,
1694382600000,9.3,9.5,8.5,
1694383200000,9.21,9.1,8.57,
1694383800000,9.25,9.98,8.62,
1694384400000,8.59,10.67,8.71,
1694385000000,9.17,9.25,8.55,
1694385599000,9.22,8.76,9.61,
1694385600000,9.22,8.77,9.75,
1694386200000,9.26,8.43,8.45,
1694386800000,9.08,9.3,8.53,
1694387400000,9.31,9.18,8.65,
1694387910000,8.64,10.9,8.88,
1694387999000,8.56,10.68,8.72,
1694388600000,9.17,10.64,9.71,
1694389200000,9.33,11.04,9.67,
1694389800000,9.1,8.7,8.51,
1694390400000,9.11,8.76,8.44,
1694391000000,8.68,8.35,8.61,
1694391598000,9.11,8.95,8.52,
1694391600000,9.1,8.98,8.54,
1694392200000,9.11,10.9,9.69,
1694392648000,9.11,8.97,9.58,
1694392800000,8.75,10.53,8.71,
1694393400000,8.82,11.08,8.45,
1694393717000,8.32,10.36,8.42,
1694394000000,8.7,10.67,8.69,
1694394600000,8.89,8.39,8.55,
1694395200000,8.76,8.48,8.38,
1694395800000,8.89,8.22,9.45,
1694396400000,8.65,10.01,8.53,
1694397000000,8.11,10.56,8.46,
1694397600000,8.58,10.65,8.51,
1694398200000,8.87,8.99,8.35,
1694398800000,8.78,8.66,8.24,
1694399400000,8.88,11.07,9.52,
1694400000000,8.29,10.77,8.4,
1694400600000,8.68,8.92,8.47,
1694401200000,9.02,9.58,8.68,
1694401800000,8.74,9.46,8.62,
1694402400000,8.62,11.54,8.88,
1694403000000,9.13,11.45,9.94,
1694403600000,9.51,11.72,8.82,
1694404200000,9.13,11.83,9.04,
1694404800000,9.71,9.41,8.98,
1694405400000,13.08,12.14,9.27,
1694406000000,10.08,12.1,9.43,
1694406600000,10.42,9.75,10.33,
1694407200000,10.5,9.5,8.95,
1694407800000,11.02,12.7,9.54,
1694408400000,10.59,12.26,9.08,
1694409000000,10.37,11.57,9.07,
1694409600000,10.78,12.81,9.09,
1694410200000,11.07,10.96,9.93,
1694410800000,11.09,10.01,8.94,
1694411400000,11.35,10.18,8.79,
1694412000000,11.12,10.23,8.77,
1694412600000,11.45,10.3,8.76,
1694413200000,11.4,10.45,8.77,
1694413800000,11.75,10.73,10.09,
1694414400000,11.47,11.72,8.95,
1694415000000,11.05,11.64,9.16,
1694415600000,11.92,11.57,9.11,
1694416200000,11.42,13.85,9.14,
1694416799000,12.86,13.64,11.19,
1694417400000,13.65,14.98,12.39,
1694418000000,13.27,14.83,11.39,
1694418600000,13.01,14.62,11.04,
1694419200000,13.18,15.6,11.48,
1694419800000,10.82,10.62,9.26,
1694420400000,10.91,11.2,9.2,
1694421000000,11.08,11.91,10.44,
1694421599000,10.92,11.85,9.04,
1694422200000,9.41,13.02,9.09,
1694422800000,11.2,14.23,9.37,
1694423400000,11.37,14.06,9.34,
1694424000000,14.41,11.67,9.28,
1694424600000,12.12,12.02,10.59,
1694425200000,14.58,14.54,9.52,
1694425800000,11.75,13.64,9.57,
1694426400000,11.81,14.53,9.34,
1694427000000,12.16,12.19,9.58,
1694427600000,12.29,11.95,9.56,
1694428200000,12.09,13.32,10.59,
1694428800000,11.82,13.96,9.59,
1694429400000,12.01,11.93,9.6,
1694430000000,11.95,11.3,9.54,
1694430600000,14.42,13.48,9.43,
1694431200000,11.73,13.46,9.69,
1694431800000,11.28,13.15,10.59,
1694432400000,11.14,10.43,9.14,
1694433000000,11.18,10.56,9.16,
1694433600000,11.18,10.6,9.19,
1694434200000,11.18,10.29,9.05,
1694434800000,10.88,10.15,8.99,
1694435400000,11,10.56,10.46,
1694436000000,11.15,12.39,9.28,
1694436600000,10.94,12.47,9.33,
1694437200000,11.21,12.37,9.34,
1694437800000,11.24,12.27,9.37,
1694438400000,11.17,12.39,9.44,
1694439000000,11.05,12.18,10.21,
1694439600000,10.89,11.97,9.11,
1694440200000,10.85,9.8,9.19,
1694440800000,10.84,9.75,9.13,
1694441400000,10.86,9.95,9.22,
1694442000000,10.05,12.16,9.54,
1694442600000,9.83,11.74,10.17,
1694443200000,10.08,10.12,8.96,
1694443800000,10.05,9.94,9.04,
1694444400000,10.12,9.58,9.07,
1694445000000,9.54,12.18,9.01,
1694445600000,10.01,11.76,9.22,
1694446200000,10.02,12.08,10.18,
1694446800000,10.07,11.64,9.23,
1694447400000,10.15,10.14,9.07,
1694448000000,10.27,10.48,9.36,
1694448600000,10.19,12.68,9.71,
1694449200000,10.13,13.18,9.89,
1694449800000,9.7,12.2,10.63,
1694450400000,9.72,10.31,9.14,
1694451000000,9.73,11.99,9.38,
1694451600000,9.97,13.14,9.55,
1694452200000,9.8,10.99,9.04,
1694452800000,9.44,12.39,10.25,
1694453400000,9.67,12.21,9.35,
1694454000000,9.65,9.93,9.17,
1694454600000,9.79,12.4,9.11,
1694455200000,9.61,10.02,8.72,
1694455800000,9.65,10.19,9.04,
1694456400000,9.85,9.62,10.07,
1694457000000,9.68,10.34,9.26,
1694457600000,11.92,13.84,10.99,
1694458200000,11.51,14.04,11.19,
1694458800000,11.66,13.6,10.8,
1694459400000,11.58,11.98,11.07,
1694460000000,9.62,10.09,10,
1694460600000,9.88,9.41,8.7,
1694461200000,9.65,9.84,8.88,
1694461800000,9.57,11.52,8.86,
1694462400000,9.55,11.43,8.94,
1694463000000,9.44,11.61,9.82,
1694463600000,9.28,11.3,9.92,
1694464200000,9.32,11.31,8.96,
1694464800000,9.37,9.51,8.69,
1694465400000,9.52,8.87,8.56,
1694466000000,9.67,9.49,8.93,
1694466600000,9.83,9.16,9.76,
1694467200000,9.66,9.03,8.96,
1694467800000,9.67,9.46,8.88,
1694468400000,9.81,8.57,8.76,
1694468999000,9.49,8.96,8.72,
1694469000000,9.55,8.87,8.76,
1694469600000,9.52,9.53,8.74,
1694470200000,9.72,9.33,9.72,
1694470752000,9.55,10.89,8.99,
1694470800000,9.82,9.01,8.87,
1694471400000,9.72,9.58,8.83,
1694472000000,9.35,9.36,8.89,
1694472526000,9.34,10.88,9.01,
1694472600000,9.49,8.7,8.71,
1694473200000,9.47,9.14,9.83,
1694473755000,9.19,11.27,10.13,
1694473800000,9.32,11.08,9.88,
1694474400000,9.4,11.15,8.95,
1694475000000,9.3,11.42,8.88,
1694475590000,9.19,11.12,8.9,
1694475600000,9.23,11.02,8.83,
1694476200000,9.16,10.59,8.86,
1694476800000,9.35,10.86,9.77,
1694477400000,9.06,11.41,8.77,
1694478000000,9.19,10.7,8.8,
1694478600000,9.24,10.98,8.73,
1694479200000,9.3,11.16,8.61,
1694479800000,9.31,10.4,8.49,
1694480377000,9.41,10.53,9.67,
1694480400000,9.17,10.57,9.8,
1694481000000,9.12,11.15,8.65,
1694481600000,8.9,10.47,8.6,
1694482200000,9.11,10.84,8.55,
1694482800000,9.12,11,8.52,
1694483400000,8.98,11.39,9.55,
1694484000000,9.07,10.74,9.57,
1694484599000,9.07,9.11,8.5,
1694484600000,9.09,9.11,8.58,
1694485200000,9.18,9.5,8.58,
1694485800000,9.17,8.87,8.52,
1694486400000,9.2,9.29,8.4,
1694487000000,9.19,9.31,9.61,
1694487600000,12.07,9.17,8.37,
1694488200000,9.2,9.4,8.43,
1694488800000,9.66,9.64,8.6,
1694489400000,9.25,8.91,8.66,
1694490000000,10.84,8.88,8.36,
1694490600000,9.87,9.64,9.5,
1694491200000,10.22,9.32,8.52,
1694491799000,9.89,11.28,8.71,
1694491800000,10.45,11.2,8.72,
1694492383000,13.63,12.04,9.01,
1694492400000,10.53,11.87,8.99,
1694493000000,10.43,12.84,9.82,
1694493600000,11.23,12.64,9.25,
1694494200000,11.47,10.53,10.18,
1694494800000,11.58,10.61,9.31,
1694495400000,11.66,10.77,9.31,
1694495994000,14.9,11.61,10.01,
1694496000000,15.14,11.48,10.06,
1694496600000,11.7,12.83,9.44,
1694497200000,11.7,13.06,9.4,
1694497795000,11.88,12.79,10.35,
1694497800000,11.82,13.24,10.35,
1694498400000,11.44,10.86,9.31,
1694498999000,12.04,11.2,9.52,
1694499000000,11.96,11.23,9.51,
1694499581000,12.25,13.65,9.89,
1694499600000,11.87,13.25,9.33,
1694500200000,12.09,13.24,9.56,
1694500800000,11.91,12.89,9.38,
1694501400000,13.1,10.92,9.19,
1694502000000,15.94,10.91,10.41,
1694502600000,12.71,10.95,9.37,
1694503200000,14.18,13.08,9.58,
1694503768000,12.61,12.1,9.4,
1694503800000,12.77,12.19,9.39,
1694504400000,11.62,12.6,9.24,
1694505000000,12.11,12.22,9.39,
1694505600000,15.02,10.31,10.09,
1694506200000,11.72,12.64,9.22,
1694506800000,11.96,12.61,9.19,
1694507400000,12.61,13.51,9.57,
1694507999000,13.92,11.21,9.13,
1694508599000,12.3,10.79,9.11,
1694508600000,12.27,10.76,9.03,
1694509194000,12.33,13.37,10.4,
1694509200000,12.39,13.49,10.36,
1694509799000,17.18,15.74,11.48,
1694509800000,17.25,15.65,11.39,
1694510239000,14.56,14.94,11.25,
1694510400000,14.64,13.51,11.32,
1694511000000,14.91,13.85,11.32,
1694511600000,14.7,13.91,11.42,
1694512199000,14.06,15.64,11.53,
1694512800000,14.3,15.5,12.37,
1694513400000,12.33,14.29,9.3,
1694514000000,15.42,12.14,9.11,
1694514600000,12.71,11.71,9.37,
1694515200000,12.26,11.57,9.39,
1694515800000,12.12,13.29,9.36,
1694516400000,12.06,13.39,10.44,
1694517000000,12.01,13.05,9.16,
1694517387000,11.85,13.14,9.53,
1694517600000,14.64,11,9.14,
1694518200000,11.19,10.72,9.39,
1694518799000,10.48,10.4,9.1,
1694518800000,10.53,10.39,9.2,
1694519400000,10.18,12.08,10.44,
1694520000000,10.1,12.26,11.74,
1694520600000,10.25,11.96,11.66,
1694521200000,10.21,12.42,10.57,
1694521800000,10.67,10.15,9.65,
1694522400000,10.37,10.39,9.32,
1694523000000,10.5,9.89,9.32,
1694523600000,10.63,10.55,10.55,
1694524200000,10.62,11.22,11.83,
1694524800000,10.35,11.63,10.61,
1694525400000,10.35,12.09,9.52,
1694526000000,10.84,10.73,9.3,
1694526600000,10.65,10.49,9.38,
1694527200000,10.67,10.15,9.36,
1694527800000,10.96,10.6,11.68,
1694528400000,10.81,10.39,10.74,
1694529000000,10.47,10.62,10.67,
1694529600000,10.33,10.07,9.46,
1694530199000,10.48,10.3,9.31,
1694530799000,10.49,10.75,10.6,
1694531400000,10.53,9.86,10.38,
1694532000000,10.43,10.1,10.43,
1694532600000,10.35,10.16,10.57,
1694533199000,10.38,10.33,10.56,
1694533200000,10.12,10.52,10.65,
1694533800000,10.16,10.33,9.37,
1694534399000,10.59,13.01,10.96,
1694534400000,10.52,13.01,10.81,
1694535000000,10.44,13.55,10.8,
1694535575000,10.27,10.27,9.45,
1694535600000,10.18,10.39,9.24,
1694536200000,10.46,10.62,10.74,
1694536800000,10.72,11.05,10.64,
1694537400000,10.66,11.39,10.52,
1694538000000,10.68,11.4,10.54,
1694538600000,10.48,11.46,9.72,
1694539200000,10.69,11.12,9.4,
1694539800000,10.68,13.18,9.77,
1694540400000,10.82,12.89,10.85,
1694541000000,10.89,11.49,10.9,
1694541579000,10.93,10.48,11.89,
1694541600000,10.51,10.33,12.11,
1694542200000,10.45,13.32,9.79,
1694542800000,10.57,11.2,9.72,
1694543400000,10.51,13.08,9.89,
1694544000000,10.68,11.71,11.12,
1694544600000,10.36,13.29,11.01,
1694545200000,10.04,10.47,11.67,
1694545800000,10.15,11.14,9.44,
1694546400000,10.11,12.42,9.56,
1694546808000,10.08,10.93,9.39,
1694547000000,10.09,12.76,9.87,
1694547599000,10.14,11.66,9.54,
1694547600000,10.14,12.13,9.56,
1694548200000,10.12,10.54,10.6,
1694548800000,10.5,11.06,11.95,
1694549400000,10.04,11,9.56,
1694550000000,9.9,12.4,9.54,
1694550600000,9.89,12.72,9.71,
1694551200000,9.92,12.71,9.71,
1694551800000,10.13,10.45,11.99,
1694552400000,10.8,9.34,11.6,
1694553000000,10.77,10.14,10.72,
1694553600000,10.88,11.59,9.5,
1694554200000,10.79,12.17,9.64,
1694554800000,10.03,11.92,9.48,
1694555400000,10.3,11.37,11.75,
1694556000000,10.26,11.38,10.7,
1694556600000,10.09,10.07,10.6,
1694557200000,9.95,9.62,9.17,
1694557800000,10.1,9.47,9.64,
1694558400000,10.14,10.02,9.54,
1694559000000,10.05,9.37,11.76,
1694559600000,10.2,9.53,10.58,
1694560200000,9.75,9.62,10.25,
1694560800000,10.06,9.31,9.3,
1694561400000,9.89,11.97,9.61,
1694562000000,10.05,11.88,10.37,
1694562599000,9.96,11.66,10.33,
1694562600000,9.88,11.59,10.38,
1694563200000,9.88,11.42,10.03,
1694563800000,9.72,11.95,10.29,
1694564400000,9.67,10.92,10.36,
1694565000000,9.75,11.29,9.13,
1694565552000,9.78,8.98,9.93,
1694565600000,9.93,8.49,9.95,
1694566200000,9.89,9.55,8.99,
1694566800000,9.97,8.63,9.87,
1694567400000,9.87,9.15,10.05,
1694567994000,9.79,9.55,10.31,
1694568000000,9.97,9.5,10.24,
1694568600000,9.97,8.91,9.11,
1694569200000,9.64,9.38,9.96,
1694569800000,9.53,11.23,9.05,
1694570400000,9.59,11.52,9.02,
1694571000000,11.66,13.42,12.16,
1694571600000,11.61,13.11,12.18,
1694572200000,11.85,10.92,12.13,
1694572799000,12.1,11.53,12.08,
1694573400000,11.79,11.81,11.16,
1694574000000,12.89,9.62,8.94,
1694574600000,10.17,9.52,9.23,
1694575200000,10.15,10.29,10.39,
1694575800000,12.98,11.9,10.34,
1694576400000,12.96,12.11,11.51,
1694577000000,10.41,12.43,9.38,
1694577600000,10.86,10.67,9.27,
1694578200000,11.28,10.21,9.46,
1694578800000,11.26,10.46,9.22,
1694579400000,11.66,12.39,10.52,
1694580000000,11.99,13.05,11.69,
1694580600000,11.66,12.65,10.56,
1694581200000,11.81,10.82,9.16,
1694581800000,16.05,13.08,11.36,
1694582398000,14.08,15.43,12.05,
1694582399000,14.03,15.37,11.86,
1694583000000,13.61,15.39,11.85,
1694583600000,13.57,13.27,13.66,
1694584200000,13.48,15.38,12.89,
1694584800000,13.88,15.76,12.9,
1694585400000,13.59,12.91,11.47,
1694585920000,11.57,11,9.4,
1694586000000,11.68,11.07,9.55,
1694586600000,11.64,11.6,9.54,
1694587200000,14.42,13.49,10.72,
1694587800000,11.73,13.09,9.92,
1694588400000,11.46,11.59,9.5,
1694588873000,12,11.26,9.9,
1694589000000,11.77,10.97,9.68,
1694589600000,11.39,13.48,9.57,
1694590199000,11.33,13.51,9.67,
1694590200000,11.1,13.43,9.5,
1694590799000,11.53,10.51,10.02,
1694591399000,14.26,13.05,10.53,
1694592000000,11.47,10.86,9.13,
1694592600000,11.41,13.52,9.46,
1694593200000,12.26,11.4,9.14,
1694593800000,12.48,13.63,9.43,
1694594400000,11.65,11.62,9.48,
1694595000000,11.43,11.47,10.25,
1694595600000,11.36,12.01,9.24,
1694596199000,11.38,11.66,9,
1694596200000,11.4,11.63,9.18,
1694596800000,11.48,12.05,9.21,
1694597399000,11.52,13.98,9.15,
1694597400000,11.46,13.91,9.11,
1694597972000,11.7,13.89,9.27,
1694598000000,11.59,14.04,9.16,
1694598600000,11.86,14.05,10.58,
1694599152000,11.69,12.05,9.54,
1694599200000,11.75,12.04,9.63,
1694599800000,13.1,11.67,9.22,
1694600400000,13.48,14.14,9.53,
1694600992000,13.45,13.84,9.46,
1694601000000,13.47,14.02,9.57,
1694601600000,15.14,13.4,11.4,
1694602200000,14.96,13.85,12.47,
1694602800000,16.51,13.8,11.6,
1694603400000,16.52,15.65,11.61,
1694604000000,14.72,13.99,9.56,
1694604600000,11.21,13.5,9.31,
1694605200000,11.29,13.29,9.26,
1694605799000,11.28,12.91,10.15,
1694605800000,11.46,12.85,10.24,
1694606400000,11.07,12.71,9.09,
1694607000000,11.22,12.24,9.04,
1694607417000,10.48,10,8.88,
1694607600000,10.58,12.24,9.08,
1694608200000,10.48,12.7,9.18,
1694608800000,10.78,10.9,9.25,
1694609400000,10.62,10.76,10.31,
1694610000000,10.63,10.94,9.21,
1694610417000,10.39,10.66,9.1,
1694610600000,10.61,10.94,9.39,
1694611200000,10.3,12.44,9.31,
1694611800000,10.52,12.08,9.13,
1694612400000,9.6,12.6,10.13,
1694612999000,10.7,10.28,10.05,
1694613576000,10.63,10.3,9.03,
1694613600000,10.82,10.32,9.18,
1694614200000,10.46,12.1,9.21,
1694614800000,10.49,12.17,9.17,
1694615400000,10.46,13.3,9.1,
1694616000000,10.55,13.32,10.41,
1694616600000,10.16,12.95,10.44,
1694617200000,9.81,11.6,9.3,
1694617800000,9.95,9.8,10.5,
1694618400000,10.11,9.55,10.48,
1694619000000,10.08,9.42,10.36,
1694619600000,10.2,9.61,11.63,
1694620200000,10.37,9.54,11.43,
1694620800000,10.08,9.1,10.37,
1694621399000,9.9,9.76,9.35,
1694621400000,9.98,9.76,9.45,
1694622000000,9.63,10.28,9.16,
1694622600000,9.9,10.14,9.24,
