intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Tue Sep 19 2023|  TO Tue Sep 26 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1695061800000,10.5,10.59,9.47,
1695062400000,10.14,9.94,9.25,
1695063000000,10.26,10,10.28,
1695063600000,10.3,9.73,9.13,
1695064102000,10.37,11.64,9.32,
1695064200000,10.51,10.27,9.45,
1695064800000,9.96,9.44,8.9,
1695065400000,9.86,9.84,9.11,
1695066000000,9.95,9.39,10.02,
1695066599000,9.9,9.93,9.9,
1695067200000,10.41,9.71,9.24,
1695067799000,10.09,12.25,9.35,
1695067800000,10.02,12.47,9.49,
1695068400000,10.05,11.77,9.52,
1695069000000,9.97,11.77,9.37,
1695069600000,9.99,10.06,10.23,
1695070200000,9.79,9.82,9.34,
1695070800000,9.62,10.05,9.42,
1695071400000,10.32,11.65,9.69,
1695072000000,9.63,12,9.25,
1695072600000,9.7,12.45,9.51,
1695073199000,9.88,9.71,10.32,
1695073200000,9.86,9.79,10.37,
1695073800000,9.98,10.16,9.38,
1695074400000,10.13,11.71,9.25,
1695075000000,9.63,12.16,9.55,
1695075600000,9.54,12.1,9.34,
1695076199000,9.73,9.19,10.08,
1695076200000,9.75,9.2,10.18,
1695076800000,9.91,10.06,9.23,
1695077400000,10.21,9.78,9.43,
1695078000000,9.62,11.87,9.2,
1695078600000,9.68,12.12,9.21,
1695079200000,9.62,12.04,9.37,
1695079725000,9.95,9.59,10.47,
1695079800000,9.85,9.88,10.29,
1695080400000,9.76,9.91,9.15,
1695080797000,9.57,10.18,8.86,
1695081000000,9.57,9.52,9.06,
1695081600000,9.6,11.69,9.04,
1695082200000,9.61,11.79,9.01,
1695082800000,10,9.65,10.3,
1695083400000,9.74,8.79,10.07,
1695083999000,9.41,8.92,8.55,
1695084000000,9.45,8.89,8.87,
1695084600000,9.43,8.96,8.99,
1695085200000,9.47,9.1,8.66,
1695085800000,9.29,8.55,8.66,
1695086400000,9.61,8.74,9.95,
1695087000000,9.48,8.81,8.74,
1695087599000,9.51,8.27,8.81,
1695088199000,9.5,9.47,8.81,
1695088200000,9.53,9.42,8.94,
1695088800000,9.35,8.61,8.83,
1695089399000,9.18,8.04,8.59,
1695089400000,9.27,8.2,8.59,
1695090000000,9.28,8.71,9.74,
1695090599000,9.03,9.3,8.65,
1695090600000,9.17,9.39,8.73,
1695091200000,9.16,8.62,8.43,
1695091800000,9.1,9.05,8.36,
1695092213000,9.14,10.83,8.57,
1695092400000,9.09,8.7,8.36,
1695093000000,9.31,8.93,8.47,
1695093600000,8.8,11.33,9.78,
1695094126000,9.58,10.73,8.63,
1695094200000,9.55,10.91,8.59,
1695094800000,9.66,10.98,8.64,
1695095145000,9.71,11.27,9.01,
1695095400000,9.73,11.43,8.98,
1695096000000,9.75,11.05,8.98,
1695096599000,9.89,9.12,8.91,
1695096600000,9.9,9.11,9.01,
1695097199000,10.15,10.13,10.08,
1695097200000,10.29,9.94,9.91,
1695097800000,10.03,9.54,8.78,
1695098400000,10.05,9.72,8.97,
1695099000000,10.34,9.73,8.87,
1695099594000,10.37,10.2,9.09,
1695099600000,10.2,9.76,8.97,
1695100200000,9.84,11.68,8.74,
1695100799000,10.62,11.97,10.28,
1695100800000,10.55,11.97,10.24,
1695101399000,10.34,10,9.07,
1695101400000,10.25,9.91,9.05,
1695102000000,10.21,10.22,8.84,
1695102397000,10.46,10.06,9.13,
1695102600000,10.42,12.2,9.28,
1695103200000,10.39,12.61,9.47,
1695103800000,12.14,12.23,10.82,
1695104321000,12.59,14.44,11.35,
1695104400000,12.61,14.23,12.24,
