intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Wed Sep 27 2023|  TO Wed Oct 04 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1695753000000,9.51,11.99,9.17,
1695753600000,9.58,9.18,9.88,
1695754200000,9.5,9.25,10.02,
1695754800000,9.39,11.52,9.21,
1695755400000,9.54,11.2,8.86,
1695756000000,9.54,11.77,8.98,
1695756600000,9.41,10.9,9,
1695757200000,9.6,11.25,10.14,
1695757800000,9.37,11.58,8.83,
1695758400000,9.32,10.99,8.88,
1695759000000,9.51,10.84,8.72,
1695759600000,9.45,11.2,9.14,
1695760200000,9.3,10.97,8.85,
1695760800000,9.6,11.46,10.15,
1695761400000,9.49,11.06,8.86,
1695762000000,9.42,11.39,9.03,
1695762600000,9.62,11.22,8.86,
1695763200000,9.57,10.4,8.88,
1695763800000,9.62,10.97,10.01,
1695764400000,10.54,11.43,8.96,
1695765000000,10.01,11.65,8.98,
1695765600000,9.98,11.76,8.97,
1695766200000,10.03,11.21,8.74,
1695766800000,9.47,11.69,8.72,
1695767400000,9.59,11.3,10.1,
1695768000000,9.56,10.92,9.05,
1695768600000,9.55,10.45,9.01,
1695769200000,9.31,10.98,8.83,
1695769800000,9.52,9.21,8.62,
1695770400000,9.3,9.48,8.79,
1695771000000,9.36,9.23,9.69,
1695771600000,9.75,9.31,8.65,
1695772200000,9.32,9.17,8.51,
1695772800000,9.24,9.02,8.57,
1695773400000,9.43,8.72,8.63,
1695774000000,9.45,8.97,9.56,
1695774600000,9.2,8.64,8.38,
1695775200000,9.33,9.68,8.68,
1695775800000,8.68,11.46,8.53,
1695776400000,9.07,11.2,8.53,
1695777000000,9.12,10.83,8.53,
1695777600000,8.76,10.95,9.39,
1695778200000,9.01,9.76,8.3,
1695778800000,8.83,10.41,8.23,
1695779400000,8.9,10.43,8.42,
1695780000000,8.98,10.62,8.48,
1695780600000,8.81,10.76,8.39,
1695781200000,9.08,11.38,9.76,
1695781800000,8.54,10.69,8.4,
1695782400000,8.89,10.8,8.33,
1695783000000,9,8.31,8.06,
1695783600000,8.98,8.45,8.23,
1695784200000,9.32,8.38,8.27,
1695784800000,12.23,9.3,9.21,
1695785400000,9.93,9.57,8.49,
1695786000000,12.49,8.95,8.56,
1695786600000,9.63,9.85,8.4,
1695787200000,11.12,10.18,8.32,
1695787800000,10.74,9.11,8.74,
1695788400000,10.88,10.14,9.72,
1695789000000,11,10.14,8.43,
1695789600000,12.7,9.87,8.85,
1695790200000,11.29,9.63,8.86,
1695790800000,11.04,9.86,8.78,
1695791400000,11.33,10.21,8.74,
1695792000000,11.08,10.31,9.92,
1695792600000,12.01,10.51,9.19,
1695793200000,11.45,10.45,9.02,
1695793800000,14.5,11.02,9,
1695794400000,12.17,10.38,9.21,
1695795000000,12.53,10.88,9.28,
1695795600000,15.32,11.26,10.62,
1695796200000,14.73,11.3,9.24,
1695796800000,12.01,12.84,9.41,
1695797400000,11.77,13.46,9.53,
1695798000000,13.58,14.89,11.74,
1695798600000,13.66,14.94,11.76,
1695799200000,13.42,15.27,12.64,
1695799800000,13.47,14.78,11.56,
1695800400000,11.35,13.53,9.44,
1695801000000,14.15,13.53,9.37,
1695801600000,11.36,12.47,9.31,
1695802199000,11.29,12.94,9.2,
1695802800000,11.06,12.63,9.21,
1695803400000,11.43,12.9,10.26,
1695804000000,11.52,10.66,9,
1695804600000,11.54,11.15,9.08,
1695805200000,12.02,10.95,8.92,
1695805800000,12.02,10.63,8.86,
1695806400000,12.14,10.93,9.01,
1695807000000,11.79,10.95,10.01,
1695807600000,11.7,12.66,8.93,
1695808200000,11.82,12.81,9.16,
1695808800000,11.57,14.18,9.18,
1695809400000,11.86,13.45,9.21,
1695810000000,12.43,12.29,9.54,
1695810600000,15.11,12.51,10.31,
1695811200000,13.07,12.73,10.23,
1695811800000,13.08,13.07,9.25,
1695812400000,13.31,13.34,9.45,
1695813000000,12.97,13.52,9.26,
1695813600000,13.09,10.84,9.35,
1695814200000,11.37,10.41,10.04,
1695814800000,11.52,10.55,10.09,
1695815400000,10.49,10.63,9.16,
1695816000000,10.43,10.37,9.07,
1695816600000,10.05,9.65,8.89,
1695817200000,10.18,9.86,9.01,
1695817800000,10.16,10.43,9.78,
1695818400000,10.52,10.64,8.96,
1695819000000,10.36,10.2,8.85,
1695819600000,10.34,10.69,9.06,
1695820200000,10.1,10.23,8.74,
1695820800000,10.11,10.53,8.96,
1695821400000,10.36,12.86,10.36,
1695822000000,10.11,12.64,9.06,
1695822600000,9.79,11.81,9.05,
1695823200000,10.38,11.22,9.22,
1695823800000,9.91,12.33,9.05,
1695824400000,9.93,11.52,8.89,
1695825000000,9.82,11.9,9.86,
1695825600000,9.9,10.83,8.87,
1695826200000,10.4,9.83,8.99,
1695826800000,10.14,9.58,9.16,
1695827400000,9.79,9.68,8.93,
1695827999000,9.82,9.39,8.72,
1695828600000,9.92,9.26,10.13,
1695829200000,9.87,9.87,8.77,
1695829800000,10.65,9.79,8.7,
1695830400000,10.89,10.91,8.88,
1695831000000,11.07,9.62,8.74,
1695831600000,13.25,12.71,11.24,
1695832199000,12.54,12.28,12.03,
1695832800000,12.25,12.94,10.94,
1695833400000,11.68,12.15,10.67,
1695834000000,9.79,10.34,8.63,
1695834600000,9.92,12.09,8.91,
1695835200000,9.64,11.68,8.89,
1695835800000,9.95,10.1,9.81,
1695836400000,9.85,10.18,8.77,
1695837000000,9.68,10.38,8.63,
1695837600000,9.69,11.92,8.94,
1695838200000,9.62,12,8.92,
1695838800000,9.57,12.39,9.62,
1695839400000,9.86,12.24,10.31,
1695840000000,9.65,12.16,8.83,
1695840600000,9.83,9.66,8.59,
1695841200000,9.32,9.2,8.59,
1695841800000,9.37,12.19,8.64,
1695842400000,9.44,11.68,9.54,
1695843000000,9.33,12.08,8.69,
1695843600000,9.33,11.89,8.48,
1695844200000,9.34,11.66,8.53,
1695844800000,9.53,10.24,8.51,
1695845399000,9.51,9.7,8.38,
1695846000000,9.49,10.16,9.45,
1695846600000,9.54,9.89,8.49,
1695847200000,9.37,10.14,8.43,
1695847800000,9.27,9.81,8.53,
1695848400000,9.06,11.56,8.58,
1695849000000,9.34,11.79,9.91,
1695849600000,9.23,11.8,9.65,
1695850200000,9.13,11.85,8.76,
1695850800000,9.17,8.9,8.38,
1695851400000,9.24,9.03,8.51,
1695852000000,9.34,9.39,8.31,
1695852600000,9.35,9.16,9.67,
1695853200000,8.98,8.78,8.46,
1695853800000,8.85,9.13,8.33,
1695854400000,8.97,9.19,8.39,
1695855000000,8.95,8.87,8.42,
1695855600000,8.92,11.25,8.47,
1695856200000,8.96,11.34,9.67,
1695856800000,8.82,11.07,8.6,
1695857400000,9.1,11.27,8.66,
1695858000000,9.09,11.33,8.62,
1695858600000,8.91,10.57,8.66,
1695859200000,9.1,10.78,9.52,
1695859800000,8.92,8.47,9.44,
1695860400000,8.99,8.49,8.38,
1695861000000,9,8.92,8.32,
1695861600000,8.94,8.24,8.24,
1695862200000,8.52,8.27,8.11,
1695862800000,8.69,8.9,8.96,
1695863400000,8.79,8.42,8.27,
1695863999000,8.67,8.1,8.13,
1695864600000,8.17,9.71,8.33,
1695865200000,8.55,8.47,8.13,
1695865800000,8.68,10.1,8.12,
1695866400000,8.7,10.67,9.29,
1695867000000,8.75,10.42,8.16,
1695867600000,8.92,8.64,7.88,
1695868200000,8.83,8.04,7.94,
1695868800000,8.84,8.45,8,
1695869400000,8.63,8.31,7.84,
1695870000000,8.57,8.08,8.94,
1695870600000,8.75,7.65,7.87,
1695871200000,8.66,8.3,7.87,
1695871800000,8.95,8.3,7.96,
1695872400000,9.14,8.15,7.88,
1695873000000,8.89,8.6,7.92,
1695873600000,8.89,8.49,8.95,
1695874200000,9.12,8.7,7.94,
1695874800000,9.12,8.07,7.97,
1695875400000,9.42,8.55,7.9,
1695876000000,9.14,8.67,8,
1695876600000,9.49,8.84,7.99,
1695877200000,9.31,8.47,8.66,
1695877800000,9.37,8.72,7.81,
1695878400000,7.61,10.72,7.91,
1695878999000,9.18,8.42,8.09,
1695879600000,9.68,8.9,8.15,
1695880200000,8.52,11.41,8.51,
1695880800000,11.8,11.95,11.46,
1695881400000,11.06,10.81,10.52,
1695882000000,11.79,11.16,10.01,
1695882600000,11.34,11.23,10,
