intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  CSA GROUND FLOOR
FROM   Sun Sep 03 2023|  TO Sun Sep 10 2023
REQUEST SUBMITTED ON   : Wed Jul 17 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1693679400000,10.53,9.41,9.23,
1693680000000,10.84,9.99,9.44,
1693680600000,10.64,11.47,9.55,
1693681200000,10.51,9.25,9.06,
1693681707000,10.86,9.83,10.4,
1693681800000,10.57,9.88,10.26,
1693682400000,10.65,9.96,9.34,
1693683000000,10.17,10.63,8.98,
1693683600000,10.47,9.47,9.14,
1693684199000,10.29,9.19,9.05,
1693684800000,10.2,11.12,10.3,
1693685400000,10.75,9.18,9.14,
1693686000000,10.43,9.15,9.22,
1693686600000,10.08,9.43,9.05,
1693687200000,10.03,11.47,9.24,
1693687800000,10.15,9.06,8.95,
1693688400000,10.29,8.62,9.99,
1693689000000,10.36,10.89,9.18,
1693689600000,10.32,9.46,8.99,
1693690200000,10.17,9.38,8.94,
1693690800000,10.61,9.11,9.24,
1693691400000,10.21,11.35,9.18,
1693692000000,10.38,8.4,9.97,
1693692600000,10.4,9.05,9.22,
1693693200000,10.17,11.39,9.28,
1693693800000,10.49,9.01,9.07,
1693694400000,10.56,9.42,9.25,
1693695000000,10.43,11.71,10.33,
1693695600000,10.53,9.09,9.1,
1693696199000,10.66,9.1,9.18,
1693696200000,10.67,9.02,9.22,
1693696800000,10.75,8.97,9.03,
1693697218000,10.56,8.99,9.13,
1693697400000,10.63,11.32,9.15,
1693698000000,10.76,9.5,9.28,
1693698599000,10.6,8.85,10.32,
1693698600000,10.54,8.8,10.29,
1693699200000,10.35,11.01,9.28,
1693699800000,10.42,8.76,9.36,
1693700400000,10.32,9.42,9.12,
1693700999000,10.36,11.52,9.34,
1693701000000,10.36,11.46,9.25,
1693701599000,10.4,8.9,10.11,
1693702200000,10.41,9.32,9.1,
1693702800000,10.43,11.28,9.13,
1693703400000,10.4,9.07,8.81,
1693704000000,10.61,8.89,8.81,
1693704599000,10.37,11.02,9.04,
1693704600000,10.55,11.02,9.11,
1693705200000,10.68,9.3,10.12,
1693705800000,10.37,9.43,8.86,
1693706399000,10.52,11.08,9.24,
1693707000000,10.5,8.96,8.96,
1693707600000,10.57,8.89,8.92,
1693708200000,10.47,11.34,9.08,
1693708800000,10.6,9.73,10.06,
1693709400000,10.54,9.4,8.95,
1693710000000,10.27,11.74,8.86,
1693710600000,10.51,9.37,8.86,
1693711000000,10.58,9.8,8.81,
1693711200000,10.65,9.04,8.79,
1693711800000,10.6,9.46,9.96,
1693712400000,10.7,11.67,10.06,
1693713000000,9.76,9.66,8.69,
1693713600000,9.63,9.46,8.91,
1693714200000,9.63,11.3,9.05,
1693714799000,9.75,9.54,8.7,
1693714800000,9.82,9.56,8.82,
1693715400000,9.74,9.27,9.93,
1693716000000,9.66,9.94,10.18,
1693716600000,9.56,11.44,8.79,
1693717199000,10.1,9.72,8.77,
1693717200000,9.92,9.81,8.51,
1693717800000,10,9.95,8.75,
1693718400000,9.71,11.99,8.77,
1693718999000,10.19,9.65,9.94,
1693719000000,10.18,9.71,9.85,
1693719600000,10.09,10.22,9.82,
1693720199000,9.84,11.88,8.7,
1693720200000,9.95,11.83,8.76,
1693720800000,12.25,12.06,10.73,
1693721400000,12.19,12.19,10.63,
1693722000000,12.36,13.95,11.22,
1693722600000,13.22,12.07,12.15,
1693723200000,12.69,12.38,12.15,
1693723800000,10.32,11.8,9.34,
1693724330000,9.96,12.33,9.41,
1693724400000,10.32,9.99,9.27,
1693725000000,10.13,10.56,9.5,
1693725599000,10.04,9.74,9.2,
1693725600000,10.27,9.83,9.28,
1693726200000,10.08,10.14,10.35,
1693726799000,10.05,9.35,10.2,
1693726800000,10.02,9.35,10.14,
1693727400000,10.14,9.57,9.35,
1693728000000,10.13,12.43,9.56,
1693728535000,10.27,11.93,9.2,
1693728600000,10.21,9.97,8.93,
1693729200000,10.06,10.35,9.11,
1693729800000,11.41,10.76,9.27,
1693730400000,12.05,12.39,10.7,
1693731000000,11.71,12.19,9.25,
1693731600000,11.8,10.9,9.37,
1693732200000,10.77,10.57,9.37,
1693732798000,10.47,10.79,9.25,
1693732800000,10.46,10.72,9.16,
1693733400000,10.4,11.96,9.16,
1693734000000,10.47,12.18,10.39,
1693734589000,10.05,12.81,9.63,
1693734600000,10.12,12.98,9.78,
1693735200000,10.53,10,9.36,
1693735743000,10.75,9.91,9.22,
1693735800000,10.57,9.89,9.17,
1693736400000,10.31,12.7,9.32,
1693737000000,10.58,10.06,10.38,
1693737600000,10.68,10.46,10.39,
1693738200000,10.66,12.07,9.37,
1693738800000,10.6,12.21,9.5,
1693739400000,10.8,10.47,9.37,
1693740000000,10.71,10.2,9.39,
1693740588000,10.7,10.3,10.47,
1693740600000,10.92,10.32,10.57,
1693741200000,10.44,12.66,9.44,
