intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Mon Jul 10 2023|  TO Fri Jul 14 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1688927400000,-4.4,-6.26,-4.16,
1688928000000,-4.42,-6.29,-4.87,
1688928600000,-5.56,-6.24,-4.29,
1688929200000,-4.44,-6.05,-4.58,
1688929800000,-4.39,-5.04,-4.38,
1688930400000,-4.49,-6.17,-4.48,
1688931000000,-4.43,-6.03,-4.3,
1688931600000,-5.52,-5.93,-4.7,
1688932200000,-4.2,-5.97,-4.07,
1688932800000,-4.39,-4.94,-4.4,
1688933400000,-5.47,-6.08,-4.2,
1688934000000,-4.33,-4.85,-4.38,
1688934600000,-4.36,-5.95,-4.1,
1688935200000,-4.44,-6.01,-4.26,
1688935800000,-4.37,-4.85,-4.2,
1688936400000,-4.31,-6.11,-4.28,
1688937000000,-4.3,-4.87,-4.26,
1688937600000,-4.33,-6,-4.07,
1688938200000,-4.31,-5.99,-4.3,
1688938800000,-4.23,-4.95,-4.21,
1688939400000,-4.27,-5.15,-4.29,
1688940000000,-5.38,-4.94,-3.97,
1688940600000,-5.42,-4.92,-4.45,
1688941200000,-4.25,-4.9,-4.24,
1688941800000,-5.52,-6.03,-4.28,
1688942400000,-5.42,-6.32,-3.96,
1688943000000,-4.39,-6.34,-4.29,
1688943600000,-4.38,-6.35,-4.53,
1688944200000,-4.29,-4.76,-4.12,
1688944800000,-4.26,-6.32,-4.58,
1688945400000,-5.39,-6.37,-4.41,
1688946000000,-5.36,-6.43,-4.46,
1688946600000,-4.36,-6.36,-4.05,
1688947200000,-4.37,-4.81,-4.34,
1688947800000,-4.34,-6.43,-4.11,
1688948400000,-4.38,-6.41,-4.57,
1688949000000,-4.36,-6.69,-4.14,
1688949600000,-5.22,-6.27,-4.06,
1688950200000,-5.23,-4.8,-4.3,
1688950800000,-5.31,-6.36,-4.26,
1688951400000,-4.12,-6.39,-4.2,
1688952000000,-4.11,-6.31,-4.03,
1688952600000,-3.9,-6.45,-4.51,
1688953200000,-4.98,-4.82,-4.02,
1688953800000,-3.76,-5.92,-3.96,
1688954400000,-4.9,-5.98,-4.96,
1688955000000,-4.97,-5.85,-4.38,
1688955600000,-3.73,-5.93,-4.49,
1688956200000,-3.82,-4.97,-4.1,
1688956800000,-3.8,-6.18,-4.39,
1688957400000,-4.88,-6.18,-4.11,
1688958000000,-3.79,-6.24,-4.44,
1688958600000,-4.85,-6.25,-3.86,
1688959200000,-3.77,-6.7,-4.23,
1688959800000,-3.68,-6.39,-4.04,
1688960400000,-3.83,-6.53,-4.19,
1688961000000,-3.8,-6.72,-4.68,
1688961600000,-3.94,-6.67,-4.37,
1688962200000,-5.2,-6.94,-10.5,
1688962800000,-3.84,-7.22,-8.67,
1688963400000,-5.27,-7.39,-9.1,
1688964000000,-5.26,-7.61,-8.96,
1688964600000,-4.12,-7.67,-7.42,
1688965200000,-4.47,-8.48,-5.83,
1688965800000,-4.79,-9.16,-7.2,
1688966400000,-4.87,-9.25,-7.65,
1688967000000,-5.11,-9.23,-7.57,
1688967600000,-5.18,-7.96,-10.33,
1688968200000,-5.39,-8.04,-11.02,
1688968800000,-6.44,-10.95,-6.94,
1688969400000,-6.53,-12.64,-10.17,
1688970000000,-6.46,-12.41,-6.98,
1688970600000,-5.17,-12.88,-12.23,
1688971200000,-6.25,-12.78,-9.56,
1688971800000,-5.26,-13.18,-9.57,
1688972400000,-5.24,-13.58,-9.16,
1688973000000,-5.37,-14.09,-7.57,
1688973600000,-6.45,-13.82,-6.76,
1688974200000,-6.48,-14.7,-7.67,
1688974800000,-6.47,-13.35,-7.2,
1688975400000,-6.35,-10.8,-6.56,
1688976000000,-5.33,-10.4,-9.81,
1688976600000,-5.18,-10.45,-12.08,
1688977200000,-5.19,-11.9,-9.3,
1688977800000,-5.61,-11.16,-7.64,
1688978400000,-5.45,-10.48,-7.3,
1688979000000,-6.08,-12.69,-8.99,
1688979600000,-5.85,-12.31,-7.65,
1688980200000,-6.1,-12.32,-6.84,
1688980800000,-6.3,-10.91,-8.94,
1688981400000,-6.11,-12.57,-7.1,
1688982000000,-6.53,-12.96,-8.44,
1688982600000,-6.82,-12.4,-10.6,
1688983199000,-8.7,-13.05,-8.69,
1688983800000,-8.44,-9.92,-11.74,
1688984400000,-7.21,-9.52,-8.84,
1688985000000,-8.48,-9.79,-7.22,
1688985600000,-7.71,-9.01,-7.94,
1688986200000,-9.24,-8.9,-7.93,
1688986800000,-8.01,-8.09,-10.7,
1688987400000,-9.79,-9.19,-8.91,
1688988000000,-7.33,-9.19,-6.99,
1688988600000,-7.75,-9.05,-7.72,
1688989200000,-6.58,-9,-6.41,
1688989800000,-6.71,-8.87,-7.07,
1688990400000,-6.64,-8.86,-6.81,
1688991000000,-6.66,-7.43,-6.05,
1688991600000,-6.95,-8.46,-5.58,
1688992200000,-8.44,-8.16,-5.44,
1688992800000,-6.71,-8.07,-5.54,
1688993400000,-7.53,-7.26,-5.5,
1688994000000,-6.58,-8.37,-5.48,
1688994600000,-7.71,-8.07,-5.08,
1688995200000,-6.67,-7.91,-5.34,
1688995800000,-7.74,-6.42,-5.29,
1688996400000,-6.65,-7.62,-5.38,
1688997000000,-7.36,-5.99,-4.98,
1688997600000,-6.39,-5.99,-5.57,
1688998200000,-7.5,-7.44,-5.1,
1688998800000,-6.16,-7.41,-5.15,
1688999400000,-7.23,-7.49,-5.15,
1689000000000,-6.45,-7.48,-5.57,
1689000600000,-6.55,-7.42,-4.7,
1689001200000,-5.42,-7.43,-5.36,
1689001800000,-6.2,-7.37,-5.27,
1689002400000,-5.12,-5.67,-4.86,
1689003000000,-6,-5.56,-4.66,
1689003600000,-4.97,-7.14,-4.95,
1689004200000,-6.1,-7.53,-4.69,
1689004800000,-5.11,-7.47,-5.1,
1689005400000,-6.07,-5.83,-4.72,
1689006000000,-4.9,-7.18,-5.07,
1689006600000,-6.32,-7.61,-4.82,
1689007200000,-4.88,-7.43,-4.44,
1689007800000,-4.9,-7.37,-5.05,
1689008400000,-5.08,-6.11,-4.91,
1689009000000,-6,-7.44,-4.91,
1689009600000,-4.78,-7.43,-4.66,
1689010200000,-5.92,-7.42,-4.89,
1689010800000,-4.74,-7.32,-4.56,
1689011400000,-5.91,-5.94,-4.82,
1689012000000,-4.93,-6.62,-4.45,
1689012600000,-5.06,-6.6,-4.83,
1689013200000,-5.2,-6.47,-4.73,
1689013800000,-6,-5.3,-4.61,
1689014400000,-4.99,-6.39,-5.1,
1689015000000,-6.1,-6.52,-4.87,
1689015600000,-4.89,-5.28,-4.91,
1689016200000,-5.96,-6.31,-4.84,
1689016800000,-4.87,-6.13,-4.99,
