intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Jan 13 2024|  TO Fri Jan 19 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1705084200000,-4.7,-5.33,-4,
1705084800000,-4.47,-5.34,-3.9,
1705085400000,-6.37,-5.27,-4.08,
1705086000000,-4.47,-5.27,-3.96,
1705086600000,-4.22,-5.29,-3.85,
1705087200000,-4.29,-5.29,-4.07,
1705087800000,-6.19,-5.34,-3.84,
1705088400000,-4.34,-5.35,-4.12,
1705089000000,-4.32,-5.5,-4.18,
1705089600000,-6.22,-5.38,-3.99,
1705090200000,-4.35,-5.37,-3.78,
1705090800000,-4.22,-5.53,-3.8,
1705091400000,-6.35,-5.33,-3.87,
1705092000000,-4.41,-5.22,-3.83,
1705092600000,-4.31,-5.22,-3.78,
1705093200000,-6.07,-5.01,-3.88,
1705093800000,-4.49,-5.09,-3.75,
1705094400000,-4.22,-5.11,-3.95,
1705095000000,-5.82,-5.1,-3.96,
1705095600000,-3.98,-5.11,-3.82,
1705096200000,-4,-5.04,-3.91,
1705096800000,-3.95,-5.17,-3.74,
1705097400000,-3.97,-5.04,-3.68,
1705098000000,-5.75,-5.08,-3.56,
1705098600000,-3.97,-4.78,-3.81,
1705099200000,-3.94,-4.84,-3.69,
1705099800000,-3.95,-4.5,-3.72,
1705100400000,-4.25,-4.56,-3.79,
1705101000000,-6.29,-4.57,-3.62,
1705101600000,-4.17,-4.57,-3.76,
1705102200000,-5.94,-4.2,-3.87,
1705102800000,-4.11,-4.19,-3.67,
1705103400000,-3.99,-4.28,-3.63,
1705104000000,-3.72,-4.35,-3.8,
1705104600000,-3.82,-4.23,-3.69,
1705105200000,-3.82,-4.29,-3.83,
1705105800000,-3.82,-4.26,-3.9,
1705106400000,-3.77,-4.29,-3.56,
1705107000000,-4.13,-4.28,-3.6,
1705107600000,-3.71,-4.01,-3.69,
1705108200000,-3.48,-4.09,-3.83,
1705108800000,-5.35,-4.09,-3.58,
1705109400000,-3.26,-4.08,-3.77,
1705110000000,-3.35,-4.19,-3.53,
1705110600000,-3.28,-4.01,-3.7,
1705111200000,-3.36,-4.16,-3.92,
1705111800000,-3.31,-4.05,-3.66,
1705112400000,-3.27,-4.11,-3.64,
1705113000000,-3.25,-4.17,-3.71,
1705113600000,-3.5,-4.19,-3.91,
1705114200000,-3.47,-4.18,-3.7,
1705114800000,-3.51,-4.17,-4.43,
1705115400000,-3.47,-4.25,-3.91,
1705116000000,-3.53,-4.27,-3.58,
1705116600000,-3.92,-4.51,-3.75,
1705117200000,-3.34,-4.71,-3.73,
1705117800000,-3.28,-4.84,-3.21,
1705118400000,-5.06,-4.82,-3.49,
