intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Jul 15 2023|  TO Fri Jul 21 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1689359400000,-4.07,-6.51,-4.51,
1689360000000,-5.41,-4.86,-5.57,
1689360600000,-5.28,-5.84,-4.36,
1689361200000,-5.25,-5.86,-4.28,
1689361800000,-4.11,-5.79,-4.11,
1689362400000,-4.18,-5.72,-4.1,
1689363000000,-4.1,-5.86,-4.5,
1689363600000,-4.02,-4.71,-4.33,
1689364200000,-5.04,-5.87,-4.2,
1689364800000,-5.07,-5.82,-4.48,
1689365400000,-4,-4.69,-4.44,
1689366000000,-3.99,-5.79,-4.41,
1689366600000,-4.02,-4.72,-4.1,
1689367199000,-5.03,-5.77,-4.51,
1689367800000,-5.08,-5.49,-4.34,
1689368400000,-3.97,-5.71,-4.15,
1689369000000,-3.97,-5.75,-4.33,
1689369600000,-3.98,-4.64,-4.27,
1689370200000,-5.14,-5.79,-4.35,
1689370800000,-5.03,-5.74,-4.25,
1689371400000,-3.98,-5.84,-7.73,
1689372000000,-3.95,-5.8,-6.67,
1689372600000,-3.93,-5.76,-4.2,
1689373200000,-3.98,-5.73,-4.16,
1689373800000,-5.11,-4.63,-4.28,
1689374400000,-4,-5.58,-7.38,
1689375000000,-3.95,-4.69,-3.98,
1689375600000,-5.11,-4.51,-4.32,
1689376200000,-5.02,-4.65,-4.63,
1689376800000,-3.95,-6.12,-4.21,
1689377400000,-3.96,-6.22,-7.75,
1689378000000,-3.98,-6.37,-4.66,
1689378600000,-5.02,-6.32,-5.37,
1689379200000,-3.95,-6.11,-4.04,
1689379800000,-3.98,-6.22,-4.12,
1689380400000,-5.08,-6.14,-4.35,
1689381000000,-4.05,-6.23,-4.14,
1689381600000,-3.58,-4.44,-4.25,
1689382200000,-4.68,-6.08,-4.18,
1689382800000,-3.45,-6.1,-4.04,
1689383400000,-3.41,-6.04,-4.25,
1689384000000,-3.45,-4.38,-6.42,
1689384600000,-4.49,-6.09,-4.58,
1689385200000,-3.41,-6.01,-5.67,
1689385800000,-3.4,-5.73,-4.1,
1689386400000,-4.55,-4.53,-4.59,
1689387000000,-4.49,-6.15,-6.75,
1689387600000,-3.5,-5.98,-4.61,
1689388200000,-3.52,-6.12,-4.56,
1689388800000,-4.61,-6.35,-7.81,
1689389400000,-3.43,-6.02,-4.91,
1689390000000,-3.48,-4.9,-5.29,
1689390600000,-3.62,-6.17,-4.96,
1689391200000,-3.59,-5.14,-5.06,
1689391800000,-3.65,-6.11,-4.71,
1689392400000,-4.79,-6.14,-4.82,
1689393000000,-4.96,-6.06,-5.59,
1689393600000,-4.06,-6.27,-4.97,
1689394200000,-4.2,-5.98,-4.96,
1689394800000,-5.28,-6.21,-4.75,
1689395400000,-4.24,-6.2,-5.11,
1689396000000,-4.26,-6.28,-5,
1689396600000,-4.45,-5.22,-4.99,
1689397200000,-4.71,-6.49,-5.21,
1689397800000,-4.99,-6.74,-5.3,
1689398400000,-5.22,-7,-4.96,
1689399000000,-5.3,-7.17,-5.38,
1689399600000,-5.34,-6.02,-9.58,
1689400200000,-5.3,-7.22,-5.47,
1689400800000,-5.4,-7.67,-5.53,
1689401400000,-5.39,-7.68,-5.83,
1689402000000,-5.49,-7.78,-5.5,
1689402600000,-5.48,-7.75,-5.7,
1689403200000,-5.56,-7.57,-5.36,
1689403800000,-5.7,-6.29,-8.76,
1689404400000,-5.73,-6.09,-5.36,
1689405000000,-5.79,-7.78,-5.72,
1689405600000,-5.81,-8,-5.41,
1689406200000,-5.85,-8.11,-5.22,
1689406800000,-5.81,-7.95,-5.05,
1689407400000,-5.82,-8.12,-5.62,
1689408000000,-5.58,-8.49,-5.65,
1689408600000,-5.29,-8.37,-5.62,
1689409200000,-5.29,-8.52,-5.21,
1689409800000,-5.25,-8.65,-7.82,
1689410400000,-5.26,-8.27,-4.88,
1689411000000,-5.42,-8.22,-5.5,
1689411600000,-4.75,-8.42,-5.21,
1689412200000,-4.65,-8.39,-5.28,
1689412800000,-4.79,-8.08,-5.18,
1689413400000,-6.03,-8.17,-5.46,
1689414000000,-5.3,-7.88,-5.46,
1689414600000,-5.02,-7.93,-5.4,
1689415200000,-5.13,-8.16,-5.16,
1689415800000,-5.6,-8.37,-8.55,
1689416400000,-5.45,-8.43,-5.96,
1689417000000,-5.41,-8.49,-5.35,
1689417600000,-5.46,-8.63,-5.33,
1689418200000,-5.22,-7.67,-5.69,
1689418800000,-5.17,-7.65,-5.29,
1689419400000,-5.17,-7.29,-5.78,
1689420000000,-5.06,-7.33,-5.56,
1689420600000,-5.22,-7.57,-5.47,
1689421200000,-5.33,-7.21,-4.96,
1689421800000,-5.25,-7.02,-5.19,
1689422400000,-5.25,-7.29,-5.61,
1689423000000,-5.26,-7.33,-6,
1689423600000,-5.12,-7.43,-8.88,
1689424200000,-5.08,-7.46,-7.79,
1689424800000,-5.11,-7.45,-5.33,
1689425400000,-4.71,-7.53,-5.31,
1689426000000,-4.86,-7.3,-4.93,
1689426600000,-4.79,-7.33,-5.53,
1689427200000,-4.94,-7.33,-5.23,
1689427800000,-4.82,-7.34,-5.02,
1689428400000,-4.87,-7.37,-5.37,
1689429000000,-5.05,-7.56,-5.27,
1689429600000,-5,-7.48,-7.52,
1689430200000,-4.95,-7.43,-4.96,
1689430800000,-4.96,-7.79,-5.58,
1689431400000,-5.01,-7.49,-5.43,
1689432000000,-4.99,-7.6,-7.91,
1689432600000,-5.02,-6.3,-5.23,
1689433200000,-4.95,-6.14,-5.62,
1689433800000,-5.02,-7.5,-5.6,
1689434400000,-4.93,-7.75,-5.25,
1689435000000,-5.03,-7.52,-5.54,
1689435600000,-4.89,-7.54,-5.45,
1689436200000,-4.94,-7.54,-4.94,
1689436800000,-4.94,-7.64,-4.99,
1689437400000,-4.92,-7.83,-5.59,
1689438000000,-4.98,-7.76,-8.53,
1689438600000,-4.94,-7.83,-5.3,
1689439200000,-4.95,-7.55,-5.3,
1689439800000,-4.92,-7.64,-5.4,
1689440400000,-4.83,-7.53,-5.13,
1689441000000,-4.78,-7.33,-5.24,
1689441600000,-4.73,-7.24,-5.29,
1689442200000,-4.8,-7.24,-5.53,
1689442800000,-4.78,-7.24,-5.27,
1689443400000,-5,-7.31,-5.38,
1689444000000,-5.05,-7.18,-5.62,
1689444600000,-5.03,-7.34,-5.3,
1689445200000,-4.97,-7.15,-5.21,
1689445800000,-5.05,-7.42,-5.54,
1689446400000,-5.08,-5.61,-5.48,
1689447000000,-4.98,-7.23,-5.19,
1689447600000,-5.05,-6.72,-5.19,
1689448200000,-5.01,-6.68,-5.2,
1689448800000,-4.99,-6.49,-5.3,
1689449400000,-4.99,-6.49,-8.19,
1689450000000,-4.83,-6.4,-5.12,
1689450600000,-4.84,-6.72,-4.88,
1689451200000,-4.56,-6.25,-4.7,
1689451800000,-4.62,-6.16,-4.74,
1689452400000,-4.81,-6.18,-4.82,
1689453000000,-4.71,-6.18,-5.18,
1689453600000,-4.6,-6.17,-4.79,
1689454200000,-4.56,-6.24,-4.82,
1689454800000,-4.61,-6.52,-4.82,
1689455400000,-4.6,-6.2,-4.87,
1689456000000,-4.55,-6.15,-4.77,
1689456600000,-4.56,-6.19,-4.91,
1689457200000,-4.52,-6.26,-5.13,
1689457800000,-4.11,-6.21,-4.72,
1689458400000,-4.05,-6.96,-4.91,
1689459000000,-4.23,-6.35,-4.79,
1689459600000,-4.1,-6.13,-4.88,
1689460200000,-4.01,-5.1,-4.42,
1689460800000,-4.04,-6.24,-4.58,
1689461400000,-4.04,-6.16,-5.04,
1689462000000,-4.04,-5.14,-7.67,
1689462600000,-4,-5.14,-4.99,
1689463200000,-4.03,-6.5,-5.05,
1689463800000,-4,-5.06,-5.17,
1689464400000,-4.08,-6.61,-4.48,
1689465000000,-4.09,-6.61,-4.48,
1689465600000,-4.17,-6.75,-4.8,
1689466200000,-4,-6.75,-4.64,
1689466800000,-3.7,-6.42,-4.58,
1689467400000,-3.57,-6.27,-6.13,
1689468000000,-3.37,-4.7,-5.27,
1689468600000,-3.4,-6.36,-4.95,
1689469200000,-3.41,-6.49,-4.66,
1689469800000,-3.32,-6.5,-4.46,
1689470400000,-3.35,-6.25,-4.7,
1689471000000,-3.36,-6.54,-4.45,
1689471600000,-3.32,-6.38,-4.44,
1689472200000,-3.51,-4.73,-4.89,
