intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Sep 16 2023|  TO Fri Sep 22 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1694802600000,-6.59,-6.65,-4.59,
1694803200000,-6.61,-6.22,-4.79,
1694803800000,-6.42,-6.08,-4.83,
1694804400000,-6.54,-6.41,-4.94,
1694805000000,-6.21,-6.33,-4.79,
1694805600000,-5.83,-6.39,-6.86,
1694806200000,-6.17,-6.25,-4.49,
1694806800000,-6.22,-6.48,-4.84,
1694807400000,-5.03,-6.41,-5.01,
1694808000000,-5.95,-6.41,-4.73,
1694808600000,-5.93,-6.35,-4.81,
1694809199000,-5.51,-6.42,-4.67,
1694809200000,-5.51,-6.44,-4.73,
1694809800000,-6.26,-6.48,-4.91,
1694810400000,-6.23,-6.51,-5.03,
1694811000000,-6.14,-6.41,-4.64,
1694811600000,-6.3,-6.46,-4.9,
1694812200000,-6,-6.45,-4.91,
1694812800000,-5.85,-6.3,-4.97,
1694813400000,-4.77,-6.32,-4.7,
1694814000000,-6.28,-6.43,-4.83,
1694814600000,-6.17,-6.18,-4.78,
1694815200000,-5.03,-6.24,-4.62,
1694815800000,-5.82,-6.24,-4.63,
1694816400000,-5.86,-6.05,-4.96,
1694817000000,-4.73,-5.98,-4.33,
1694817600000,-6.05,-6.25,-4.67,
1694818200000,-6.17,-6.17,-4.45,
1694818591000,-5.99,-6.16,-4.62,
1694818800000,-6.25,-6.3,-4.62,
1694819400000,-6.21,-5.83,-4.69,
1694820000000,-6.22,-5.72,-4.57,
1694820600000,-5.94,-5.64,-4.95,
1694821200000,-5.78,-5.65,-4.7,
1694821800000,-5.89,-5.77,-4.68,
1694822400000,-6.25,-5.89,-5.04,
1694822999000,-6.03,-5.83,-4.32,
1694823000000,-5.86,-5.66,-4.36,
1694823600000,-5.97,-5.84,-4.56,
1694824200000,-6.09,-5.78,-4.69,
1694825399000,-5.66,-5.7,-4.46,
1694826000000,-5.36,-5.52,-6.73,
1694826600000,-4.49,-5.62,-4.63,
1694827200000,-5.36,-5.31,-4.32,
1694827789000,-5.51,-5.5,-4.58,
1694827800000,-5.5,-5.48,-4.73,
1694828400000,-4.34,-5.49,-4.66,
1694829000000,-5.61,-5.79,-5.26,
1694829600000,-5.5,-5.83,-4.92,
1694830200000,-4.34,-5.78,-4.73,
1694830800000,-5.7,-5.46,-4.91,
1694831400000,-5.89,-5.74,-5.2,
1694832000000,-5.61,-5.61,-4.92,
1694832600000,-4.46,-5.55,-5.11,
1694833200000,-5.48,-5.69,-5.16,
1694833800000,-5.51,-5.65,-5.02,
1694834400000,-5.29,-5.88,-5.28,
1694835000000,-5.74,-6.38,-5.27,
1694835600000,-5.66,-6.54,-4.91,
1694836059000,-5.52,-6.41,-5.1,
1694836200000,-5.79,-6.54,-5.24,
1694836800000,-5.56,-6.42,-5.31,
1694837400000,-5.6,-6.16,-5.14,
1694838000000,-5.49,-6.25,-4.92,
1694838600000,-4.44,-6.11,-5.42,
1694839200000,-5.83,-6.35,-5.77,
1694839800000,-5.87,-6.43,-5.33,
1694840400000,-6.08,-6.64,-5.57,
1694841000000,-5.87,-6.72,-6.83,
1694841600000,-5.75,-6.15,-7.16,
1694842200000,-5.9,-6.37,-5.62,
1694842800000,-5.89,-6.62,-5.69,
1694843400000,-5.38,-6.61,-5.7,
1694844000000,-6.67,-7.15,-5.46,
1694844600000,-6.81,-7.04,-5.48,
1694845200000,-6.36,-7.29,-5.68,
1694845800000,-6.36,-7.37,-5.31,
1694846400000,-6.2,-7.1,-5.75,
1694847000000,-6.62,-7.03,-5.89,
1694847600000,-6.6,-7.08,-5.76,
1694848200000,-6.59,-7.03,-5.54,
1694848800000,-6.62,-7.2,-5.32,
1694849400000,-6.72,-7.32,-5.94,
1694850000000,-6.66,-7.26,-5.49,
1694850600000,-6.51,-7.05,-5.46,
1694851200000,-6.86,-7.16,-5.19,
1694851800000,-6.76,-7,-5.43,
1694852400000,-6.42,-6.9,-5.21,
1694853000000,-6.2,-6.92,-6.72,
1694853600000,-6.27,-7.15,-7.06,
1694854800000,-6.33,-6.8,-6.99,
1694855400000,-6.53,-6.96,-7.1,
1694856000000,-6.88,-6.69,-7.14,
1694856600000,-6.21,-6.86,-6.56,
1694857200000,-6.17,-7.21,-6.88,
1694857800000,-5.96,-6.83,-6.38,
1694858400000,-6.15,-6.99,-6.63,
1694859000000,-6.31,-6.72,-6.72,
1694859600000,-5.99,-6.57,-6.26,
1694860200000,-6.06,-6.59,-6.38,
1694860800000,-5.81,-6.49,-6.75,
1694861400000,-5.87,-6.61,-6.77,
1694862000000,-5.92,-6.98,-6.67,
1694862600000,-6,-6.84,-6.58,
1694863200000,-6.12,-6.56,-6.7,
1694863800000,-6.03,-6.56,-6.59,
1694865000000,-5.58,-6.31,-6.08,
1694865600000,-6.36,-6.67,-6.59,
1694866795000,-6.29,-6.66,-6.15,
1694866800000,-6.2,-6.59,-6.23,
1694867400000,-6.61,-6.86,-6.29,
1694868000000,-6.83,-6.58,-6.58,
1694868600000,-5.91,-6.88,-6.13,
1694869200000,-6.17,-6.6,-6.25,
1694869800000,-6.31,-6.64,-6.34,
1694870400000,-6.21,-6.77,-6.42,
1694871600000,-6.39,-6.66,-6.49,
1694872800000,-6.09,-6.67,-6.45,
1694873400000,-6.32,-6.64,-6.63,
1694874000000,-6.32,-6.57,-6.39,
1694874600000,-6.41,-7.24,-5.47,
1694875200000,-6.49,-6.81,-5.3,
1694875784000,-6.34,-6.46,-5.1,
1694875800000,-6.48,-6.57,-5.36,
1694876400000,-6.65,-6.52,-6.55,
1694877000000,-6.4,-6.3,-6.34,
1694878080000,-6.37,-6.44,-5.01,
1694878200000,-6.17,-6.34,-6.29,
1694878800000,-6.55,-6.49,-6.49,
1694879219000,-6.5,-6.59,-6.16,
1694879400000,-6.51,-6.81,-6.26,
1694880000000,-6.55,-7.02,-6.37,
1694880600000,-6.26,-7.04,-6.57,
1694881200000,-6.2,-7.03,-5.25,
1694881800000,-5.5,-7.35,-5.3,
1694882400000,-6.75,-7.17,-5.04,
1694883000000,-7.15,-6.91,-6.46,
1694883319000,-6.5,-6.84,-6.34,
1694883600000,-6.49,-6.91,-6.59,
1694884200000,-6.59,-6.54,-4.96,
