intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Nov 18 2023|  TO Fri Nov 24 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1700245800000,-5.63,-8.72,-5.92,
1700246400000,-5.75,-8.87,-5.95,
1700247000000,-5.68,-8.79,-5.63,
1700247600000,-5.49,-6.89,-5.41,
1700248200000,-5.16,-8.39,-5.29,
1700248800000,-5.02,-8.49,-5.08,
1700249400000,-4.96,-6.75,-5.22,
1700250000000,-4.97,-8.43,-5.22,
1700250600000,-4.95,-8.15,-5.08,
1700251200000,-4.89,-7.86,-4.99,
1700251800000,-4.96,-7.71,-5.43,
1700252400000,-5.03,-6.23,-5.5,
1700253000000,-4.98,-7.74,-5.18,
1700253600000,-4.97,-7.96,-5.23,
1700254200000,-4.97,-7.6,-5.4,
1700254800000,-4.99,-6,-5.63,
1700255400000,-5,-7.64,-5.06,
1700256000000,-4.91,-7.78,-5.08,
1700256600000,-5.13,-7.5,-5.4,
1700257200000,-4.98,-6.09,-5.17,
1700257800000,-5.02,-6.2,-5.1,
1700258400000,-4.9,-7.4,-5.34,
1700259000000,-4.95,-7.55,-5.3,
1700259600000,-4.91,-5.96,-5.21,
1700260200000,-4.88,-7.2,-5.23,
1700260800000,-4.91,-7.2,-5.43,
1700261400000,-4.91,-5.9,-5.45,
1700262000000,-4.95,-7.2,-5.14,
1700262600000,-4.94,-7.06,-5.27,
1700263200000,-4.9,-6.09,-5.28,
1700263800000,-4.97,-7.06,-5.01,
1700264400000,-4.54,-5.84,-4.96,
1700265000000,-4.53,-6.98,-5.25,
1700265600000,-4.57,-6.93,-5.24,
1700266200000,-4.58,-5.67,-4.97,
1700266800000,-4.57,-7.03,-5.17,
1700267400000,-4.6,-5.8,-5.04,
1700268000000,-4.58,-6.81,-5.2,
1700268600000,-3.91,-6.67,-4.89,
1700269200000,-3.91,-5.44,-5.02,
1700269800000,-4.04,-6.61,-5.12,
1700270400000,-3.84,-5.48,-4.85,
1700271000000,-3.62,-6.59,-4.98,
1700271600000,-3.55,-6.57,-5.15,
1700272200000,-3.57,-5.48,-5.26,
1700272800000,-3.6,-7.02,-4.9,
1700273400000,-3.72,-7.03,-4.99,
1700274000000,-5.23,-7.16,-5.11,
1700274600000,-3.61,-7.33,-5.23,
1700275200000,-3.57,-7.42,-4.98,
1700275800000,-3.59,-7.07,-5,
1700276400000,-3.68,-5.63,-5.02,
1700277000000,-3.62,-7.23,-5.03,
1700277600000,-3.67,-7.47,-5.05,
1700278200000,-3.68,-7.55,-5.2,
1700278800000,-3.72,-5.49,-5.12,
1700279400000,-3.66,-7.64,-4.94,
1700280000000,-3.56,-7.9,-5.12,
1700280600000,-3.89,-7.94,-4.95,
1700281200000,-3.88,-7.95,-4.89,
1700281800000,-3.93,-6.32,-4.82,
1700282400000,-3.84,-8.33,-5.11,
1700283000000,-4.01,-8.14,-5.51,
1700283600000,-4.19,-8.29,-5.28,
1700284200000,-4.25,-8.18,-5.38,
1700284800000,-4.62,-8.45,-5.37,
1700285400000,-4.69,-8.85,-5.5,
1700286000000,-4.68,-9.12,-5.74,
1700286600000,-4.76,-7.35,-4.87,
1700287200000,-4.72,-8.94,-4.66,
1700287800000,-4.66,-9.18,-5.01,
1700288400000,-4.69,-8.97,-4.98,
1700289000000,-4.91,-9.17,-4.87,
1700289600000,-5.03,-9.41,-4.97,
1700290200000,-4.99,-9.33,-4.75,
1700290800000,-5.04,-9.32,-4.93,
1700291400000,-4.89,-8.93,-4.6,
1700292000000,-4.9,-9.01,-4.49,
1700292600000,-4.88,-8.71,-4.69,
1700293200000,-4.87,-8.62,-5.01,
1700293800000,-5.25,-8.97,-4.99,
1700294400000,-5.1,-8.96,-4.99,
1700295000000,-5.12,-9.23,-4.69,
1700295600000,-5.06,-8.73,-4.84,
1700296200000,-5.17,-9.33,-4.88,
1700296800000,-5.1,-8.93,-4.49,
1700297400000,-5.2,-9.03,-4.71,
1700298000000,-5.5,-9.29,-5.1,
1700298600000,-5.73,-9.23,-4.9,
1700299200000,-5.67,-9.1,-5.05,
1700299800000,-6.12,-9.21,-5.15,
1700300400000,-5.95,-9.64,-6.03,
1700301000000,-5.87,-8.54,-6.08,
1700301600000,-5.61,-10.02,-5.19,
1700302200000,-5.91,-9.88,-6.25,
1700302800000,-6.08,-10.17,-5.95,
1700303400000,-5.86,-10.07,-5.42,
1700304000000,-5.94,-10.16,-6.17,
1700304600000,-6.61,-10.04,-5.26,
1700305200000,-6.51,-9.74,-6.27,
1700305800000,-5.94,-9.92,-6.82,
1700306400000,-6.19,-9.78,-5.88,
1700307000000,-6.22,-10.1,-6,
1700307600000,-6.45,-10.23,-6.65,
1700308200000,-5.87,-9.53,-5.68,
1700308800000,-6.28,-10.13,-6.9,
1700309400000,-6.29,-9.56,-5.34,
1700310000000,-6.49,-9.55,-5.63,
1700310600000,-6.54,-8.05,-6.49,
1700311200000,-6.51,-9.79,-6.26,
1700311800000,-6.33,-9.68,-6.61,
1700312400000,-6.81,-10,-6.8,
1700313000000,-6.35,-9.74,-5.76,
1700313600000,-6.24,-9.59,-5.88,
1700314200000,-6.03,-9.42,-5.4,
1700314800000,-6.06,-9.49,-5.3,
1700315400000,-5.95,-7.91,-5.34,
1700316000000,-5.58,-8.83,-5.36,
1700316600000,-5.51,-8.98,-5.57,
1700317200000,-5.82,-8.97,-5.03,
1700317800000,-5.73,-8.71,-5.02,
1700318400000,-5.73,-8.73,-7.02,
1700319000000,-5.6,-8.86,-5.15,
1700319600000,-5.51,-8.65,-4.88,
1700320200000,-5.5,-8.47,-5.13,
1700320800000,-5.04,-8.5,-5.13,
1700321400000,-4.88,-8.48,-4.6,
1700322000000,-4.85,-8.59,-4.93,
1700322600000,-4.43,-8.46,-4.78,
1700323200000,-4.87,-8.58,-4.52,
1700323800000,-4.87,-8.48,-4.76,
1700324400000,-4.83,-8.53,-4.71,
1700325000000,-4.9,-8.31,-4.61,
1700325600000,-5.1,-8.29,-4.81,
1700326200000,-4.87,-8.28,-5.01,
1700326800000,-4.91,-7.74,-4.96,
1700327400000,-4.98,-7.97,-5.11,
1700328000000,-5.01,-7.79,-4.95,
1700328600000,-5,-7.82,-4.81,
1700329200000,-5.04,-7.8,-4.87,
1700329800000,-4.95,-6.59,-4.89,
1700330400000,-4.49,-8.27,-4.75,
1700331000000,-4.44,-8.17,-4.64,
