intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Aug 19 2023|  TO Fri Aug 25 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1692383400000,-4.62,-5.95,-5.01,
1692384000000,-4.58,-6,-4.72,
1692384600000,-4.71,-5.8,-4.94,
1692385200000,-4.66,-5.79,-5.09,
1692385800000,-4.76,-5.9,-4.91,
1692386400000,-4.68,-5.89,-5.12,
1692387000000,-4.73,-5.93,-5.02,
1692387600000,-4.62,-5.83,-4.7,
1692388200000,-4.6,-5.55,-4.72,
1692388800000,-4.68,-5.53,-4.58,
1692389400000,-4.64,-5.51,-4.71,
1692390000000,-5.37,-5.62,-4.86,
1692390600000,-4.67,-5.78,-4.63,
1692391200000,-4.55,-5.58,-4.72,
1692391800000,-4.57,-5.89,-4.94,
1692392400000,-4.5,-5.8,-4.86,
1692393000000,-6.07,-5.79,-5,
1692393600000,-6.13,-5.75,-4.43,
1692394200000,-6.21,-5.8,-4.84,
1692394800000,-6.14,-7.11,-4.38,
1692395400000,-6.19,-6.73,-4.28,
1692396000000,-6.12,-6.63,-4.38,
1692396600000,-6.21,-6.69,-4.31,
1692397200000,-6.18,-5.48,-4.58,
1692397800000,-6.18,-5.51,-4.75,
1692398400000,-6.19,-6.72,-4.6,
1692399000000,-4.55,-5.67,-4.63,
1692399600000,-4.51,-6.63,-4.55,
1692400200000,-4.44,-6.46,-4.39,
1692400800000,-4.35,-5.25,-4.26,
1692401400000,-4.38,-6.24,-3.88,
1692402000000,-4.29,-6.09,-4.01,
1692402600000,-4.29,-4.88,-4.11,
1692403200000,-4.34,-6.2,-4.04,
1692403800000,-5.12,-6.27,-4.14,
1692404400000,-4.15,-6.11,-4.09,
1692405000000,-3.79,-5.99,-4.16,
1692405600000,-3.8,-5.97,-4.18,
1692406200000,-3.79,-6,-4.11,
1692406800000,-3.78,-6.04,-4.06,
1692407400000,-3.81,-6.02,-4.06,
1692408000000,-3.74,-6.08,-3.9,
1692408600000,-3.87,-6.18,-4,
1692409200000,-3.88,-5,-3.8,
1692409800000,-3.82,-4.77,-4.16,
1692410400000,-3.81,-4.73,-4.04,
1692411000000,-3.78,-4.77,-3.83,
1692411600000,-3.92,-4.77,-4.34,
1692412200000,-3.8,-4.82,-4.08,
1692412800000,-3.84,-4.89,-4.24,
1692413400000,-3.82,-5.01,-4.11,
1692414000000,-3.8,-5.15,-3.87,
1692414600000,-3.82,-5.11,-3.96,
1692415200000,-3.79,-5.38,-4.14,
1692415800000,-3.92,-5.44,-3.9,
1692416400000,-3.77,-5.35,-4.11,
1692417000000,-3.76,-5.5,-3.96,
1692417600000,-3.83,-5.76,-4.18,
1692418200000,-3.78,-5.88,-4.72,
1692418800000,-4.15,-6.14,-4.19,
1692419400000,-5.09,-6.55,-4.68,
1692420000000,-5.2,-6.65,-4.77,
