intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Apr 20 2024|  TO Fri Apr 26 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1713551400000,-5.36,-6.96,-4.73,
1713552000000,-5.38,-7.11,-4.38,
1713552600000,-5.36,-7.1,-4.41,
1713553200000,-7.58,-6.7,-4.66,
1713553800000,-7.32,-6.72,-4.43,
1713554400000,-7.37,-6.26,-4.45,
1713555000000,-7.11,-6.48,-4.69,
1713555600000,-4.92,-6.32,-4.25,
1713556200000,-4.89,-6.35,-4.57,
1713556800000,-4.82,-6.57,-4.5,
1713557400000,-4.86,-6.35,-4.46,
1713558000000,-4.99,-6.22,-4.44,
1713558600000,-7.02,-6.21,-4.56,
1713559200000,-6.99,-6.29,-4.59,
1713559800000,-7.37,-5.74,-4.43,
1713560400000,-7,-5.76,-4.64,
1713561000000,-6.95,-5.82,-4.45,
1713561600000,-5.04,-5.81,-4.57,
1713562200000,-4.98,-5.78,-4.51,
1713562800000,-4.83,-5.85,-4.55,
1713563400000,-4.87,-5.72,-4.47,
1713564000000,-4.97,-5.74,-4.43,
1713564600000,-4.93,-5.72,-4.45,
1713565200000,-4.87,-5.69,-4.42,
1713565800000,-4.89,-6.02,-4.49,
1713566400000,-4.95,-5.74,-4.39,
1713567000000,-4.9,-5.71,-4.59,
1713567600000,-4.76,-6.23,-4.42,
1713568200000,-4.74,-5.9,-4.65,
1713568800000,-4.74,-5.97,-4.34,
1713569400000,-4.72,-6.11,-4.49,
1713570000000,-4.73,-5.96,-4.44,
1713570599000,-5.22,-5.9,-4.48,
1713571199000,-4.83,-6.14,-4.58,
1713571200000,-4.83,-6.1,-4.49,
1713571800000,-4.9,-5.89,-4.4,
1713572400000,-4.76,-5.82,-4.6,
1713573000000,-4.04,-5.85,-4.49,
1713573600000,-3.77,-5.76,-4.65,
1713574200000,-3.76,-5.69,-4.48,
1713574800000,-3.81,-5.81,-4.59,
1713575400000,-3.8,-5.81,-4.36,
1713576000000,-5.83,-6.01,-4.38,
1713576600000,-6.37,-5.87,-4.28,
1713577200000,-6.02,-5.45,-4.42,
1713577800000,-5.91,-5.35,-4.37,
1713578400000,-5.89,-5.51,-4.42,
1713579000000,-5.92,-5.51,-4.35,
1713579600000,-5.87,-5.61,-4.38,
1713580200000,-5.82,-5.43,-4.43,
1713580800000,-5.87,-5.52,-4.45,
