intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Dec 23 2023|  TO Fri Dec 29 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1703269800000,-4.07,-4.84,-3.64,
1703270400000,-4.23,-4.8,-3.18,
1703271000000,-5.98,-4.55,-3.28,
1703271600000,-4.31,-4.59,-3.33,
1703272200000,-3.89,-4.52,-3.17,
1703272800000,-3.95,-4.54,-3.19,
1703273400000,-5.84,-4.53,-3.45,
1703274000000,-4.06,-4.68,-3.3,
1703274600000,-4.18,-4.65,-3.34,
1703275200000,-3.92,-4.51,-3.45,
1703275800000,-3.92,-4.56,-3.53,
1703276400000,-4.15,-4.48,-3.37,
1703277000000,-6,-4.47,-3.15,
1703277600000,-5.99,-4.44,-3.34,
1703278200000,-3.91,-4.49,-3.29,
1703278800000,-3.91,-4.46,-3.25,
1703279400000,-3.89,-4.53,-3.42,
1703280000000,-4.19,-5.99,-3.36,
1703280600000,-6.03,-4.47,-3.13,
1703281200000,-3.96,-4.43,-3.41,
1703281800000,-3.9,-4.46,-3.47,
1703282400000,-3.9,-4.42,-3.23,
1703283000000,-4.09,-4.41,-3.25,
1703283600000,-4.11,-4.42,-3.45,
1703284200000,-3.91,-4.55,-3.36,
1703284800000,-3.93,-4.29,-3.22,
1703285400000,-3.94,-4.29,-3.68,
1703286000000,-6.17,-4.31,-3.31,
1703286600000,-4.26,-4.56,-3.18,
1703287200000,-4.11,-4.3,-3.53,
1703287800000,-3.91,-4.29,-3.53,
1703288400000,-3.93,-4.25,-3.43,
1703289000000,-4.14,-4.22,-3.22,
1703289600000,-3.93,-4.3,-3.37,
1703290200000,-3.9,-4.28,-3.15,
1703290800000,-4.17,-4.19,-3.37,
1703291400000,-6.12,-4.15,-3.41,
1703292000000,-5.65,-4.24,-3.1,
1703292600000,-3.81,-4.16,-3.23,
1703293200000,-2.93,-4.12,-3.45,
1703293800000,-3.16,-4.15,-3.37,
1703294400000,-2.97,-3.99,-3.17,
1703295000000,-3.07,-4.14,-3.24,
1703295600000,-2.97,-4.15,-3.49,
1703296200000,-3.2,-4.09,-3.35,
1703296800000,-2.97,-4.12,-3.43,
1703297400000,-3.04,-4.07,-3.48,
1703298000000,-3.33,-4.09,-3.35,
1703298600000,-3.16,-4.14,-3.24,
1703299200000,-5.05,-4.13,-3.37,
1703299800000,-4.85,-4.25,-3.39,
1703300400000,-5.03,-4.13,-3.15,
1703301000000,-3.2,-4.29,-3.1,
1703301600000,-3,-4.3,-3.55,
1703302200000,-3.15,-4.27,-3.34,
1703302800000,-3.49,-4.33,-3.38,
1703303400000,-3.62,-4.41,-3.25,
1703304000000,-3.32,-4.54,-3.47,
1703304600000,-3.39,-4.67,-3.36,
1703305200000,-3.59,-4.67,-3.69,
1703305800000,-3.98,-5.27,-3.64,
1703306400000,-3.71,-5.31,-3.47,
1703307000000,-3.77,-5.65,-3.52,
1703307600000,-3.9,-5.99,-3.88,
1703308200000,-3.76,-5.84,-3.57,
1703308800000,-3.67,-5.74,-3.57,
1703309400000,-3.85,-5.82,-3.79,
1703310000000,-3.85,-5.91,-3.53,
1703310600000,-4.18,-6.07,-3.53,
1703311200000,-4.08,-6.35,-3.57,
1703311800000,-3.94,-6.26,-3.6,
1703312400000,-6.17,-6.53,-4.89,
1703313000000,-3.85,-6.67,-4.1,
1703313600000,-3.8,-6.4,-4.12,
1703314200000,-6.38,-6.55,-3.94,
1703314800000,-4.08,-6.41,-4.17,
1703315400000,-4.06,-7.24,-4.15,
1703316000000,-6.4,-6.24,-4.3,
1703316600000,-4.39,-6.33,-4.18,
1703317200000,-3.88,-6.28,-3.87,
1703317800000,-6.22,-6.38,-4.08,
1703318400000,-5.79,-6.5,-4.36,
1703319000000,-5.93,-6.34,-3.9,
1703319600000,-5.38,-6.35,-4.19,
1703320200000,-4.74,-6.13,-4.1,
1703320800000,-8.11,-6.13,-3.79,
1703321400000,-5.17,-6.22,-3.86,
1703322000000,-4.92,-6.13,-3.7,
1703322600000,-6.78,-6.53,-3.93,
1703323200000,-5.19,-5.98,-3.91,
1703323800000,-5.01,-6.08,-3.62,
1703324400000,-5.28,-6.24,-3.48,
1703325000000,-5.56,-6.2,-3.79,
1703325600000,-4.46,-6.21,-3.84,
1703326200000,-3.99,-6.07,-3.68,
1703326800000,-6.29,-5.97,-3.77,
1703327400000,-3.82,-5.87,-3.81,
1703328000000,-3.77,-5.79,-3.78,
1703328600000,-3.96,-5.83,-3.69,
1703329200000,-3.74,-5.85,-3.75,
1703329800000,-5.85,-5.69,-3.44,
1703330400000,-3.85,-5.2,-3.73,
1703331000000,-3.62,-5.22,-3.75,
1703331600000,-3.71,-5.38,-3.52,
1703332200000,-3.68,-5.15,-3.37,
1703332800000,-5.93,-5.1,-3.91,
1703333400000,-3.69,-5.06,-3.85,
1703334000000,-4.49,-5.11,-3.64,
1703334600000,-4.95,-5.04,-3.79,
1703335200000,-4.76,-5.01,-4,
1703335800000,-4.73,-4.91,-3.48,
1703336400000,-4.74,-5.17,-3.63,
1703337000000,-4.53,-5.14,-3.86,
1703337600000,-4.74,-5.27,-3.56,
1703338200000,-4.91,-5.21,-3.9,
1703338800000,-4.33,-5.33,-3.87,
1703339400000,-4.38,-6.95,-3.64,
1703340000000,-4.6,-5.29,-3.76,
1703340600000,-4.46,-4.87,-3.81,
1703341200000,-4.23,-4.77,-3.78,
1703341800000,-4.27,-4.89,-3.73,
1703342400000,-4.32,-5.09,-3.74,
1703343000000,-4.59,-5.07,-3.72,
1703343600000,-4.26,-5.12,-3.86,
1703344200000,-4.11,-5.06,-3.62,
1703344800000,-4.29,-5,-3.82,
1703345400000,-5.95,-5.02,-3.89,
1703346000000,-4.15,-4.91,-3.7,
1703346600000,-4.4,-5.18,-3.97,
1703347200000,-6.28,-5.14,-3.95,
1703347800000,-4.2,-5.09,-3.78,
1703348400000,-4.23,-5.14,-3.95,
1703349000000,-4.39,-5.13,-3.78,
1703349600000,-6.03,-4.85,-3.52,
1703350200000,-4.05,-5,-3.88,
1703350800000,-4.29,-4.98,-3.9,
1703351400000,-4.22,-4.89,-3.55,
1703352000000,-4.11,-4.89,-3.59,
1703352600000,-4.25,-4.89,-3.76,
1703353200000,-4.56,-4.87,-3.66,
1703353800000,-6.12,-4.87,-3.73,
1703354400000,-4.09,-4.74,-4.02,
1703355000000,-4.14,-4.66,-3.6,
1703355600000,-4.35,-4.82,-3.55,
1703356200000,-6.15,-4.81,-3.78,
1703356800000,-4.15,-4.82,-3.57,
1703357400000,-4.38,-4.71,-3.51,
1703358000000,-4.36,-4.75,-3.76,
1703358600000,-6.12,-4.74,-4.52,
1703359200000,-4.11,-4.53,-3.52,
1703359800000,-4.34,-4.58,-3.78,
1703360400000,-4.46,-4.66,-3.68,
1703361000000,-4.3,-4.69,-3.62,
1703361600000,-6.36,-4.58,-3.74,
1703362200000,-4.6,-4.52,-3.6,
1703362800000,-4.67,-4.37,-3.33,
1703363400000,-4.32,-4.54,-3.58,
1703364000000,-4.36,-4.31,-3.61,
1703364600000,-4.53,-4.48,-3.62,
1703365200000,-4.34,-4.28,-3.5,
1703365800000,-6.37,-4.33,-3.66,
1703366400000,-4.53,-4.2,-3.54,
1703367000000,-4.42,-4.27,-3.5,
1703367600000,-4.29,-4.26,-3.69,
1703368200000,-4.44,-4.32,-3.54,
1703368800000,-4.12,-4.1,-3.49,
1703369400000,-6.09,-4.16,-3.59,
1703370000000,-4.18,-4.29,-3.75,
1703370600000,-4.34,-4.18,-3.54,
1703371200000,-4.05,-4.14,-3.3,
1703371800000,-3.98,-4.15,-3.42,
1703372400000,-4.2,-4.13,-3.49,
1703373000000,-4.04,-4.06,-3.35,
