intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Mar 23 2024|  TO Fri Mar 29 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1711132200000,-5.07,-6.71,-5,
1711132800000,-5.1,-7.15,-4.93,
1711133400000,-4.91,-6.81,-4.7,
1711134000000,-7.01,-6.81,-5.11,
1711134600000,-6.83,-6.92,-4.85,
1711135200000,-6.82,-6.73,-4.9,
1711135800000,-4.83,-6.87,-4.96,
1711136400000,-4.92,-6.64,-4.75,
1711137000000,-4.85,-6.46,-4.78,
1711137600000,-4.78,-6.15,-4.88,
1711138200000,-6.77,-5.6,-4.83,
1711138800000,-6.91,-5.48,-4.75,
1711139400000,-6.71,-5.74,-4.88,
1711140000000,-4.71,-5.66,-4.87,
1711140600000,-4.78,-5.69,-4.89,
1711141200000,-4.7,-5.8,-4.87,
1711141800000,-6.71,-5.58,-4.92,
1711142400000,-6.7,-5.49,-4.66,
1711143000000,-7.09,-5.52,-4.93,
1711143600000,-4.8,-5.72,-4.77,
1711144200000,-4.77,-5.55,-5.48,
1711144800000,-4.81,-5.65,-5.04,
1711145400000,-4.67,-5.55,-4.57,
1711146000000,-6.69,-5.52,-4.91,
1711146600000,-4.69,-5.62,-4.91,
1711147200000,-4.67,-5.63,-4.91,
1711147800000,-4.68,-5.74,-4.82,
1711148400000,-7,-5.64,-4.7,
1711149000000,-6.52,-5.49,-4.99,
1711149600000,-4.74,-5.51,-5.01,
1711150200000,-4.77,-5.51,-4.9,
1711150800000,-5.09,-5.49,-4.72,
1711151400000,-6.63,-5.53,-4.9,
1711152000000,-6.69,-5.5,-4.86,
1711152600000,-6.59,-5.53,-5.22,
1711153200000,-4.98,-5.42,-5.09,
1711153800000,-4.57,-5.5,-5.24,
1711154400000,-6.47,-5.27,-4.9,
1711155000000,-6.47,-5.42,-5.01,
1711155599000,-4.58,-5.25,-5.06,
1711156200000,-3.98,-5.22,-5.1,
1711156800000,-4.05,-5.66,-5.12,
1711157400000,-3.83,-5.35,-5.02,
1711158000000,-5.81,-5.22,-5.32,
1711158600000,-3.82,-5.19,-4.78,
1711159200000,-3.79,-5.41,-4.7,
1711159800000,-3.77,-5.02,-4.43,
1711160400000,-5.91,-5.18,-4.52,
1711161000000,-5.85,-5.08,-4.5,
1711161600000,-6.12,-5.22,-4.44,
1711162200000,-3.69,-5.28,-4.36,
1711162800000,-3.75,-5.78,-4.5,
1711163400000,-3.73,-5.61,-4.51,
1711164000000,-6.08,-5.9,-4.54,
1711164600000,-5.9,-5.88,-4.28,
