intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Feb 24 2024|  TO Fri Mar 01 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1708713000000,-7.56,-7.29,-5.03,
1708713600000,-7,-6.51,-5.19,
1708714200000,-7.04,-6.89,-4.96,
1708714800000,-7.08,-7.06,-5.86,
1708715400000,-7.21,-7.28,-5.47,
1708716000000,-7.23,-7.23,-5.59,
1708716600000,-7.07,-6.8,-4.81,
1708717200000,-6.99,-7.29,-4.69,
1708717800000,-7.18,-6.98,-4.97,
1708718400000,-7.12,-6.74,-4.64,
1708719000000,-6.77,-6.59,-4.63,
1708719600000,-6.8,-6.63,-4.74,
1708720200000,-6.74,-6.85,-4.73,
1708720800000,-6.59,-6.64,-4.84,
1708721400000,-6.54,-6.82,-4.98,
1708722000000,-6.32,-6.9,-4.56,
1708722600000,-6.47,-6.9,-4.79,
1708723200000,-6.51,-6.74,-4.52,
1708723800000,-7.55,-6.96,-4.77,
1708724400000,-6.73,-6.71,-4.79,
1708725000000,-6.36,-6.88,-4.65,
1708725600000,-6.37,-6.85,-4.82,
1708726200000,-7.15,-6.91,-4.31,
1708726800000,-6.1,-6.83,-4.47,
1708727400000,-6.21,-6.92,-4.65,
1708728000000,-6.26,-6.76,-4.6,
1708728600000,-5.92,-6.83,-4.47,
1708729200000,-6.21,-6.78,-4.3,
1708729800000,-5.92,-6.83,-4.51,
1708730400000,-7.06,-6.77,-4.32,
1708731000000,-5.83,-6.77,-4.33,
1708731600000,-5.88,-6.9,-4.5,
1708732200000,-6.3,-6.8,-4.55,
1708732800000,-5.82,-6.84,-4.55,
1708733400000,-5.8,-6.58,-4.41,
1708734000000,-5.85,-6.39,-4.58,
1708734600000,-5.86,-6.34,-4.73,
1708735200000,-5.49,-6.4,-4.29,
1708735800000,-5.17,-6.32,-4.58,
1708736400000,-4.63,-6.26,-4.34,
1708737000000,-4.65,-6.4,-4.38,
1708737600000,-4.68,-6.33,-4.93,
1708738200000,-4.65,-6.11,-4.64,
1708738800000,-4.62,-6.13,-4.85,
1708739400000,-4.63,-6.36,-4.7,
1708740000000,-4.45,-6.21,-4.94,
1708740600000,-6.19,-6.39,-5.12,
1708741200000,-6.68,-6.29,-4.93,
1708741800000,-6.89,-6.51,-4.97,
1708742400000,-7.61,-6.24,-5.11,
1708743000000,-7.36,-6.75,-5.3,
1708743600000,-9.05,-6.77,-5.18,
1708744200000,-7.61,-6.67,-5.29,
1708744800000,-7.6,-6.83,-5.42,
1708745400000,-5.75,-7.01,-5.5,
1708746000000,-7.87,-6.83,-5.6,
1708746600000,-6.38,-6.94,-5.86,
1708747200000,-8.3,-7.47,-5.59,
1708747800000,-6.03,-7.2,-5.23,
1708748400000,-7.05,-7.56,-5.39,
1708749000000,-6.14,-7.59,-5.18,
1708749600000,-8.84,-7.93,-5.1,
1708750200000,-8.51,-8.87,-5.02,
1708750800000,-8.73,-8.33,-5.4,
1708751400000,-11.4,-8.43,-5.52,
1708752000000,-6.58,-8.45,-5.39,
1708752600000,-6.75,-8.09,-5.65,
1708753200000,-9.38,-8.03,-5.55,
1708753800000,-9.29,-7.84,-5.25,
1708754400000,-7.1,-8.18,-5.64,
1708755000000,-8.58,-7.7,-5.51,
1708755600000,-8.31,-7.89,-6.04,
1708756199000,-9.5,-7.68,-5.36,
1708756800000,-9.85,-8.59,-5.73,
1708757400000,-8.98,-8.19,-6.37,
1708758000000,-5.78,-8.39,-6.48,
1708758600000,-7.82,-8.1,-6.23,
1708759200000,-7.69,-7.85,-5.74,
1708759800000,-7.77,-8.03,-5.81,
1708760400000,-8,-7.46,-5.5,
1708761000000,-6.05,-7.81,-6.01,
1708761600000,-5.77,-7.67,-5.58,
1708762200000,-8.02,-7.5,-5.71,
1708762800000,-7.96,-7.55,-6.03,
1708763400000,-5.75,-8.12,-5.97,
1708764000000,-7.78,-7.96,-5.98,
1708764600000,-7.87,-8.58,-5.76,
1708765200000,-7.91,-7.65,-5.7,
1708765800000,-5.64,-7.44,-5.79,
1708766400000,-6,-7.52,-5.75,
