intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Nov 25 2023|  TO Fri Dec 01 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1700850600000,-5.52,-6.8,-4.97,
1700851200000,-5.54,-6.78,-4.9,
1700851800000,-6.7,-6.62,-4.86,
1700852400000,-5.68,-6.51,-4.98,
1700853000000,-7.59,-6.53,-5.04,
1700853600000,-7.17,-6.5,-4.94,
1700854200000,-7.15,-6.51,-4.97,
1700854800000,-8.28,-6,-4.77,
1700855400000,-7.16,-5.96,-4.96,
1700856000000,-7.13,-6.01,-4.83,
1700856600000,-9.15,-6,-5.06,
1700857200000,-7.18,-5.98,-4.45,
1700857800000,-8.27,-5.92,-4.37,
1700858400000,-7.25,-5.98,-4.69,
1700859000000,-7.19,-5.98,-4.57,
1700859600000,-7.17,-6.08,-4.3,
1700860200000,-7.15,-5.86,-4.47,
1700860800000,-7.11,-5.93,-4.51,
1700861400000,-7.33,-5.71,-4.3,
1700862000000,-7.17,-5.64,-4.58,
1700862600000,-10.17,-5.62,-4.63,
1700863200000,-5.71,-6.81,-4.32,
1700863800000,-7.16,-5.66,-4.58,
1700864400000,-5.62,-5.69,-4.69,
1700865000000,-7.16,-6.77,-4.44,
1700865600000,-8.09,-5.65,-4.36,
1700866200000,-7.16,-5.99,-4.32,
1700866800000,-7.16,-7.05,-4.02,
1700867400000,-5.72,-5.78,-4.14,
1700868000000,-7.34,-5.77,-4.29,
1700868600000,-6.84,-5.81,-4.38,
1700869200000,-5.64,-6.96,-4.1,
1700869800000,-7.14,-5.8,-4.09,
1700870400000,-5.65,-5.86,-4.3,
1700871000000,-7.13,-6.87,-4.03,
1700871600000,-5.61,-5.75,-4.35,
1700872200000,-7.14,-5.7,-4.26,
1700872800000,-6.32,-5.72,-3.97,
1700873400000,-4.87,-6.77,-3.99,
1700874000000,-6.39,-5.76,-4.39,
1700874600000,-4.85,-5.49,-4.08,
1700875200000,-6.36,-6.69,-3.87,
1700875800000,-5.83,-5.52,-4.1,
1700876400000,-6.31,-5.43,-4.17,
1700877000000,-4.82,-5.43,-4.08,
1700877600000,-8.38,-5.41,-4.16,
1700878200000,-8.28,-5.48,-4.19,
1700878800000,-9.39,-5.44,-3.95,
1700879400000,-8.34,-5.54,-4.31,
1700880000000,-4.87,-5.64,-4.29,
1700880600000,-6.01,-5.54,-4.16,
1700881200000,-6.19,-5.49,-3.98,
1700881800000,-7.1,-5.79,-4.1,
1700882400000,-6.08,-6.09,-4.2,
1700883000000,-4.54,-5.99,-3.7,
1700883600000,-6.34,-6.09,-3.92,
1700884200000,-8.4,-6.26,-3.97,
1700884800000,-6.49,-6.2,-3.86,
1700885400000,-8.54,-5.98,-4.16,
1700886000000,-5,-6.1,-4.27,
1700886600000,-7.6,-6.13,-3.91,
1700887200000,-6.59,-6.31,-4.2,
1700887800000,-6.71,-6.3,-4.32,
1700888400000,-6.76,-6.3,-4.33,
1700889000000,-5.31,-6.44,-4.48,
1700889600000,-6.53,-6.79,-4.6,
1700890200000,-5.55,-6.79,-4.69,
1700890800000,-7.5,-6.81,-4.34,
1700891400000,-5.54,-7.02,-4.75,
1700892000000,-7.72,-8.1,-4.56,
1700892600000,-5.93,-8.33,-4.54,
1700893200000,-5.88,-8.11,-4.62,
1700893800000,-5.87,-7.97,-4.71,
1700894400000,-6.81,-8.08,-4.51,
1700895000000,-5.72,-7.98,-4.77,
1700895600000,-7.63,-6.81,-5.44,
1700896200000,-5.63,-7.92,-4.82,
1700896800000,-8.34,-8.06,-5.17,
1700897400000,-6.71,-8.02,-4.84,
1700898000000,-5.75,-8.03,-5.3,
1700898600000,-5.68,-7.72,-4.56,
1700899200000,-5.6,-6.58,-4.97,
1700899800000,-5.36,-7.64,-4.84,
1700900400000,-5.43,-7.47,-4.79,
1700901000000,-5.38,-7.55,-4.75,
1700901600000,-5.3,-7.48,-4.73,
1700902200000,-6.42,-7.63,-4.59,
1700902800000,-5.45,-8.17,-5.05,
1700903400000,-5.93,-7.75,-4.85,
1700904000000,-5.95,-7.65,-4.72,
1700904600000,-5.81,-6.62,-4.79,
1700905200000,-6.88,-7.35,-4.95,
1700905800000,-5.76,-6.23,-5.12,
1700906400000,-5.86,-6.25,-4.66,
1700907000000,-6.6,-6.34,-4.66,
1700907600000,-5.99,-6.32,-4.71,
1700908200000,-6.88,-7.82,-4.65,
1700908800000,-5.9,-6.32,-4.6,
1700909400000,-5.91,-7.87,-4.7,
1700910000000,-5.81,-7.74,-4.59,
1700910600000,-5.92,-7.41,-4.54,
1700911200000,-8.92,-7.32,-4.97,
1700911799000,-5.66,-5.78,-4.6,
1700912400000,-5.67,-7.45,-4.48,
1700913000000,-6.16,-7.42,-4.59,
1700913600000,-5.98,-7.6,-4.79,
1700914200000,-7.93,-7.39,-4.43,
1700914800000,-5.7,-5.73,-4.36,
1700915400000,-6.97,-7.39,-4.35,
1700916000000,-8,-7.67,-4.07,
1700916600000,-5.9,-7.8,-4.69,
1700917200000,-9.12,-6.35,-4.72,
1700917800000,-5.99,-7.84,-4.71,
1700918400000,-7.2,-7.69,-4.48,
1700919000000,-7.92,-7.65,-4.57,
1700919600000,-6.01,-7.65,-4.59,
1700920200000,-5.84,-6.14,-4.5,
1700920800000,-5.7,-7.28,-4.61,
1700921400000,-5.65,-6.22,-4.54,
1700922000000,-5.77,-7.29,-4.56,
1700922600000,-6.82,-7.4,-4.41,
1700923200000,-5.85,-7.8,-4.57,
1700923800000,-5.74,-7.67,-4.46,
1700924400000,-7.67,-6.47,-4.44,
1700925000000,-6.38,-7.66,-4.59,
1700925600000,-6.7,-7.27,-4.77,
1700926200000,-5.21,-7.04,-4.6,
1700926800000,-5.13,-7.04,-4.86,
1700927400000,-5.14,-5.88,-4.75,
1700928000000,-5.2,-7.24,-4.59,
1700928600000,-7.56,-7.2,-4.72,
1700929200000,-5.89,-7.32,-4.89,
1700929800000,-7.37,-6.14,-4.69,
1700930400000,-6.41,-7.45,-4.94,
1700931000000,-8.21,-7.33,-5.01,
1700931600000,-6.31,-6.45,-4.61,
1700932200000,-6.54,-7.63,-4.81,
1700932800000,-8.5,-7.67,-5.08,
1700933400000,-6.65,-7.6,-4.93,
1700934000000,-6.63,-6.53,-4.64,
1700934600000,-6.66,-6.37,-4.94,
1700935200000,-8.69,-6.58,-4.9,
1700935800000,-7.71,-6.58,-4.79,
1700936400000,-6.36,-6.44,-4.73,
1700937000000,-8.12,-6.46,-4.84,
1700937600000,-7.75,-6.52,-5.15,
1700938200000,-6.21,-6.53,-4.9,
1700938800000,-7.33,-8.46,-4.96,
1700939400000,-8.31,-8.1,-4.91,
1700940000000,-6.36,-8.03,-4.63,
1700940600000,-7.29,-6.48,-4.74,
1700941200000,-6.54,-7.96,-4.94,
1700941800000,-9.46,-7.47,-4.74,
1700942400000,-6.26,-7.34,-4.48,
1700943000000,-6.23,-7.32,-4.69,
1700943600000,-6.25,-5.78,-4.79,
1700944200000,-6.18,-7.22,-4.72,
1700944800000,-8.12,-7.15,-4.59,
1700945400000,-7.75,-7.11,-4.61,
1700946000000,-7.31,-5.59,-4.61,
1700946600000,-6.04,-7.06,-4.42,
1700947200000,-5.95,-7.03,-4.56,
1700947800000,-5.97,-7,-4.38,
1700948400000,-8.02,-5.55,-4.09,
1700949000000,-5.74,-5.6,-4.38,
1700949600000,-5.76,-6.75,-4.45,
1700950200000,-6.91,-6.65,-4.11,
1700950800000,-5.79,-5.5,-4.41,
1700951400000,-5.7,-6.48,-4.2,
1700952000000,-5.66,-6.45,-4.05,
1700952600000,-7.58,-6.47,-4.24,
1700953200000,-6.69,-5.34,-4.31,
1700953800000,-7.2,-6.56,-4.29,
1700954400000,-5.61,-6.28,-4.34,
1700955000000,-5.64,-6.34,-4.3,
1700955600000,-5.61,-6.18,-4.38,
1700956200000,-6.35,-5.1,-4.36,
1700956800000,-7.65,-5.1,-4.07,
1700957400000,-6.67,-6.26,-4.25,
1700958000000,-5.61,-6.01,-4.17,
1700958600000,-5.58,-6.03,-4.03,
1700959200000,-5.63,-4.95,-4.26,
1700959800000,-4.75,-4.72,-4.46,
1700960400000,-4.76,-5.85,-3.97,
1700961000000,-4.75,-5.81,-4.02,
1700961600000,-5.81,-5.8,-4.3,
1700962200000,-4.79,-4.74,-4.12,
1700962800000,-5.86,-4.7,-4.38,
1700963400000,-4.76,-4.69,-4.32,
1700964000000,-5.44,-4.75,-4.26,
1700964600000,-6.61,-4.73,-4.17,
1700965200000,-4.7,-4.71,-4.4,
1700965800000,-4.61,-4.73,-4.09,
1700966400000,-4.48,-5.35,-4.11,
1700967000000,-5.4,-5.39,-4.05,
1700967600000,-4.39,-6.79,-4.48,
1700968200000,-6.39,-7.14,-4.56,
1700968800000,-4.4,-7.42,-4.29,
1700969400000,-4.62,-7.43,-4.82,
1700970000000,-5.67,-7.2,-4.62,
1700970600000,-4.64,-7.1,-4.6,
1700971200000,-4.57,-7.08,-4.81,
1700971800000,-6.57,-5.53,-4.61,
1700972400000,-4.61,-7.13,-4.31,
1700973000000,-5.59,-7.21,-4.64,
1700973600000,-4.59,-7.18,-4.7,
1700974200000,-4.63,-5.65,-4.73,
1700974800000,-6.95,-7.44,-5,
1700975400000,-5,-7.57,-5.04,
1700976000000,-5.06,-7.65,-5.06,
1700976600000,-5,-7.56,-5.03,
1700977200000,-5.15,-7.69,-4.98,
1700977800000,-6.26,-6.24,-4.83,
1700978400000,-7.21,-7.51,-5,
1700979000000,-5.3,-7.39,-4.57,
1700979600000,-5.31,-7.42,-4.92,
1700980200000,-7.22,-7.73,-4.57,
1700980800000,-6.36,-7.44,-4.59,
1700981400000,-5.89,-6.36,-4.69,
1700982000000,-5.57,-7.37,-6.49,
1700982600000,-8.69,-7.32,-4.28,
1700983200000,-5.62,-7.44,-4.51,
1700983800000,-5.57,-7.5,-4.51,
1700984400000,-5.82,-7.65,-4.15,
1700985000000,-5.76,-7.77,-4.28,
1700985600000,-5.87,-6.65,-4.37,
1700986200000,-5.63,-7.99,-4.24,
1700986800000,-5.62,-8.28,-4.07,
1700987400000,-5.56,-7.47,-4.28,
1700988000000,-5.59,-7.63,-4.48,
1700988600000,-7.77,-7.54,-4.32,
1700989200000,-6.6,-7.53,-4.87,
1700989800000,-5.13,-7.42,-4.49,
1700990400000,-5.13,-7.45,-4.13,
1700991000000,-6.27,-7.59,-4.02,
1700991600000,-5.14,-7.56,-4.34,
1700992200000,-5.54,-6.35,-4.19,
1700992800000,-8.11,-6.39,-4.27,
1700993400000,-5.44,-6.3,-4.32,
1700994000000,-5.23,-6.3,-4.21,
1700994600000,-5.27,-6.17,-4.14,
1700995200000,-7.42,-7.97,-4.37,
1700995800000,-5.28,-8.01,-4.41,
1700996400000,-5.31,-7.93,-4.06,
1700997000000,-5.37,-8.03,-4.22,
1700997600000,-6.36,-7.71,-4.35,
1700998200000,-5.16,-7.89,-4.49,
1700998800000,-5.27,-7.71,-4.09,
1700999400000,-7.29,-7.96,-4.2,
1701000000000,-6.34,-8.2,-4.22,
1701000600000,-6.15,-8.24,-4.14,
