intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat May 25 2024|  TO Fri May 31 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1716575400000,-4.92,-5.63,-4.01,
1716576000000,-4.79,-5.62,-4.06,
1716576600000,-4.8,-5.76,-4.1,
1716577200000,-4.74,-5.81,-3.78,
1716577800000,-6.95,-5.64,-4.28,
1716578400000,-4.83,-5.76,-4,
1716579000000,-6.74,-5.54,-3.85,
1716579600000,-4.86,-6.29,-3.95,
1716580200000,-4.8,-5.52,-4.05,
1716580800000,-4.69,-5.5,-3.96,
1716581400000,-6.78,-5.7,-3.96,
1716582000000,-4.76,-5.53,-4.15,
1716582600000,-6.8,-5.59,-4.04,
1716583200000,-4.71,-5.58,-3.82,
1716583800000,-6.78,-5.63,-4.07,
1716584400000,-4.7,-5.59,-4.01,
1716585000000,-4.64,-6.18,-3.83,
1716585600000,-4.8,-5.52,-4.15,
1716586200000,-6.78,-5.4,-4.48,
1716586800000,-4.22,-5.38,-3.89,
1716587399000,-6.17,-5.59,-3.96,
1716587400000,-6.23,-5.68,-4,
1716588000000,-4.18,-5.49,-3.86,
1716588600000,-6.17,-5.42,-3.8,
1716589199000,-4.13,-6.08,-3.9,
1716589200000,-4.21,-6.13,-3.9,
1716589800000,-6.18,-5.38,-3.97,
1716590400000,-4.17,-5.31,-3.83,
1716591000000,-6.19,-5.35,-4.12,
1716591600000,-4.24,-5.37,-4.21,
1716592200000,-6.09,-5.32,-3.82,
1716592800000,-4.19,-5.32,-3.91,
1716593400000,-4.25,-6.2,-4.01,
1716594000000,-4.06,-5.36,-3.76,
1716594600000,-4.15,-5.33,-4.02,
1716595200000,-6.15,-5.23,-3.98,
1716595800000,-4.17,-5.25,-3.89,
1716596400000,-6.16,-5.18,-3.98,
1716596999000,-3.44,-5.26,-3.98,
1716597000000,-3.47,-5.21,-3.97,
1716597600000,-3.33,-5.46,-3.84,
1716598200000,-3.33,-5.14,-3.86,
1716598800000,-3.34,-5.23,-4.06,
1716599400000,-5.44,-5.24,-4.05,
1716600000000,-3.41,-5.14,-4.27,
1716600600000,-3.37,-5.16,-4.46,
1716601200000,-3.41,-5.1,-4.07,
1716601800000,-3.29,-5.1,-4.24,
1716602400000,-5.31,-5.38,-4.02,
1716603000000,-3.33,-5.2,-3.71,
1716603600000,-3.12,-5.26,-3.58,
1716604199000,-3.16,-5.37,-3.93,
1716604200000,-3.18,-5.37,-3.93,
1716604800000,-3.22,-5.34,-3.77,
1716605400000,-5.48,-5.83,-4.02,
1716606000000,-3.37,-5.09,-4.02,
1716606600000,-3.12,-5.26,-3.88,
1716607200000,-5.23,-5.18,-3.93,
