intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Aug 26 2023|  TO Fri Sep 01 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1692988200000,-5.54,-6.3,-4.22,
1692988800000,-5.56,-6.33,-4.16,
1692989400000,-5.49,-6.29,-3.79,
1692990000000,-6.62,-6.26,-4.17,
1692990600000,-6.67,-6.3,-4.12,
1692991200000,-5.5,-6.32,-4.12,
1692991800000,-5.53,-6.26,-3.99,
1692992400000,-4.29,-6.2,-4.14,
1692993000000,-5.49,-6.32,-3.89,
1692993600000,-5.42,-6.27,-3.81,
1692994200000,-5.51,-6.34,-4.22,
1692994800000,-5.48,-6.26,-4.17,
1692996000000,-6.74,-6.3,-4.07,
1692996600000,-5.45,-6.22,-4.09,
1692997200000,-4.24,-6.17,-3.98,
1692997800000,-5.43,-6.34,-4.06,
1692998400000,-5.48,-6.22,-4.27,
1692999000000,-4.25,-6.12,-4.05,
1692999600000,-5.53,-6.13,-3.83,
1693000200000,-6.58,-5.77,-4.14,
1693000800000,-4.3,-5.91,-4.24,
1693001400000,-6.16,-6.06,-4.04,
1693002000000,-5.45,-6,-4.2,
1693002600000,-4.29,-6.09,-4.13,
1693003200000,-5.48,-6.09,-4.22,
1693003800000,-6.56,-5.89,-3.86,
1693004400000,-6.69,-6,-3.83,
1693005000000,-5.64,-6.09,-3.52,
1693005600000,-5.66,-6,-3.91,
1693006200000,-5.56,-5.96,-3.87,
1693006800000,-4.38,-5.89,-3.6,
1693007399000,-6.71,-6,-3.95,
1693008600000,-4.37,-5.97,-3.72,
1693009200000,-5.66,-5.88,-3.7,
1693009800000,-5.51,-5.96,-3.92,
1693010400000,-5.13,-5.88,-3.75,
1693011600000,-6.11,-5.78,-3.7,
1693012200000,-4.99,-5.82,-3.77,
1693012800000,-4.95,-5.99,-3.44,
1693014000000,-6.05,-5.97,-3.98,
1693014600000,-6.81,-5.99,-3.76,
1693015200000,-3.75,-5.99,-3.91,
1693015800000,-4.98,-5.99,-3.85,
1693016400000,-4.98,-5.76,-3.85,
1693016886000,-4.94,-5.78,-3.93,
1693017000000,-3.85,-5.89,-3.92,
1693017600000,-6.19,-5.46,-3.86,
1693018200000,-4.99,-5.35,-3.47,
1693018800000,-3.82,-5.6,-3.75,
1693019251000,-6.13,-5.64,-3.72,
1693019400000,-4.99,-5.68,-3.67,
1693020000000,-5.05,-5.64,-3.52,
1693020600000,-4.99,-5.64,-4.26,
1693021200000,-6.37,-5.81,-3.91,
1693021800000,-5.18,-5.89,-4.05,
1693022400000,-5.24,-5.97,-4.04,
1693023000000,-5.28,-5.9,-4.04,
1693023600000,-4.1,-6.02,-4,
1693024200000,-6.04,-6.08,-4.37,
1693024800000,-7.13,-6.28,-4.15,
1693025400000,-7.27,-6.51,-4.4,
1693026000000,-8.14,-6.37,-4.41,
1693026600000,-8.26,-6.86,-4.27,
1693027200000,-6.61,-7.03,-4.5,
1693027800000,-6.71,-7.04,-4.63,
1693028400000,-6.73,-7.23,-4.55,
1693029000000,-6.84,-7.05,-4.69,
1693029600000,-6.83,-7.18,-4.67,
1693030200000,-6.57,-7.16,-4.71,
1693030800000,-6.49,-7.19,-4.8,
1693031400000,-6.48,-7.52,-4.55,
