intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Jan 27 2024|  TO Fri Feb 02 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1706293800000,-5.05,-4.97,-3.68,
1706294400000,-6.57,-5.01,-3.69,
1706295000000,-4.7,-4.79,-3.85,
1706295600000,-4.58,-4.85,-3.66,
1706296200000,-4.6,-4.62,-3.73,
1706296800000,-4.62,-4.39,-3.81,
1706297400000,-4.69,-4.5,-3.71,
1706298000000,-4.67,-4.5,-3.73,
1706298600000,-6.58,-4.36,-3.43,
1706299200000,-4.65,-4.43,-3.5,
1706299800000,-6.55,-4.43,-3.62,
1706300400000,-4.71,-4.43,-3.47,
1706301000000,-6.34,-4.37,-3.7,
1706301600000,-4.49,-4.35,-3.63,
1706302200000,-4.47,-4.34,-3.72,
1706302800000,-4.49,-4.44,-3.71,
1706303400000,-6.4,-4.36,-3.68,
1706304000000,-4.48,-4.3,-3.44,
1706304600000,-6.52,-4.31,-3.67,
1706305200000,-4.47,-4.31,-3.41,
1706305800000,-4.5,-4.36,-3.54,
1706306400000,-4.47,-4.27,-3.6,
1706307000000,-4.82,-4.16,-3.51,
1706307600000,-4.47,-4.36,-3.84,
1706308200000,-4.47,-4.4,-3.59,
1706308800000,-6.27,-4.35,-3.49,
1706309400000,-4.54,-4.34,-3.58,
1706310000000,-6.54,-4.25,-3.54,
1706310600000,-4.55,-4.32,-3.67,
1706311200000,-6.43,-4.04,-3.63,
1706311800000,-4.44,-4.11,-3.58,
1706312400000,-6.56,-4.12,-3.83,
1706313000000,-4.53,-4.07,-3.58,
1706313600000,-4.47,-4.11,-3.47,
1706314200000,-6.31,-4.07,-3.71,
1706314800000,-4.54,-4.06,-3.38,
1706315400000,-4.53,-3.94,-3.45,
1706316000000,-4.54,-4.12,-3.5,
1706316600000,-4.61,-4.02,-3.5,
1706317200000,-3.93,-3.95,-3.89,
1706317800000,-3.86,-3.8,-3.66,
1706318400000,-3.8,-3.9,-3.38,
1706319000000,-3.8,-3.85,-3.63,
1706319600000,-3.79,-3.88,-3.54,
1706320200000,-3.78,-3.88,-3.49,
1706320800000,-3.84,-3.83,-3.67,
1706321400000,-3.82,-3.83,-3.48,
1706322000000,-3.85,-3.86,-3.69,
1706322600000,-3.82,-3.9,-3.75,
1706323200000,-3.91,-3.89,-3.56,
1706323800000,-5.63,-4.06,-3.88,
1706324400000,-3.75,-3.99,-3.87,
1706325000000,-3.79,-4.03,-3.61,
1706325600000,-3.78,-3.92,-3.79,
1706326200000,-3.81,-4.02,-3.56,
1706326800000,-5.73,-4.18,-3.68,
1706327400000,-3.79,-4.24,-3.88,
1706328000000,-4.19,-4.41,-3.63,
1706328600000,-3.97,-4.49,-3.86,
1706329200000,-4.37,-5.19,-3.58,
1706329800000,-4.46,-5.26,-3.94,
1706330400000,-4.86,-5.19,-3.75,
1706331000000,-4.54,-5.12,-3.6,
1706331600000,-4.59,-5.05,-3.79,
1706332200000,-7.95,-5.22,-3.82,
1706332800000,-4.85,-5.21,-4.48,
1706333400000,-4.68,-5.3,-4.34,
1706334000000,-4.75,-5.61,-4.15,
1706334600000,-4.85,-5.42,-4.25,
1706335200000,-5.01,-5.54,-4.19,
1706335800000,-4.9,-5.61,-4.23,
1706336400000,-4.97,-5.5,-4.4,
1706337000000,-5.03,-5.6,-3.61,
1706337600000,-5.93,-5.49,-3.77,
1706338200000,-6.11,-5.87,-3.48,
1706338800000,-5.38,-5.62,-3.75,
1706339400000,-7.46,-5.94,-3.7,
1706340000000,-5.19,-5.88,-3.55,
1706340600000,-4.89,-5.82,-3.82,
1706341200000,-7.43,-6.03,-3.57,
1706341800000,-4.63,-5.8,-3.94,
1706342400000,-4.48,-5.81,-4.08,
1706343000000,-4.37,-5.52,-4.07,
1706343600000,-4.72,-5.87,-3.83,
1706344200000,-4.4,-5.58,-3.84,
1706344800000,-4.43,-5.56,-3.54,
1706345400000,-4.29,-5.29,-3.83,
1706346000000,-4.33,-5.54,-3.66,
