intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Apr 27 2024|  TO Fri May 03 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1714156200000,-6.88,-6.32,-4.05,
1714156800000,-6.71,-6.32,-4.11,
1714157400000,-6.66,-6.35,-4.05,
1714158000000,-4.4,-6.26,-4.05,
1714158600000,-4.4,-6.02,-4.05,
1714159192000,-4.42,-6.06,-4.03,
1714159200000,-4.38,-6.03,-4.17,
1714159800000,-4.5,-6.25,-4.15,
1714160400000,-4.49,-6.36,-4,
1714161000000,-4.8,-6.46,-4.42,
1714161488000,-6.71,-6.34,-4.1,
1714161600000,-4.48,-6.54,-4.14,
1714162200000,-4.36,-6.34,-4.08,
1714162799000,-4.44,-6.29,-4.04,
1714162800000,-4.75,-6.28,-4.07,
1714163400000,-4.46,-6.24,-4.22,
1714164000000,-4.57,-6.3,-4.05,
1714164600000,-4.42,-6.27,-4.17,
1714165200000,-4.36,-6.22,-4.12,
1714165800000,-4.8,-6.39,-4.03,
1714166400000,-4.49,-6.3,-4.17,
1714167000000,-4.51,-6.02,-3.91,
1714167600000,-4.51,-5.95,-4.23,
1714168200000,-4.69,-5.9,-4.06,
1714168800000,-4.4,-5.92,-4.01,
1714169400000,-4.35,-5.96,-3.85,
1714170000000,-4.63,-6.11,-3.99,
1714170600000,-4.51,-5.86,-4.01,
1714171200000,-4.39,-5.95,-3.97,
1714171800000,-4.45,-5.79,-4.25,
1714172400000,-4.44,-5.71,-4.01,
1714173000000,-4.53,-5.64,-4.06,
1714173600000,-4.46,-5.62,-3.95,
1714174024000,-4.47,-5.79,-4.3,
1714174200000,-4.51,-5.63,-4.13,
1714174799000,-6.42,-5.81,-4,
1714175400000,-6.36,-5.63,-4.13,
1714176000000,-6.5,-5.64,-4.22,
1714176600000,-6.38,-5.43,-4.15,
1714177200000,-6.4,-5.48,-4,
1714177800000,-3.44,-5.17,-4.12,
1714178400000,-3.54,-5.12,-4.09,
