intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Oct 28 2023|  TO Fri Nov 03 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1698431400000,-6.65,-6.83,-5.91,
1698432000000,-6.57,-6.54,-5.34,
1698432600000,-6.5,-6.36,-5.39,
1698433200000,-6.58,-6.37,-5.34,
1698433800000,-6.43,-6.42,-5.35,
1698434400000,-6.17,-6.3,-5.11,
1698435000000,-6.22,-6.21,-5.15,
1698435600000,-6.22,-6.13,-4.95,
1698436200000,-6.24,-6.12,-6.13,
1698436800000,-6.22,-6.01,-4.79,
1698437400000,-6.39,-6.02,-5.24,
1698438000000,-6.37,-5.98,-4.98,
1698438600000,-6.51,-6.09,-4.53,
1698439200000,-6.07,-5.68,-4.95,
1698439800000,-6.04,-5.7,-4.25,
1698440400000,-6.09,-5.74,-4.43,
1698441000000,-6.25,-5.77,-4.24,
1698441600000,-6.32,-5.77,-4.38,
1698442200000,-5.99,-5.63,-4.23,
1698442800000,-6.12,-5.68,-4.31,
1698443400000,-6,-5.62,-4.64,
1698444000000,-4.47,-5.61,-4.28,
1698444600000,-6.3,-5.64,-4.1,
1698445200000,-6.28,-5.66,-4.24,
1698445800000,-6.09,-5.57,-4.11,
1698446400000,-6.11,-5.53,-4.45,
1698447000000,-4.48,-5.55,-4.24,
1698447600000,-5.95,-5.54,-4.3,
1698448200000,-6.29,-5.54,-4.28,
1698448800000,-6.26,-5.65,-4.07,
1698449400000,-6.31,-5.58,-4.56,
1698450000000,-4.45,-5.52,-4.12,
1698450600000,-6.12,-5.56,-4.34,
1698451200000,-6.16,-5.69,-4.3,
1698451800000,-6.15,-5.6,-4.1,
1698452400000,-4.25,-5.41,-4.33,
1698453000000,-5.52,-5.34,-4.29,
1698453600000,-5.52,-5.41,-4.32,
1698454200000,-5.33,-5.35,-4.06,
1698454800000,-3.8,-5.39,-4.45,
1698455400000,-5.36,-5.38,-4.51,
1698456000000,-5.36,-5.48,-4.13,
1698456600000,-5.64,-5.51,-4.56,
1698457200000,-5.6,-5.46,-4.25,
1698457800000,-3.92,-5.5,-3.82,
1698458400000,-5.36,-5.49,-4.67,
1698459000000,-5.28,-5.43,-4.11,
1698459600000,-5.29,-5.44,-3.98,
1698460200000,-5.32,-5.54,-4.45,
1698460800000,-5.54,-5.62,-4.15,
1698461400000,-5.59,-5.85,-3.92,
1698462000000,-5.37,-5.81,-4.27,
1698462600000,-5.37,-5.93,-4.29,
1698463200000,-5.31,-6.08,-4.14,
1698463800000,-5.5,-6.02,-4.72,
1698464400000,-5.7,-6.11,-4,
1698465000000,-6.1,-6.45,-4.26,
1698465600000,-6.17,-6.46,-4.51,
1698466200000,-7.04,-6.72,-4.43,
1698466800000,-6.59,-7.02,-4.74,
1698467400000,-6.58,-7.17,-4.66,
1698468000000,-6.36,-7.06,-4.59,
1698468600000,-6.37,-7.26,-4.74,
1698469200000,-8.49,-7.25,-4.4,
1698469800000,-7.03,-7.06,-4.43,
1698470400000,-6.41,-6.95,-4.88,
1698471000000,-6.69,-7.2,-4.53,
1698471600000,-6.76,-7.25,-4.51,
1698472200000,-6.73,-7.19,-4.47,
1698472800000,-6.73,-7.34,-4.59,
1698473400000,-6.58,-7.33,-4.93,
1698474000000,-6.58,-7.17,-5.32,
1698474600000,-6.51,-7.26,-4.51,
1698475200000,-6.71,-7.17,-4.57,
1698475800000,-6.48,-7.06,-4.82,
1698476400000,-6.45,-7.1,-4.47,
1698477000000,-6.29,-7.07,-4.76,
1698477600000,-6.22,-7,-5,
1698478200000,-6.22,-6.84,-4.42,
1698478800000,-6.34,-7.01,-4.65,
1698479400000,-6.33,-7.28,-5.38,
1698480000000,-6.29,-7.03,-5.49,
1698480600000,-6.62,-7.04,-4.96,
1698481200000,-7.38,-7.17,-5.14,
1698481800000,-7.32,-7.18,-4.64,
1698482400000,-7.08,-7.13,-4.6,
1698483000000,-7,-6.97,-4.78,
1698483600000,-6.99,-6.83,-5.04,
1698484200000,-7.15,-7.05,-4.79,
1698484800000,-6.61,-7.09,-4.45,
1698485400000,-6.68,-6.87,-4.79,
1698486000000,-6.63,-6.94,-4.91,
1698486600000,-6.74,-7.01,-5.09,
1698487200000,-6.8,-7.31,-4.59,
1698487800000,-6.62,-7.07,-4.96,
1698488400000,-6.81,-7.27,-4.57,
1698489000000,-6.8,-7.22,-4.57,
1698489600000,-7.23,-7.36,-5,
1698490200000,-7.1,-7.53,-4.69,
1698490800000,-7.18,-7.49,-4.48,
1698491400000,-6.77,-7.47,-4.7,
1698492000000,-6.79,-7.37,-5.21,
1698492600000,-6.58,-7.35,-4.68,
1698493200000,-6.6,-7.31,-4.94,
1698493800000,-6.37,-7.41,-5.07,
1698494400000,-6.41,-7.48,-5.05,
1698495000000,-6.38,-7.28,-5.07,
1698495600000,-6.82,-7.23,-4.97,
1698496200000,-7.18,-7.08,-4.78,
1698496800000,-7.27,-7.21,-4.8,
1698497400000,-7.29,-7.26,-4.99,
1698498000000,-7,-7.36,-4.78,
1698498600000,-6.98,-7.27,-5.09,
1698499200000,-6.83,-7.37,-5.33,
1698499800000,-6.84,-7.39,-5.25,
1698500400000,-7.11,-7.32,-4.93,
1698501000000,-7.78,-7.3,-4.7,
1698501600000,-7.21,-7.33,-4.61,
1698502200000,-7.23,-7.29,-4.94,
1698502800000,-6.95,-7.1,-4.43,
1698503400000,-6.86,-6.97,-4.59,
1698504000000,-6.77,-6.92,-4.85,
1698504600000,-7,-6.87,-4.4,
1698505200000,-6.97,-6.81,-4.96,
1698505800000,-6.74,-6.89,-5.09,
1698506400000,-6.76,-6.88,-4.93,
1698507000000,-6.87,-6.9,-5.37,
1698507600000,-6.83,-6.88,-5.31,
1698508200000,-6.83,-7.01,-4.82,
1698508800000,-7.03,-7.24,-5.27,
1698509400000,-7,-7.03,-5.45,
1698510000000,-7.03,-6.86,-5.03,
1698510600000,-6.76,-6.9,-4.68,
1698511200000,-6.77,-6.77,-5.26,
1698511800000,-6.81,-6.78,-4.65,
1698512400000,-6.74,-6.78,-4.79,
1698513000000,-7.04,-6.79,-5.33,
1698513600000,-7.09,-6.76,-5.03,
1698514200000,-6.69,-6.83,-5.1,
1698514800000,-6.35,-6.91,-5.28,
1698515400000,-6.34,-6.95,-4.99,
1698516000000,-6.33,-6.88,-5.13,
1698516600000,-6.39,-7.11,-5.01,
1698517200000,-6.73,-6.89,-5.27,
1698517800000,-6.67,-6.98,-4.76,
1698518400000,-6.68,-6.9,-4.81,
1698519000000,-6.37,-6.74,-5.26,
1698519600000,-6.43,-6.83,-4.95,
1698520200000,-6.43,-6.79,-5.37,
1698520800000,-6.41,-6.8,-5.18,
1698521400000,-6.52,-6.72,-5.2,
1698522000000,-6.74,-6.78,-5.03,
1698522600000,-6.71,-6.81,-4.89,
1698523200000,-6.72,-6.72,-4.75,
1698523800000,-7.21,-6.84,-4.81,
1698524400000,-6.39,-6.75,-5.16,
1698525000000,-6.44,-6.79,-4.89,
1698525600000,-6.37,-6.64,-5.04,
1698526200000,-6.46,-6.67,-5.19,
1698526800000,-6.47,-6.71,-5.33,
