intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Jun 29 2024|  TO Sun Jun 30 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1719599400000,-5.3,-5.65,-4.83,
1719600000000,-5.27,-5.63,-5.02,
1719600600000,-5.5,-5.64,-5.14,
1719601200000,-7.16,-5.85,-4.67,
1719601800000,-5.24,-6.46,-4.88,
1719602400000,-5.46,-5.78,-4.83,
1719603000000,-5.51,-5.91,-4.56,
1719603600000,-5.29,-5.82,-4.79,
1719604200000,-5.37,-5.69,-4.99,
1719604800000,-5.3,-5.83,-4.78,
1719605400000,-5.51,-5.56,-5.06,
1719606000000,-5.45,-5.56,-5.01,
1719606600000,-4.75,-5.52,-4.64,
1719607200000,-4.76,-5.57,-4.81,
1719607800000,-5.02,-5.58,-4.8,
1719608400000,-5.11,-5.59,-4.79,
1719609000000,-6.92,-5.69,-4.57,
1719609600000,-4.73,-5.82,-4.69,
1719610200000,-4.97,-6.33,-4.81,
1719610800000,-4.95,-5.52,-4.59,
1719611400000,-4.77,-5.65,-4.78,
1719612000000,-4.73,-5.6,-4.85,
1719612600000,-4.74,-5.52,-4.8,
1719613200000,-4.98,-5.78,-4.42,
1719613800000,-4.94,-5.51,-4.83,
1719614400000,-4.91,-5.55,-4.82,
1719615000000,-4.66,-5.76,-4.61,
1719615600000,-4.88,-5.65,-4.68,
1719616200000,-6.81,-5.52,-4.89,
1719616800000,-4.71,-5.74,-4.76,
1719617400000,-4.75,-5.49,-4.59,
1719618000000,-4.93,-5.31,-4.85,
1719618600000,-4.78,-5.23,-4.72,
1719619200000,-6.66,-5.29,-4.66,
1719619800000,-4.64,-5.37,-4.83,
1719620400000,-4.88,-5.42,-5.01,
1719621000000,-4.29,-5.19,-4.65,
1719621600000,-6.04,-6,-4.84,
1719622200000,-4.03,-5.49,-5.01,
1719622800000,-3.86,-5.39,-4.71,
1719623400000,-3.9,-5.27,-4.68,
1719624000000,-3.92,-5.34,-4.86,
1719624600000,-4.08,-5.18,-4.79,
1719625200000,-3.99,-5.24,-4.49,
1719625800000,-3.79,-5.31,-5.11,
1719626400000,-3.77,-5.44,-5.03,
1719627000000,-3.99,-5.28,-4.83,
1719627600000,-3.79,-5.42,-5,
1719628200000,-3.83,-5.36,-4.99,
1719628800000,-4.04,-5.34,-4.96,
1719629400000,-3.96,-5.75,-4.58,
1719630000000,-3.77,-6.68,-4.76,
1719630600000,-3.8,-5.68,-4.87,
1719631200000,-3.74,-5.75,-4.7,
1719631800000,-4.04,-5.71,-4.93,
1719632400000,-3.77,-5.71,-5.19,
1719633000000,-3.76,-6.56,-4.72,
1719633600000,-3.91,-5.99,-4.65,
1719634200000,-4,-5.97,-4.91,
1719634800000,-5.78,-6.26,-4.81,
1719635400000,-4.15,-6.52,-4.63,
1719636000000,-4.28,-6.6,-4.91,
1719636600000,-5.08,-6.69,-4.81,
1719637200000,-5.33,-6.68,-6.07,
1719637800000,-5.65,-6.76,-6.33,
1719638400000,-5.73,-6.75,-5.77,
1719639000000,-5.8,-6.84,-5.97,
1719639600000,-5.88,-7.33,-6.71,
1719640200000,-8.19,-7.13,-6.29,
1719640800000,-5.88,-7.47,-5.73,
1719641400000,-6.03,-8.1,-6.27,
1719642000000,-6.17,-8.16,-6.62,
1719642600000,-5.83,-8.12,-6.42,
1719643200000,-6.08,-8.33,-6.45,
1719643800000,-6.37,-8.07,-7.01,
1719644400000,-5.9,-7.49,-6,
1719645000000,-5.67,-7.54,-5.88,
1719645600000,-9.16,-7.61,-6.37,
1719646200000,-6.13,-8.2,-5.61,
1719646800000,-5.98,-7.48,-5.63,
1719647400000,-5.62,-7.43,-5.5,
1719648000000,-6.34,-6.99,-5.69,
1719648600000,-5.79,-6.82,-5.84,
1719649200000,-5.74,-6.91,-5.25,
1719649800000,-5.8,-6.93,-4.95,
1719650400000,-6.05,-6.73,-5.26,
1719651000000,-5.54,-7.18,-5.17,
1719651600000,-5.83,-7.44,-5.03,
1719652200000,-5.85,-7.23,-5.42,
1719652800000,-5.94,-7.38,-5.07,
1719653400000,-6,-8.34,-6.29,
1719654000000,-8.15,-10.46,-6.28,
1719654600000,-8.45,-10.05,-6.11,
1719655200000,-8.06,-8.87,-6.34,
1719655800000,-8.81,-8.94,-5.6,
1719656400000,-7.84,-9.33,-5.73,
1719657000000,-6.76,-9.32,-5.82,
1719657600000,-5.91,-9.04,-5.61,
1719658200000,-6.06,-8.29,-5.43,
1719658800000,-5.63,-8.56,-5.64,
1719659400000,-5.88,-8.66,-5.76,
1719660000000,-5.83,-8.71,-5.63,
1719660600000,-6.01,-9.59,-5.4,
1719661200000,-6.52,-8.12,-5.54,
1719661800000,-5.77,-8.71,-5.44,
1719662400000,-5.69,-9.34,-5.41,
1719663000000,-5.53,-7.41,-5.39,
1719663600000,-5.27,-7.66,-5.52,
1719664200000,-5.91,-8.68,-5.42,
1719664800000,-5.53,-7.96,-5.48,
1719665400000,-5.75,-6.98,-5.65,
1719666000000,-5.79,-6.54,-5.49,
1719666600000,-6.11,-6.42,-5.47,
1719667200000,-5.99,-6.4,-5.16,
1719667800000,-8.01,-6.37,-5.59,
1719668400000,-8.05,-6.47,-5.49,
1719669000000,-5.83,-6.49,-5.37,
1719669600000,-5.07,-6.47,-5.24,
1719670200000,-4.99,-6.2,-4.92,
1719670800000,-5.09,-6.65,-4.95,
1719671400000,-5.14,-6.45,-5.22,
1719672000000,-4.86,-6.25,-5.2,
1719672600000,-4.83,-7.02,-5,
1719673200000,-5.44,-6.46,-4.98,
1719673800000,-5.6,-6.13,-4.95,
