intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Jul 29 2023|  TO Fri Aug 04 2023
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1690569000000,-4.36,-5.87,-4.39,
1690569600000,-4.36,-5.71,-4.33,
1690570200000,-4.62,-5.32,-4.31,
1690570800000,-4.4,-4.85,-4.3,
1690571400000,-4.37,-4.86,-4.23,
1690572000000,-4.4,-4.97,-4.29,
1690572600000,-4.44,-4.79,-4.16,
1690573200000,-4.38,-4.85,-4.24,
1690573800000,-4.4,-4.96,-4.09,
1690574400000,-4.42,-4.87,-4.04,
1690575000000,-4.37,-4.88,-3.92,
1690575600000,-4.4,-4.86,-4.06,
1690576200000,-4.35,-4.8,-4.39,
1690576800000,-4.52,-4.79,-4.17,
1690577400000,-4.33,-4.82,-4.27,
1690578000000,-4.35,-4.91,-4.31,
1690578600000,-4.31,-5.09,-3.86,
1690579200000,-4.44,-4.84,-4.09,
1690579800000,-4.34,-5.83,-4.26,
1690580400000,-4.44,-5.81,-4.2,
1690581000000,-4.4,-5.89,-4.04,
1690581600000,-4.42,-5.85,-3.96,
1690582200000,-4.41,-5.86,-4.33,
1690582800000,-4.32,-5.92,-4.08,
1690583400000,-4.53,-5.94,-4.35,
1690584000000,-4.3,-5.81,-4.38,
1690584600000,-4.36,-5.82,-4.22,
1690585200000,-4.4,-4.69,-3.94,
1690585800000,-4.36,-5.88,-4.02,
1690586400000,-4.41,-5.89,-4.41,
1690587000000,-4.37,-5.81,-4.1,
1690587600000,-4.45,-5.92,-4.1,
1690588200000,-4.34,-4.76,-4.24,
1690588800000,-4.37,-5.86,-4.33,
1690589400000,-4.32,-4.62,-4.06,
1690590000000,-4.48,-5.86,-4.01,
1690590600000,-4.08,-6.06,-4.26,
1690591200000,-3.66,-4.43,-4.28,
1690591800000,-3.69,-5.64,-4,
1690592400000,-3.72,-5.61,-3.9,
1690593000000,-3.69,-5.61,-4.32,
1690593600000,-3.71,-5.53,-4.07,
1690594200000,-3.68,-4.59,-4.04,
1690594800000,-3.73,-4.58,-4.49,
1690595400000,-3.7,-4.58,-4.32,
1690596000000,-3.65,-4.57,-3.89,
1690596600000,-3.67,-4.62,-3.99,
1690597200000,-3.68,-4.66,-4.18,
1690597800000,-3.67,-4.68,-4.26,
1690598400000,-3.71,-4.67,-4.13,
