intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Feb 03 2024|  TO Fri Feb 09 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1706898600000,-4.45,-6.29,-3.95,
1706899200000,-4.47,-6.75,-4.11,
1706899800000,-4.65,-7.08,-3.99,
1706900400000,-6.19,-6.78,-4.47,
1706901000000,-4.25,-6.65,-4.21,
1706901600000,-4.55,-6.65,-4.15,
1706902200000,-4.44,-6.26,-3.95,
1706902800000,-4.23,-6.2,-4.19,
1706903400000,-4.3,-6.25,-3.86,
1706904000000,-4.46,-6.16,-4.1,
1706904600000,-6.45,-6.32,-4.13,
1706905200000,-4.27,-6.19,-3.95,
1706905800000,-6.25,-6.16,-4.32,
1706906400000,-4.87,-6.1,-4,
1706907000000,-6.22,-5.97,-3.93,
1706907600000,-4.24,-5.81,-4.01,
1706908200000,-6.16,-6.01,-4.01,
1706908800000,-4.45,-6.01,-4.08,
1706909400000,-6.27,-5.82,-3.96,
1706910000000,-4.21,-5.79,-3.73,
1706910600000,-6.15,-5.82,-3.95,
1706911200000,-4.16,-5.83,-3.8,
1706911800000,-6.13,-5.63,-4.01,
1706912400000,-4.45,-5.76,-4.23,
1706913000000,-6.3,-5.6,-3.8,
1706913600000,-4.4,-5.6,-4.19,
1706914200000,-4.47,-5.62,-3.86,
1706914800000,-4.18,-5.6,-4.04,
1706915400000,-6.13,-5.66,-4.07,
1706916000000,-4.51,-5.68,-4.08,
1706916600000,-6.32,-5.65,-4.04,
1706917200000,-4.24,-5.74,-3.85,
1706917800000,-6.39,-5.48,-3.95,
1706918400000,-4.19,-5.17,-3.89,
1706919000000,-4.16,-5.13,-3.82,
1706919600000,-4.58,-5.24,-4,
1706920200000,-4.32,-5.11,-3.98,
1706920800000,-6.13,-5.22,-3.9,
1706921400000,-4.04,-5.1,-4.12,
1706922000000,-4.26,-4.92,-3.72,
1706922600000,-4.65,-5.03,-3.9,
1706923200000,-3.53,-5,-3.91,
1706923800000,-5.48,-4.98,-3.87,
1706924400000,-3.59,-4.97,-4,
1706925000000,-5.37,-4.93,-3.88,
1706925600000,-4.03,-4.97,-4.18,
1706926200000,-3.69,-4.98,-4.1,
1706926800000,-3.43,-4.85,-3.9,
1706927400000,-3.81,-4.96,-4.01,
1706928000000,-6.15,-4.97,-4.03,
1706928600000,-3.76,-5.12,-3.95,
1706929200000,-4.21,-5.28,-4.08,
1706929800000,-6.3,-5.39,-3.83,
1706930400000,-4.22,-5.13,-4.1,
1706931000000,-6.23,-5.21,-4.3,
1706931600000,-4.73,-5.64,-3.77,
1706932200000,-6.97,-5.8,-4.77,
1706932800000,-5.16,-5.85,-3.69,
1706933400000,-5.42,-5.93,-3.8,
1706934000000,-5.52,-5.96,-3.71,
1706934600000,-5.71,-6.5,-3.89,
1706935200000,-5.52,-6.25,-3.89,
1706935800000,-6.25,-6.51,-4.47,
1706936400000,-5.87,-6.5,-4.2,
1706937000000,-8.18,-6.41,-4.43,
1706937600000,-6.32,-6.56,-4.36,
1706938200000,-5.85,-6.46,-4.3,
1706938800000,-6.1,-6,-4.9,
1706939400000,-6.56,-6.75,-4.73,
1706940000000,-6.87,-6.11,-5.53,
1706940600000,-6.42,-6.13,-5.57,
1706941200000,-8.93,-6.29,-4.74,
1706941800000,-6.13,-6.43,-4.77,
1706942400000,-8.14,-6.45,-4.86,
1706943000000,-6.23,-6.34,-5.21,
1706943600000,-8.46,-6.28,-4.89,
1706944200000,-5.99,-6.63,-4.9,
1706944800000,-8.39,-6.7,-4.8,
1706945400000,-6.26,-6.36,-4.75,
1706946000000,-8.1,-6.33,-4.74,
1706946600000,-6.21,-6.39,-4.55,
1706947200000,-8.42,-6.21,-3.87,
1706947800000,-6.03,-7.41,-3.81,
1706948400000,-8.25,-6.52,-3.61,
1706949000000,-6.19,-6.32,-4.38,
1706949600000,-8.65,-6.36,-4.63,
1706950200000,-6.45,-7.03,-4.73,
1706950800000,-6.43,-6.7,-4.6,
1706951400000,-6.58,-6.88,-4.84,
1706952000000,-6.51,-6.36,-4.77,
1706952600000,-6.96,-6.53,-4.99,
1706953200000,-6.71,-6.62,-5,
1706953800000,-6.38,-6.37,-4.84,
1706954400000,-6.58,-6.44,-4.81,
1706955000000,-6.79,-6.01,-5.15,
1706955600000,-6.62,-6.18,-4.92,
1706956200000,-8.95,-6.38,-4.96,
1706956800000,-6.37,-6.92,-4.22,
1706957400000,-8.03,-6.55,-4.1,
1706958000000,-5.87,-6.35,-4.24,
1706958600000,-8.13,-6.26,-4.02,
1706959200000,-5.71,-6.21,-3.96,
1706959800000,-8.15,-6.05,-3.97,
1706960400000,-5.81,-6.02,-3.88,
1706961000000,-8.53,-6.32,-4.11,
1706961600000,-5.61,-5.96,-3.96,
1706962200000,-6.61,-6.44,-3.92,
1706962800000,-4.41,-6.89,-4.05,
1706963400000,-6.98,-6.76,-4.13,
1706964000000,-4.86,-6.63,-4.06,
1706964600000,-7.46,-6.64,-4.38,
1706965200000,-5.27,-6.95,-4.35,
1706965800000,-7.35,-7.01,-4.18,
1706966400000,-5.13,-6.96,-4.38,
1706967000000,-5.07,-6.92,-4.06,
1706967600000,-4.95,-6.84,-4.03,
1706968200000,-4.66,-6.7,-4.12,
1706968800000,-4.85,-6.67,-3.89,
1706969400000,-6.83,-6.59,-4,
1706970000000,-4.41,-6.7,-4.14,
