intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Mar 30 2024|  TO Fri Apr 05 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1711737000000,-6.97,-6.15,-4.35,
1711737600000,-6.74,-6.06,-4.06,
1711738200000,-4.72,-6.13,-4.18,
1711738800000,-4.76,-6.03,-4.34,
1711739400000,-6.82,-5.45,-3.93,
1711740000000,-6.82,-5.71,-4.34,
1711740600000,-6.81,-5.63,-4.31,
1711741200000,-7.89,-5.61,-4.07,
1711741800000,-6.81,-5.63,-4.19,
1711742400000,-5.81,-5.63,-4.17,
1711743000000,-4.87,-5.65,-4.3,
1711743600000,-5.14,-5.51,-4.19,
1711744200000,-4.83,-5.41,-3.92,
1711744800000,-6.8,-5.36,-4.15,
1711745400000,-4.76,-5.46,-4.11,
1711746000000,-4.78,-5.48,-3.87,
1711746600000,-4.78,-5.32,-4.15,
1711747200000,-4.8,-5.43,-4.15,
1711747800000,-7.92,-5.45,-3.98,
1711748400000,-6.79,-5.42,-4.17,
1711749000000,-4.79,-5.3,-4.14,
1711749600000,-5.18,-5.36,-4.17,
1711750200000,-4.74,-5.32,-4.21,
1711750800000,-4.78,-5.37,-4.2,
1711751400000,-4.8,-5.3,-4.11,
1711752000000,-6.85,-5.27,-4.15,
1711752600000,-4.73,-5.42,-3.89,
1711753200000,-5.89,-5.3,-4.24,
1711753800000,-4.86,-5.27,-4.39,
1711754400000,-5.51,-5.33,-4.18,
1711755000000,-5.13,-5.16,-4.32,
1711755600000,-4.74,-5.11,-4.1,
1711756200000,-6.97,-5.14,-4.03,
1711756800000,-4.81,-5.3,-4.1,
1711757400000,-6.06,-5.08,-4.19,
1711758000000,-4.8,-5.17,-3.89,
1711758600000,-4.2,-5.14,-4.23,
1711759200000,-5.94,-5.26,-4.08,
1711759800000,-5.95,-4.91,-3.95,
1711760400000,-4,-4.97,-4.15,
