intuition | What you measure you can improve 
ACTIVE POWER[kW]  
NODE  DESE GROUND FLOOR
FROM   Sat Dec 30 2023|  TO Fri Jan 05 2024
REQUEST SUBMITTED ON   : Tue Jul 09 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[kW]   ,Y[kW]   ,B[kW]   ,
1703874600000,-6.33,-5.06,-4.02,
1703875200000,-6.33,-5,-3.77,
1703875800000,-4.54,-5.04,-3.8,
1703876400000,-4.35,-5,-3.88,
1703877000000,-4.24,-5,-3.56,
1703877600000,-4.48,-4.91,-3.55,
1703878200000,-4.47,-4.78,-3.81,
1703878800000,-4.23,-4.67,-3.7,
1703879400000,-4.22,-4.71,-3.49,
1703880000000,-4.44,-4.83,-3.89,
1703880600000,-4.41,-4.78,-3.7,
1703881200000,-4.2,-4.79,-3.61,
1703881800000,-4.27,-4.77,-3.59,
1703882400000,-4.26,-4.65,-3.76,
1703883000000,-4.36,-4.52,-3.56,
1703883600000,-4.39,-4.39,-3.56,
1703884200000,-4.1,-4.11,-3.65,
1703884800000,-4.07,-4.21,-3.65,
1703885400000,-4.09,-4.21,-3.5,
1703886000000,-6.17,-4.46,-3.36,
1703886600000,-6.2,-4.22,-3.71,
1703887200000,-4.09,-4.27,-3.59,
1703887800000,-4.12,-4.32,-3.51,
1703888400000,-4.46,-4.18,-3.53,
1703889000000,-4.4,-4.31,-3.51,
1703889600000,-4.35,-4.18,-3.37,
1703890200000,-4.14,-4.33,-3.62,
1703890800000,-4.14,-4.29,-3.59,
1703891400000,-4.33,-4.33,-3.34,
1703892000000,-4.07,-4.3,-3.31,
1703892600000,-4.1,-4.33,-3.61,
1703893200000,-4.53,-4.22,-3.76,
1703893800000,-6.22,-4.2,-3.37,
1703894400000,-6.11,-4.23,-3.49,
1703895000000,-4.03,-4.25,-3.46,
1703895600000,-6.1,-4.24,-3.36,
1703896200000,-6.1,-4.21,-3.3,
1703896800000,-5.95,-4.17,-3.48,
